,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년10월_계_총인구수,"44,749","5,436","3,634","11,996","15,477","2,006","3,816","2,274",110,0,0,0,0
2020년10월_계_연령구간인구수,"44,749","5,436","3,634","11,996","15,477","2,006","3,816","2,274",110,0,0,0,0
2020년10월_계_0~9세,"3,357",425,371,807,"1,172",165,239,178,0,0,0,0,0
2020년10월_계_10~19세,"3,826",500,260,"1,009","1,466",100,345,143,3,0,0,0,0
2020년10월_계_20~29세,"5,851",676,560,"1,610","1,831",422,453,296,3,0,0,0,0
2020년10월_계_30~39세,"4,703",565,467,"1,218","1,592",234,369,254,4,0,0,0,0
2020년10월_계_40~49세,"5,722",690,384,"1,616","2,076",202,540,205,9,0,0,0,0
2020년10월_계_50~59세,"7,263",904,496,"2,058","2,556",242,647,344,16,0,0,0,0
2020년10월_계_60~69세,"6,654",761,488,"1,806","2,311",274,584,409,21,0,0,0,0
2020년10월_계_70~79세,"4,745",598,373,"1,221","1,599",224,390,299,41,0,0,0,0
2020년10월_계_80~89세,"2,221",276,200,544,732,117,210,129,13,0,0,0,0
2020년10월_계_90~99세,362,39,33,97,121,21,35,16,0,0,0,0,0
2020년10월_계_100세 이상,45,2,2,10,21,5,4,1,0,0,0,0,0
2020년10월_남_총인구수,"23,261","2,777","1,934","6,432","7,799","1,121","1,922","1,225",51,0,0,0,0
2020년10월_남_연령구간인구수,"23,261","2,777","1,934","6,432","7,799","1,121","1,922","1,225",51,0,0,0,0
2020년10월_남_0~9세,"1,695",192,213,403,580,80,127,100,0,0,0,0,0
2020년10월_남_10~19세,"1,990",280,131,554,721,59,172,71,2,0,0,0,0
2020년10월_남_20~29세,"3,804",412,374,"1,093","1,109",311,286,218,1,0,0,0,0
2020년10월_남_30~39세,"2,591",310,256,693,844,145,197,144,2,0,0,0,0
2020년10월_남_40~49세,"3,069",370,215,872,"1,074",122,292,118,6,0,0,0,0
2020년10월_남_50~59세,"3,863",491,271,"1,098","1,353",128,332,180,10,0,0,0,0
2020년10월_남_60~69세,"3,251",356,246,914,"1,110",133,270,215,7,0,0,0,0
2020년10월_남_70~79세,"2,102",262,145,565,720,98,165,132,15,0,0,0,0
2020년10월_남_80~89세,803,96,77,215,251,37,77,42,8,0,0,0,0
2020년10월_남_90~99세,81,8,6,21,32,6,3,5,0,0,0,0,0
2020년10월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년10월_여_총인구수,"21,488","2,659","1,700","5,564","7,678",885,"1,894","1,049",59,0,0,0,0
2020년10월_여_연령구간인구수,"21,488","2,659","1,700","5,564","7,678",885,"1,894","1,049",59,0,0,0,0
2020년10월_여_0~9세,"1,662",233,158,404,592,85,112,78,0,0,0,0,0
2020년10월_여_10~19세,"1,836",220,129,455,745,41,173,72,1,0,0,0,0
2020년10월_여_20~29세,"2,047",264,186,517,722,111,167,78,2,0,0,0,0
2020년10월_여_30~39세,"2,112",255,211,525,748,89,172,110,2,0,0,0,0
2020년10월_여_40~49세,"2,653",320,169,744,"1,002",80,248,87,3,0,0,0,0
2020년10월_여_50~59세,"3,400",413,225,960,"1,203",114,315,164,6,0,0,0,0
2020년10월_여_60~69세,"3,403",405,242,892,"1,201",141,314,194,14,0,0,0,0
2020년10월_여_70~79세,"2,643",336,228,656,879,126,225,167,26,0,0,0,0
2020년10월_여_80~89세,"1,418",180,123,329,481,80,133,87,5,0,0,0,0
2020년10월_여_90~99세,281,31,27,76,89,15,32,11,0,0,0,0,0
2020년10월_여_100세 이상,33,2,2,6,16,3,3,1,0,0,0,0,0
