,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년08월_계_총인구수,"69,324","22,640","7,959","4,897","7,092","4,526","4,296","3,044","4,009","1,860","3,250","2,867","2,230",387,267
2021년08월_계_연령구간인구수,"69,324","22,640","7,959","4,897","7,092","4,526","4,296","3,044","4,009","1,860","3,250","2,867","2,230",387,267
2021년08월_계_0~9세,"3,287","1,453",500,166,301,141,166,83,134,65,133,63,67,9,6
2021년08월_계_10~19세,"4,531","2,149",683,207,395,203,213,101,146,73,134,109,98,17,3
2021년08월_계_20~29세,"5,150","2,219",689,314,478,250,249,156,213,92,194,153,113,20,10
2021년08월_계_30~39세,"5,259","2,103",664,316,616,319,256,186,230,72,212,144,113,20,8
2021년08월_계_40~49세,"7,670","3,190","1,106",423,753,392,409,244,326,139,275,194,185,21,13
2021년08월_계_50~59세,"11,648","3,721","1,326",813,"1,312",750,724,510,620,323,545,515,378,66,45
2021년08월_계_60~69세,"15,052","3,814","1,517","1,303","1,724","1,209","1,036",805,983,458,736,682,596,104,85
2021년08월_계_70~79세,"10,003","2,472",887,777,954,774,712,599,769,360,597,581,390,70,61
2021년08월_계_80~89세,"5,835","1,349",499,481,468,403,452,326,531,246,375,376,250,50,29
2021년08월_계_90~99세,871,167,88,96,89,84,75,32,56,32,47,49,39,10,7
2021년08월_계_100세 이상,18,3,0,1,2,1,4,2,1,0,2,1,1,0,0
2021년08월_남_총인구수,"34,679","11,182","3,947","2,462","3,548","2,303","2,149","1,498","2,044",919,"1,634","1,480","1,167",198,148
2021년08월_남_연령구간인구수,"34,679","11,182","3,947","2,462","3,548","2,303","2,149","1,498","2,044",919,"1,634","1,480","1,167",198,148
2021년08월_남_0~9세,"1,724",781,233,79,150,69,94,53,75,34,71,34,43,5,3
2021년08월_남_10~19세,"2,314","1,069",350,103,202,116,110,50,79,34,68,59,62,10,2
2021년08월_남_20~29세,"2,949","1,248",391,179,282,145,144,89,132,54,109,96,64,10,6
2021년08월_남_30~39세,"2,757","1,092",331,163,313,183,140,98,118,36,122,80,65,10,6
2021년08월_남_40~49세,"4,151","1,621",566,246,422,233,226,135,191,77,167,129,114,14,10
2021년08월_남_50~59세,"6,020","1,912",680,416,646,359,383,254,334,183,301,286,202,38,26
2021년08월_남_60~69세,"7,507","1,822",745,659,857,626,529,391,517,228,364,347,323,50,49
2021년08월_남_70~79세,"4,730","1,098",433,404,467,376,322,290,366,165,287,274,177,42,29
2021년08월_남_80~89세,"2,312",496,198,189,194,171,180,128,222,102,132,160,109,16,15
2021년08월_남_90~99세,211,43,20,23,13,25,21,9,10,6,13,15,8,3,2
2021년08월_남_100세 이상,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021년08월_여_총인구수,"34,645","11,458","4,012","2,435","3,544","2,223","2,147","1,546","1,965",941,"1,616","1,387","1,063",189,119
2021년08월_여_연령구간인구수,"34,645","11,458","4,012","2,435","3,544","2,223","2,147","1,546","1,965",941,"1,616","1,387","1,063",189,119
2021년08월_여_0~9세,"1,563",672,267,87,151,72,72,30,59,31,62,29,24,4,3
2021년08월_여_10~19세,"2,217","1,080",333,104,193,87,103,51,67,39,66,50,36,7,1
2021년08월_여_20~29세,"2,201",971,298,135,196,105,105,67,81,38,85,57,49,10,4
2021년08월_여_30~39세,"2,502","1,011",333,153,303,136,116,88,112,36,90,64,48,10,2
2021년08월_여_40~49세,"3,519","1,569",540,177,331,159,183,109,135,62,108,65,71,7,3
2021년08월_여_50~59세,"5,628","1,809",646,397,666,391,341,256,286,140,244,229,176,28,19
2021년08월_여_60~69세,"7,545","1,992",772,644,867,583,507,414,466,230,372,335,273,54,36
2021년08월_여_70~79세,"5,273","1,374",454,373,487,398,390,309,403,195,310,307,213,28,32
2021년08월_여_80~89세,"3,523",853,301,292,274,232,272,198,309,144,243,216,141,34,14
2021년08월_여_90~99세,660,124,68,73,76,59,54,23,46,26,34,34,31,7,5
2021년08월_여_100세 이상,14,3,0,0,0,1,4,1,1,0,2,1,1,0,0
