카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년04월_계_총인구수,"27,378","10,159","1,528","2,000","1,710","1,707","1,406","1,964","2,166","1,299","1,100","2,339"
2021년04월_계_연령구간인구수,"27,378","10,159","1,528","2,000","1,710","1,707","1,406","1,964","2,166","1,299","1,100","2,339"
2021년04월_계_0~9세,"1,413",817,57,59,62,42,54,62,108,36,50,66
2021년04월_계_10~19세,"2,177","1,294",92,104,82,68,72,120,139,36,49,121
2021년04월_계_20~29세,"2,018","1,045",100,102,89,89,69,111,129,96,68,120
2021년04월_계_30~39세,"1,889",958,93,99,104,104,102,90,115,65,59,100
2021년04월_계_40~49세,"3,230","1,596",137,208,182,136,119,184,200,126,116,226
2021년04월_계_50~59세,"4,442","1,543",266,325,267,304,240,358,392,203,152,392
2021년04월_계_60~69세,"4,924","1,346",306,406,328,415,275,455,445,265,208,475
2021년04월_계_70~79세,"4,123",945,253,389,328,289,249,334,378,259,212,487
2021년04월_계_80~89세,"2,768",529,198,272,240,230,206,214,220,183,172,304
2021년04월_계_90~99세,372,83,21,33,26,29,19,36,40,24,13,48
2021년04월_계_100세 이상,22,3,5,3,2,1,1,0,0,6,1,0
2021년04월_남_총인구수,"13,366","4,947",736,983,850,848,701,970,"1,038",635,519,"1,139"
2021년04월_남_연령구간인구수,"13,366","4,947",736,983,850,848,701,970,"1,038",635,519,"1,139"
2021년04월_남_0~9세,732,441,26,31,28,21,29,26,55,11,28,36
2021년04월_남_10~19세,"1,123",658,48,52,42,38,42,67,71,21,25,59
2021년04월_남_20~29세,"1,134",568,60,52,59,53,39,66,78,61,31,67
2021년04월_남_30~39세,921,433,40,57,63,63,50,46,48,36,30,55
2021년04월_남_40~49세,"1,829",829,73,141,113,89,78,108,106,77,75,140
2021년04월_남_50~59세,"2,408",809,154,176,152,160,141,177,215,120,89,215
2021년04월_남_60~69세,"2,526",645,164,232,168,232,141,248,228,133,99,236
2021년04월_남_70~79세,"1,699",375,112,147,144,119,106,144,157,101,88,206
2021년04월_남_80~89세,897,171,55,90,74,66,71,74,67,65,53,111
2021년04월_남_90~99세,96,18,4,5,7,7,4,14,13,9,1,14
2021년04월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0
2021년04월_여_총인구수,"14,012","5,212",792,"1,017",860,859,705,994,"1,128",664,581,"1,200"
2021년04월_여_연령구간인구수,"14,012","5,212",792,"1,017",860,859,705,994,"1,128",664,581,"1,200"
2021년04월_여_0~9세,681,376,31,28,34,21,25,36,53,25,22,30
2021년04월_여_10~19세,"1,054",636,44,52,40,30,30,53,68,15,24,62
2021년04월_여_20~29세,884,477,40,50,30,36,30,45,51,35,37,53
2021년04월_여_30~39세,968,525,53,42,41,41,52,44,67,29,29,45
2021년04월_여_40~49세,"1,401",767,64,67,69,47,41,76,94,49,41,86
2021년04월_여_50~59세,"2,034",734,112,149,115,144,99,181,177,83,63,177
2021년04월_여_60~69세,"2,398",701,142,174,160,183,134,207,217,132,109,239
2021년04월_여_70~79세,"2,424",570,141,242,184,170,143,190,221,158,124,281
2021년04월_여_80~89세,"1,871",358,143,182,166,164,135,140,153,118,119,193
2021년04월_여_90~99세,276,65,17,28,19,22,15,22,27,15,12,34
2021년04월_여_100세 이상,21,3,5,3,2,1,1,0,0,5,1,0
