카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년05월_계_총인구수,"43,004","13,533","6,171","3,678","3,063","2,019","1,203","2,448","3,060","4,485","3,344"
2021년05월_계_연령구간인구수,"43,004","13,533","6,171","3,678","3,063","2,019","1,203","2,448","3,060","4,485","3,344"
2021년05월_계_0~9세,"1,881",910,198,109,76,62,26,73,105,187,135
2021년05월_계_10~19세,"2,189","1,260",182,107,93,37,38,92,80,194,106
2021년05월_계_20~29세,"3,364","1,427",464,219,151,116,67,180,184,315,241
2021년05월_계_30~39세,"3,193","1,320",461,245,177,116,59,124,173,297,221
2021년05월_계_40~49세,"4,601","2,001",596,332,216,158,98,230,257,434,279
2021년05월_계_50~59세,"8,231","2,396","1,317",770,578,397,234,435,563,869,672
2021년05월_계_60~69세,"9,640","2,158","1,538",998,806,543,289,582,848,"1,054",824
2021년05월_계_70~79세,"5,855","1,276",898,513,506,314,212,428,521,668,519
2021년05월_계_80~89세,"3,539",687,438,336,396,241,162,271,277,418,313
2021년05월_계_90~99세,502,98,75,49,64,33,18,33,51,48,33
2021년05월_계_100세 이상,9,0,4,0,0,2,0,0,1,1,1
2021년05월_남_총인구수,"22,260","6,875","3,371","2,013","1,526","1,000",623,"1,234","1,575","2,279","1,764"
2021년05월_남_연령구간인구수,"22,260","6,875","3,371","2,013","1,526","1,000",623,"1,234","1,575","2,279","1,764"
2021년05월_남_0~9세,941,426,107,54,44,28,18,38,52,101,73
2021년05월_남_10~19세,"1,213",701,102,69,42,17,23,50,44,109,56
2021년05월_남_20~29세,"2,027",829,305,135,100,71,39,102,110,189,147
2021년05월_남_30~39세,"1,728",672,266,158,96,76,39,65,86,159,111
2021년05월_남_40~49세,"2,747","1,072",420,218,127,102,62,144,177,255,170
2021년05월_남_50~59세,"4,532","1,277",734,454,304,205,133,248,308,486,383
2021년05월_남_60~69세,"5,073","1,088",834,565,438,273,154,289,448,533,451
2021년05월_남_70~79세,"2,739",564,441,249,236,144,101,198,254,301,251
2021년05월_남_80~89세,"1,152",228,148,101,123,78,51,91,83,136,113
2021년05월_남_90~99세,108,18,14,10,16,6,3,9,13,10,9
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"20,744","6,658","2,800","1,665","1,537","1,019",580,"1,214","1,485","2,206","1,580"
2021년05월_여_연령구간인구수,"20,744","6,658","2,800","1,665","1,537","1,019",580,"1,214","1,485","2,206","1,580"
2021년05월_여_0~9세,940,484,91,55,32,34,8,35,53,86,62
2021년05월_여_10~19세,976,559,80,38,51,20,15,42,36,85,50
2021년05월_여_20~29세,"1,337",598,159,84,51,45,28,78,74,126,94
2021년05월_여_30~39세,"1,465",648,195,87,81,40,20,59,87,138,110
2021년05월_여_40~49세,"1,854",929,176,114,89,56,36,86,80,179,109
2021년05월_여_50~59세,"3,699","1,119",583,316,274,192,101,187,255,383,289
2021년05월_여_60~69세,"4,567","1,070",704,433,368,270,135,293,400,521,373
2021년05월_여_70~79세,"3,116",712,457,264,270,170,111,230,267,367,268
2021년05월_여_80~89세,"2,387",459,290,235,273,163,111,180,194,282,200
2021년05월_여_90~99세,394,80,61,39,48,27,15,24,38,38,24
2021년05월_여_100세 이상,9,0,4,0,0,2,0,0,1,1,1
