카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년09월_계_총인구수,"37,122","35,212","1,910"
2020년09월_계_연령구간인구수,"37,122","35,212","1,910"
2020년09월_계_0~9세,"3,385","3,347",38
2020년09월_계_10~19세,"3,380","3,299",81
2020년09월_계_20~29세,"4,544","4,410",134
2020년09월_계_30~39세,"4,815","4,727",88
2020년09월_계_40~49세,"5,669","5,459",210
2020년09월_계_50~59세,"6,072","5,729",343
2020년09월_계_60~69세,"4,918","4,436",482
2020년09월_계_70~79세,"2,692","2,395",297
2020년09월_계_80~89세,"1,463","1,259",204
2020년09월_계_90~99세,172,142,30
2020년09월_계_100세 이상,12,9,3
2020년09월_남_총인구수,"19,283","18,274","1,009"
2020년09월_남_연령구간인구수,"19,283","18,274","1,009"
2020년09월_남_0~9세,"1,740","1,717",23
2020년09월_남_10~19세,"1,766","1,727",39
2020년09월_남_20~29세,"2,634","2,555",79
2020년09월_남_30~39세,"2,666","2,611",55
2020년09월_남_40~49세,"3,073","2,940",133
2020년09월_남_50~59세,"3,203","3,009",194
2020년09월_남_60~69세,"2,463","2,195",268
2020년09월_남_70~79세,"1,198","1,057",141
2020년09월_남_80~89세,492,427,65
2020년09월_남_90~99세,44,33,11
2020년09월_남_100세 이상,4,3,1
2020년09월_여_총인구수,"17,839","16,938",901
2020년09월_여_연령구간인구수,"17,839","16,938",901
2020년09월_여_0~9세,"1,645","1,630",15
2020년09월_여_10~19세,"1,614","1,572",42
2020년09월_여_20~29세,"1,910","1,855",55
2020년09월_여_30~39세,"2,149","2,116",33
2020년09월_여_40~49세,"2,596","2,519",77
2020년09월_여_50~59세,"2,869","2,720",149
2020년09월_여_60~69세,"2,455","2,241",214
2020년09월_여_70~79세,"1,494","1,338",156
2020년09월_여_80~89세,971,832,139
2020년09월_여_90~99세,128,109,19
2020년09월_여_100세 이상,8,6,2
