,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년09월_계_총인구수,"282,200","2,736","4,668","18,418","31,908","12,130","2,984","1,826","3,208","1,520",902,"3,281","5,529","2,823","3,780","6,156","25,234","6,368","44,693","7,787","8,965","2,905","2,448","3,124","18,481","40,540","19,786"
2020년09월_계_연령구간인구수,"282,200","2,736","4,668","18,418","31,908","12,130","2,984","1,826","3,208","1,520",902,"3,281","5,529","2,823","3,780","6,156","25,234","6,368","44,693","7,787","8,965","2,905","2,448","3,124","18,481","40,540","19,786"
2020년09월_계_0~9세,"23,719",52,131,"1,548","5,830",820,60,35,63,17,27,74,145,58,148,336,"1,923",341,"3,472",397,377,119,57,100,"2,167","3,566","1,856"
2020년09월_계_10~19세,"30,532",131,220,"2,608","4,814","1,016",102,72,141,37,42,158,285,168,269,514,"2,731",565,"5,474",604,692,198,109,199,"1,731","4,951","2,701"
2020년09월_계_20~29세,"37,491",189,430,"3,190","3,111","1,353",164,124,193,82,55,237,423,259,367,"1,020","3,899",773,"6,699",929,"1,135",345,291,375,"2,177","6,385","3,286"
2020년09월_계_30~39세,"33,375",118,266,"2,220","6,606","1,143",134,101,156,65,34,150,265,153,321,712,"2,860",647,"5,094",786,789,254,210,275,"2,637","4,983","2,396"
2020년09월_계_40~49세,"43,749",236,487,"3,443","6,602","1,700",225,140,226,123,57,250,543,283,433,754,"3,746",906,"7,173",977,"1,102",320,292,435,"2,885","6,917","3,494"
2020년09월_계_50~59세,"49,187",558,924,"3,455","3,213","2,233",485,327,562,291,151,559,977,556,580,953,"4,511","1,170","8,652","1,329","1,748",484,480,544,"3,027","7,595","3,823"
2020년09월_계_60~69세,"33,581",539,898,"1,170","1,181","1,913",636,419,682,303,193,741,"1,101",572,783,863,"3,308","1,061","5,215","1,380","1,587",522,528,560,"2,065","3,830","1,531"
2020년09월_계_70~79세,"18,891",482,723,481,374,"1,188",644,332,647,327,178,644,934,447,564,665,"1,482",592,"1,976",950,"1,065",443,309,433,"1,104","1,455",452
2020년09월_계_80~89세,"10,033",373,514,275,146,661,459,232,473,233,131,408,751,269,269,301,667,261,803,371,410,184,142,172,580,734,214
2020년09월_계_90~99세,"1,579",58,74,26,30,102,74,43,65,36,33,57,101,54,42,37,100,48,126,63,60,36,28,26,104,123,33
2020년09월_계_100세 이상,63,0,1,2,1,1,1,1,0,6,1,3,4,4,4,1,7,4,9,1,0,0,2,5,4,1,0
2020년09월_남_총인구수,"140,876","1,352","2,408","9,170","16,222","6,083","1,496",864,"1,621",783,434,"1,599","2,770","1,443","1,857","3,087","12,402","3,217","22,303","3,904","4,534","1,406","1,262","1,594","9,298","20,011","9,756"
2020년09월_남_연령구간인구수,"140,876","1,352","2,408","9,170","16,222","6,083","1,496",864,"1,621",783,434,"1,599","2,770","1,443","1,857","3,087","12,402","3,217","22,303","3,904","4,534","1,406","1,262","1,594","9,298","20,011","9,756"
2020년09월_남_0~9세,"12,177",34,62,788,"3,000",432,30,16,34,12,17,39,74,36,67,173,990,182,"1,719",213,200,61,32,50,"1,144","1,837",935
2020년09월_남_10~19세,"15,980",65,121,"1,407","2,553",533,54,25,84,20,21,84,148,101,149,286,"1,377",296,"2,869",331,367,96,60,109,902,"2,560","1,362"
2020년09월_남_20~29세,"20,326",115,249,"1,724","1,603",722,94,60,112,49,33,132,252,159,207,555,"2,116",436,"3,700",521,639,187,143,226,"1,177","3,336","1,779"
2020년09월_남_30~39세,"17,135",60,174,"1,111","3,251",608,86,60,111,48,21,85,153,90,181,387,"1,458",351,"2,633",423,424,132,128,156,"1,346","2,492","1,166"
2020년09월_남_40~49세,"21,555",145,311,"1,522","3,276",894,155,89,162,86,32,153,340,154,233,388,"1,814",451,"3,371",541,614,169,182,230,"1,469","3,230","1,544"
2020년09월_남_50~59세,"24,856",326,542,"1,750","1,734","1,177",295,181,327,177,93,298,553,310,299,476,"2,090",616,"4,154",629,888,228,260,287,"1,516","3,738","1,912"
2020년09월_남_60~69세,"16,833",293,451,596,617,973,329,228,336,181,104,382,588,302,364,400,"1,617",495,"2,628",649,735,251,245,272,"1,031","1,964",802
2020년09월_남_70~79세,"8,437",192,323,191,153,534,290,132,289,132,79,284,409,192,266,302,699,279,929,420,498,187,140,191,514,624,188
2020년09월_남_80~89세,"3,252",107,165,77,35,187,143,64,154,68,30,132,233,88,80,112,221,99,270,164,162,87,64,62,182,203,63
2020년09월_남_90~99세,317,15,10,4,0,23,20,9,12,7,3,9,19,11,11,8,19,12,29,13,7,8,8,11,17,27,5
2020년09월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"141,324","1,384","2,260","9,248","15,686","6,047","1,488",962,"1,587",737,468,"1,682","2,759","1,380","1,923","3,069","12,832","3,151","22,390","3,883","4,431","1,499","1,186","1,530","9,183","20,529","10,030"
2020년09월_여_연령구간인구수,"141,324","1,384","2,260","9,248","15,686","6,047","1,488",962,"1,587",737,468,"1,682","2,759","1,380","1,923","3,069","12,832","3,151","22,390","3,883","4,431","1,499","1,186","1,530","9,183","20,529","10,030"
2020년09월_여_0~9세,"11,542",18,69,760,"2,830",388,30,19,29,5,10,35,71,22,81,163,933,159,"1,753",184,177,58,25,50,"1,023","1,729",921
2020년09월_여_10~19세,"14,552",66,99,"1,201","2,261",483,48,47,57,17,21,74,137,67,120,228,"1,354",269,"2,605",273,325,102,49,90,829,"2,391","1,339"
2020년09월_여_20~29세,"17,165",74,181,"1,466","1,508",631,70,64,81,33,22,105,171,100,160,465,"1,783",337,"2,999",408,496,158,148,149,"1,000","3,049","1,507"
2020년09월_여_30~39세,"16,240",58,92,"1,109","3,355",535,48,41,45,17,13,65,112,63,140,325,"1,402",296,"2,461",363,365,122,82,119,"1,291","2,491","1,230"
2020년09월_여_40~49세,"22,194",91,176,"1,921","3,326",806,70,51,64,37,25,97,203,129,200,366,"1,932",455,"3,802",436,488,151,110,205,"1,416","3,687","1,950"
