카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년09월_계_총인구수,"28,173","7,863","1,901","1,657","2,366","1,343","1,948","1,185","4,265","2,502","1,724","1,419"
2020년09월_계_연령구간인구수,"28,173","7,863","1,901","1,657","2,366","1,343","1,948","1,185","4,265","2,502","1,724","1,419"
2020년09월_계_0~9세,"1,115",481,66,31,63,21,43,31,210,74,55,40
2020년09월_계_10~19세,"1,983",691,132,85,133,44,93,53,401,215,82,54
2020년09월_계_20~29세,"2,374",747,105,99,154,86,150,78,535,205,111,104
2020년09월_계_30~39세,"1,745",638,100,67,119,59,87,47,346,118,95,69
2020년09월_계_40~49세,"3,110","1,070",180,154,213,97,175,90,525,329,160,117
2020년09월_계_50~59세,"4,899","1,303",319,271,427,257,351,207,740,453,303,268
2020년09월_계_60~69세,"4,941","1,209",386,342,425,256,400,223,651,397,317,335
2020년09월_계_70~79세,"4,306","1,006",327,314,408,271,359,242,488,360,316,215
2020년09월_계_80~89세,"3,169",609,257,247,366,218,238,189,316,297,242,190
2020년09월_계_90~99세,517,105,27,47,56,32,52,25,52,54,41,26
2020년09월_계_100세 이상,14,4,2,0,2,2,0,0,1,0,2,1
2020년09월_남_총인구수,"13,752","3,794",934,813,"1,122",646,951,574,"2,104","1,251",849,714
2020년09월_남_연령구간인구수,"13,752","3,794",934,813,"1,122",646,951,574,"2,104","1,251",849,714
2020년09월_남_0~9세,569,253,30,12,37,10,28,17,96,39,25,22
2020년09월_남_10~19세,"1,038",353,73,51,69,20,51,20,209,120,45,27
2020년09월_남_20~29세,"1,293",393,61,62,85,55,82,49,280,112,60,54
2020년09월_남_30~39세,934,313,61,46,63,36,47,28,182,66,54,38
2020년09월_남_40~49세,"1,741",557,106,97,119,57,99,55,278,190,114,69
2020년09월_남_50~59세,"2,703",696,178,143,244,144,186,124,395,275,168,150
2020년09월_남_60~69세,"2,572",594,206,186,207,134,210,116,335,218,172,194
2020년09월_남_70~79세,"1,807",420,128,128,179,115,162,102,213,136,128,96
2020년09월_남_80~89세,990,196,85,77,109,67,79,60,101,85,73,58
2020년09월_남_90~99세,102,19,6,11,9,8,7,3,14,10,9,6
2020년09월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2020년09월_여_총인구수,"14,421","4,069",967,844,"1,244",697,997,611,"2,161","1,251",875,705
2020년09월_여_연령구간인구수,"14,421","4,069",967,844,"1,244",697,997,611,"2,161","1,251",875,705
2020년09월_여_0~9세,546,228,36,19,26,11,15,14,114,35,30,18
2020년09월_여_10~19세,945,338,59,34,64,24,42,33,192,95,37,27
2020년09월_여_20~29세,"1,081",354,44,37,69,31,68,29,255,93,51,50
2020년09월_여_30~39세,811,325,39,21,56,23,40,19,164,52,41,31
2020년09월_여_40~49세,"1,369",513,74,57,94,40,76,35,247,139,46,48
2020년09월_여_50~59세,"2,196",607,141,128,183,113,165,83,345,178,135,118
2020년09월_여_60~69세,"2,369",615,180,156,218,122,190,107,316,179,145,141
2020년09월_여_70~79세,"2,499",586,199,186,229,156,197,140,275,224,188,119
2020년09월_여_80~89세,"2,179",413,172,170,257,151,159,129,215,212,169,132
2020년09월_여_90~99세,415,86,21,36,47,24,45,22,38,44,32,20
2020년09월_여_100세 이상,11,4,2,0,1,2,0,0,0,0,1,1
