카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년06월_계_총인구수,"1,073,115","256,918","33,154","25,829","20,178","23,287","8,217","8,800","19,969","24,389","44,145","35,795","13,155","440,831","39,088","30,782","17,380","42,397","13,558","33,551","21,167","25,632","39,507","32,502","32,972","27,369","23,268","25,062","36,596","375,366","36,865","42,146","38,342","57,158","18,601","49,016","49,039","34,339","49,860"
2020년06월_계_연령구간인구수,"1,073,115","256,918","33,154","25,829","20,178","23,287","8,217","8,800","19,969","24,389","44,145","35,795","13,155","440,831","39,088","30,782","17,380","42,397","13,558","33,551","21,167","25,632","39,507","32,502","32,972","27,369","23,268","25,062","36,596","375,366","36,865","42,146","38,342","57,158","18,601","49,016","49,039","34,339","49,860"
2020년06월_계_0~9세,"103,820","21,697","2,407","1,974","1,643","3,167",345,235,"1,322","1,619","4,985","3,268",732,"44,446","3,530","3,656","1,915","4,495","1,024","3,191","1,927","3,298","3,497","2,806","3,685","2,758","3,022","2,101","3,541","37,677","2,872","4,898","3,709","5,358","1,572","5,812","4,945","3,515","4,996"
2020년06월_계_10~19세,"123,661","26,675","3,828","2,354","1,820","1,785",559,833,"3,144","2,209","4,496","4,458","1,189","51,317","3,719","3,585","1,290","3,505","1,337","4,361","2,163","2,440","4,901","3,126","5,721","4,762","2,983","2,877","4,547","45,669","3,792","5,871","5,326","7,238","1,615","5,311","6,285","4,286","5,945"
2020년06월_계_20~29세,"135,948","33,984","4,682","3,231","2,103","2,019",750,860,"2,393","4,356","6,900","4,801","1,889","55,773","5,189","3,739","2,449","6,653","1,962","3,971","2,467","4,755","4,265","4,088","3,454","3,067","2,197","3,403","4,114","46,191","5,454","4,979","4,099","7,777","2,815","5,522","6,338","3,889","5,318"
2020년06월_계_30~39세,"148,399","34,258","3,998","3,129","2,367","4,272",746,757,"2,295","3,149","7,483","4,633","1,429","61,455","6,332","4,948","3,249","8,159","1,935","4,054","2,796","4,695","4,432","4,236","3,519","2,593","3,208","2,936","4,363","52,686","6,263","6,419","4,159","7,184","3,352","8,042","6,978","4,490","5,799"
2020년06월_계_40~49세,"200,871","43,412","6,041","4,376","3,405","3,932","1,092","1,033","3,064","3,884","7,682","6,844","2,059","84,519","6,777","6,062","2,730","7,115","2,444","6,589","3,801","4,356","7,889","5,482","8,004","6,383","4,957","4,586","7,344","72,940","6,251","9,136","8,127","11,121","3,082","9,490","9,459","6,651","9,623"
2020년06월_계_50~59세,"161,887","42,786","5,778","4,582","3,683","3,156","1,619","1,663","3,380","4,155","6,237","5,950","2,583","65,053","6,178","4,671","2,690","6,412","2,271","4,985","3,413","3,196","5,667","5,007","4,402","4,106","2,608","4,289","5,158","54,048","5,406","5,711","5,638","8,545","2,857","6,801","6,988","4,970","7,132"
2020년06월_계_60~69세,"102,704","29,847","3,490","3,440","2,788","2,772","1,619","1,723","2,473","2,819","3,645","3,176","1,902","40,033","3,853","2,473","1,610","3,443","1,238","3,283","2,544","1,735","4,251","3,674","2,038","1,877","1,958","2,598","3,458","32,824","3,461","2,396","3,382","4,939","1,729","4,508","4,031","3,029","5,349"
2020년06월_계_70~79세,"65,051","15,833","1,888","1,845","1,490","1,502",930,963,"1,176","1,441","1,844","1,803",951,"26,085","2,364","1,136",747,"1,870",908,"2,184","1,422",800,"3,159","2,792","1,466","1,231","1,637","1,536","2,833","23,133","2,290","1,735","2,757","3,329","1,042","2,535","2,792","2,486","4,167"
