카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년11월_계_총인구수,"25,077","5,202","1,859","2,505","2,093","2,537","2,614","1,792","6,475"
2020년11월_계_연령구간인구수,"25,077","5,202","1,859","2,505","2,093","2,537","2,614","1,792","6,475"
2020년11월_계_0~9세,976,282,50,66,78,63,74,48,315
2020년11월_계_10~19세,"1,217",361,59,94,96,97,94,48,368
2020년11월_계_20~29세,"1,713",468,91,129,141,126,118,99,541
2020년11월_계_30~39세,"1,713",484,126,116,106,129,112,103,537
2020년11월_계_40~49세,"2,399",607,146,159,206,196,200,133,752
2020년11월_계_50~59세,"4,709","1,002",363,503,408,469,494,284,"1,186"
2020년11월_계_60~69세,"5,502",919,468,646,438,697,620,439,"1,275"
2020년11월_계_70~79세,"4,062",630,338,477,355,453,531,343,935
2020년11월_계_80~89세,"2,462",390,199,282,236,272,319,250,514
2020년11월_계_90~99세,302,50,19,31,27,34,50,43,48
2020년11월_계_100세 이상,22,9,0,2,2,1,2,2,4
2020년11월_남_총인구수,"12,518","2,592",919,"1,227","1,043","1,259","1,251",891,"3,336"
2020년11월_남_연령구간인구수,"12,518","2,592",919,"1,227","1,043","1,259","1,251",891,"3,336"
2020년11월_남_0~9세,502,153,24,34,39,36,37,21,158
2020년11월_남_10~19세,648,181,37,55,52,55,55,20,193
2020년11월_남_20~29세,"1,034",273,51,73,85,66,74,61,351
2020년11월_남_30~39세,"1,005",268,81,68,61,79,61,71,316
2020년11월_남_40~49세,"1,393",331,95,86,123,115,115,81,447
2020년11월_남_50~59세,"2,489",525,181,265,223,240,250,159,646
2020년11월_남_60~69세,"2,746",454,243,312,216,346,315,240,620
2020년11월_남_70~79세,"1,771",266,148,213,152,208,222,153,409
2020년11월_남_80~89세,867,133,57,115,85,107,112,76,182
2020년11월_남_90~99세,57,6,2,5,7,7,10,8,12
2020년11월_남_100세 이상,6,2,0,1,0,0,0,1,2
2020년11월_여_총인구수,"12,559","2,610",940,"1,278","1,050","1,278","1,363",901,"3,139"
2020년11월_여_연령구간인구수,"12,559","2,610",940,"1,278","1,050","1,278","1,363",901,"3,139"
2020년11월_여_0~9세,474,129,26,32,39,27,37,27,157
2020년11월_여_10~19세,569,180,22,39,44,42,39,28,175
2020년11월_여_20~29세,679,195,40,56,56,60,44,38,190
2020년11월_여_30~39세,708,216,45,48,45,50,51,32,221
2020년11월_여_40~49세,"1,006",276,51,73,83,81,85,52,305
2020년11월_여_50~59세,"2,220",477,182,238,185,229,244,125,540
2020년11월_여_60~69세,"2,756",465,225,334,222,351,305,199,655
2020년11월_여_70~79세,"2,291",364,190,264,203,245,309,190,526
2020년11월_여_80~89세,"1,595",257,142,167,151,165,207,174,332
2020년11월_여_90~99세,245,44,17,26,20,27,40,35,36
2020년11월_여_100세 이상,16,7,0,1,2,1,2,1,2
