,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년02월_계_총인구수,"112,129","15,587","4,655","5,108","2,986","6,379","7,030","4,930","4,206","2,546","21,831","18,508","18,363"
2021년02월_계_연령구간인구수,"112,129","15,587","4,655","5,108","2,986","6,379","7,030","4,930","4,206","2,546","21,831","18,508","18,363"
2021년02월_계_0~9세,"7,327","1,009",192,172,87,284,214,158,139,118,"1,522","1,366","2,066"
2021년02월_계_10~19세,"9,511","1,274",257,281,138,439,408,353,271,144,"1,964","2,178","1,804"
2021년02월_계_20~29세,"12,223","1,673",447,407,228,554,614,416,345,197,"2,814","2,412","2,116"
2021년02월_계_30~39세,"11,454","1,798",293,363,187,487,444,311,295,177,"2,456","1,985","2,658"
2021년02월_계_40~49세,"15,999","2,247",405,526,268,690,683,577,471,278,"3,518","3,113","3,223"
2021년02월_계_50~59세,"20,159","2,799",870,946,584,"1,126","1,311","1,010",869,449,"3,878","3,306","3,011"
2021년02월_계_60~69세,"18,897","2,580","1,079","1,227",764,"1,383","1,637","1,025",900,596,"3,246","2,415","2,045"
2021년02월_계_70~79세,"10,268","1,363",664,728,463,837,988,614,561,366,"1,583","1,147",954
2021년02월_계_80~89세,"5,381",721,390,384,224,494,629,404,286,190,727,508,424
2021년02월_계_90~99세,854,112,55,71,42,84,97,56,67,29,113,72,56
2021년02월_계_100세 이상,56,11,3,3,1,1,5,6,2,2,10,6,6
2021년02월_남_총인구수,"56,938","8,046","2,411","2,666","1,550","3,275","3,655","2,557","2,179","1,281","10,908","9,280","9,130"
2021년02월_남_연령구간인구수,"56,938","8,046","2,411","2,666","1,550","3,275","3,655","2,557","2,179","1,281","10,908","9,280","9,130"
2021년02월_남_0~9세,"3,765",492,107,93,42,127,106,84,73,56,782,717,"1,086"
2021년02월_남_10~19세,"4,901",656,142,161,62,225,232,206,140,67,"1,018","1,102",890
2021년02월_남_20~29세,"6,701",930,264,229,151,314,377,227,205,112,"1,492","1,283","1,117"
2021년02월_남_30~39세,"6,038","1,014",162,209,101,254,256,170,156,100,"1,265","1,032","1,319"
2021년02월_남_40~49세,"8,260","1,192",227,282,152,411,368,305,257,151,"1,770","1,532","1,613"
2021년02월_남_50~59세,"10,563","1,503",471,525,316,619,707,584,484,235,"1,934","1,714","1,471"
2021년02월_남_60~69세,"9,620","1,302",546,638,401,726,872,542,453,296,"1,621","1,197","1,026"
2021년02월_남_70~79세,"4,877",658,341,360,229,413,456,274,285,173,731,508,449
2021년02월_남_80~89세,"1,997",262,136,153,89,168,248,146,113,81,268,183,150
2021년02월_남_90~99세,199,32,14,16,7,17,31,18,12,9,23,12,8
2021년02월_남_100세 이상,17,5,1,0,0,1,2,1,1,1,4,0,1
2021년02월_여_총인구수,"55,191","7,541","2,244","2,442","1,436","3,104","3,375","2,373","2,027","1,265","10,923","9,228","9,233"
2021년02월_여_연령구간인구수,"55,191","7,541","2,244","2,442","1,436","3,104","3,375","2,373","2,027","1,265","10,923","9,228","9,233"
2021년02월_여_0~9세,"3,562",517,85,79,45,157,108,74,66,62,740,649,980
2021년02월_여_10~19세,"4,610",618,115,120,76,214,176,147,131,77,946,"1,076",914
2021년02월_여_20~29세,"5,522",743,183,178,77,240,237,189,140,85,"1,322","1,129",999
2021년02월_여_30~39세,"5,416",784,131,154,86,233,188,141,139,77,"1,191",953,"1,339"
2021년02월_여_40~49세,"7,739","1,055",178,244,116,279,315,272,214,127,"1,748","1,581","1,610"
2021년02월_여_50~59세,"9,596","1,296",399,421,268,507,604,426,385,214,"1,944","1,592","1,540"
2021년02월_여_60~69세,"9,277","1,278",533,589,363,657,765,483,447,300,"1,625","1,218","1,019"
2021년02월_여_70~79세,"5,391",705,323,368,234,424,532,340,276,193,852,639,505
2021년02월_여_80~89세,"3,384",459,254,231,135,326,381,258,173,109,459,325,274
2021년02월_여_90~99세,655,80,41,55,35,67,66,38,55,20,90,60,48
2021년02월_여_100세 이상,39,6,2,3,1,0,3,5,1,1,6,6,5
