카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년12월_계_총인구수,"447,302","30,750","29,903","21,815","25,372","41,239","20,422","20,665","15,191","17,926","14,615","13,893","19,783","20,374","19,491","49,627","32,698","24,528","29,010"
2021년12월_계_연령구간인구수,"447,302","30,750","29,903","21,815","25,372","41,239","20,422","20,665","15,191","17,926","14,615","13,893","19,783","20,374","19,491","49,627","32,698","24,528","29,010"
2021년12월_계_0~9세,"29,534","2,762","1,589","1,230","1,269","3,160",893,"1,335",780,"1,308",873,"1,486",947,"1,759","1,242","3,609","1,486","1,977","1,829"
2021년12월_계_10~19세,"49,472","5,064","2,419","1,475","3,202","7,367","1,264","1,729","1,081","1,615","1,209","1,225","1,229","2,907","2,975","5,569","2,220","3,579","3,343"
2021년12월_계_20~29세,"57,388","3,199","4,789","3,329","4,060","4,251","2,570","2,559","1,974","2,075","2,086","1,571","2,483","2,335","2,339","6,150","5,251","2,983","3,384"
2021년12월_계_30~39세,"55,657","3,020","5,271","3,878","2,704","3,694","2,662","2,786","1,935","2,294","2,024","2,517","2,578","1,913","1,704","6,124","4,883","2,658","3,012"
2021년12월_계_40~49세,"76,508","6,665","4,535","3,136","4,340","8,812","2,964","3,257","2,093","2,984","2,207","2,215","2,778","4,012","3,716","8,292","4,999","4,559","4,944"
2021년12월_계_50~59세,"76,170","5,050","4,812","3,568","4,885","6,808","3,689","3,273","2,815","2,825","2,469","2,023","3,469","3,477","3,470","8,603","5,338","4,406","5,190"
2021년12월_계_60~69세,"60,280","3,020","3,987","3,119","2,793","4,430","3,781","3,345","2,600","2,805","2,236","1,791","3,518","2,312","2,390","6,462","4,796","2,784","4,111"
2021년12월_계_70~79세,"29,215","1,363","1,735","1,388","1,464","1,818","1,886","1,744","1,363","1,404","1,070",784,"1,820","1,089","1,113","3,350","2,682","1,072","2,070"
2021년12월_계_80~89세,"11,300",516,668,594,575,730,614,553,504,542,386,245,859,471,462,"1,276",930,405,970
2021년12월_계_90~99세,"1,721",89,97,94,77,167,93,80,46,68,55,33,98,96,78,186,111,102,151
2021년12월_계_100세 이상,57,2,1,4,3,2,6,4,0,6,0,3,4,3,2,6,2,3,6
2021년12월_남_총인구수,"219,214","14,773","14,562","10,408","12,396","20,455","10,490","10,096","8,009","8,759","7,262","6,792","9,677","9,925","9,567","24,148","15,936","11,939","14,020"
2021년12월_남_연령구간인구수,"219,214","14,773","14,562","10,408","12,396","20,455","10,490","10,096","8,009","8,759","7,262","6,792","9,677","9,925","9,567","24,148","15,936","11,939","14,020"
2021년12월_남_0~9세,"15,181","1,394",831,647,608,"1,678",468,680,430,644,457,770,499,907,611,"1,830",780,"1,028",919
2021년12월_남_10~19세,"25,828","2,525","1,264",808,"1,731","4,029",646,847,564,852,647,593,628,"1,498","1,558","2,880","1,133","1,864","1,761"
2021년12월_남_20~29세,"29,126","1,564","2,336","1,594","2,144","2,227","1,330","1,299","1,054","1,084","1,065",773,"1,299","1,195","1,203","3,181","2,470","1,547","1,761"
2021년12월_남_30~39세,"27,476","1,280","2,687","1,894","1,347","1,628","1,485","1,426","1,059","1,142","1,060","1,244","1,363",842,808,"3,016","2,580","1,178","1,437"
2021년12월_남_40~49세,"36,550","3,005","2,188","1,504","1,940","3,905","1,570","1,657","1,153","1,510","1,112","1,129","1,444","1,863","1,711","3,979","2,489","2,037","2,354"
2021년12월_남_50~59세,"37,924","2,680","2,273","1,631","2,406","3,537","1,941","1,598","1,532","1,368","1,197",966,"1,689","1,775","1,790","4,201","2,574","2,188","2,578"
2021년12월_남_60~69세,"28,809","1,441","1,908","1,443","1,351","2,156","1,904","1,524","1,402","1,293","1,060",839,"1,646","1,113","1,196","3,005","2,215","1,353","1,960"
2021년12월_남_70~79세,"13,737",668,818,657,653,971,882,836,609,656,508,386,796,523,504,"1,548","1,253",569,900
2021년12월_남_80~89세,"4,164",190,233,207,199,277,248,212,197,190,146,86,293,186,166,464,415,144,311
2021년12월_남_90~99세,408,25,24,22,17,47,16,16,9,18,10,6,18,22,20,44,27,30,37
2021년12월_남_100세 이상,11,1,0,1,0,0,0,1,0,2,0,0,2,1,0,0,0,1,2
2021년12월_여_총인구수,"228,088","15,977","15,341","11,407","12,976","20,784","9,932","10,569","7,182","9,167","7,353","7,101","10,106","10,449","9,924","25,479","16,762","12,589","14,990"
2021년12월_여_연령구간인구수,"228,088","15,977","15,341","11,407","12,976","20,784","9,932","10,569","7,182","9,167","7,353","7,101","10,106","10,449","9,924","25,479","16,762","12,589","14,990"
2021년12월_여_0~9세,"14,353","1,368",758,583,661,"1,482",425,655,350,664,416,716,448,852,631,"1,779",706,949,910
