,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년03월_계_총인구수,"155,753","40,189","5,814","19,811","11,714","14,969","20,764","8,841","21,398","12,253"
2021년03월_계_연령구간인구수,"155,753","40,189","5,814","19,811","11,714","14,969","20,764","8,841","21,398","12,253"
2021년03월_계_0~9세,"14,508","3,535",232,"2,157",904,"1,342","2,065",660,"2,357","1,256"
2021년03월_계_10~19세,"15,563","4,092",367,"1,912","1,178","1,368","2,299",927,"2,141","1,279"
2021년03월_계_20~29세,"17,524","4,615",724,"1,999","1,503","1,929","2,360",897,"2,364","1,133"
2021년03월_계_30~39세,"22,426","5,817",771,"2,897","1,491","2,154","2,657","1,084","3,745","1,810"
2021년03월_계_40~49세,"26,052","7,309",839,"3,227","1,952","2,328","3,444","1,393","3,461","2,099"
2021년03월_계_50~59세,"25,320","6,580","1,048","3,189","2,250","2,356","3,744","1,412","2,922","1,819"
2021년03월_계_60~69세,"23,063","5,447","1,163","2,848","1,712","2,245","2,912","1,633","3,220","1,883"
2021년03월_계_70~79세,"8,413","2,054",503,"1,113",527,975,946,637,951,707
2021년03월_계_80~89세,"2,520",641,149,419,174,240,287,172,203,235
2021년03월_계_90~99세,354,96,18,49,21,31,48,25,34,32
2021년03월_계_100세 이상,10,3,0,1,2,1,2,1,0,0
2021년03월_남_총인구수,"81,412","21,604","3,127","10,229","6,140","7,709","10,590","4,520","11,288","6,205"
2021년03월_남_연령구간인구수,"81,412","21,604","3,127","10,229","6,140","7,709","10,590","4,520","11,288","6,205"
2021년03월_남_0~9세,"7,430","1,813",115,"1,103",466,697,"1,016",338,"1,230",652
2021년03월_남_10~19세,"8,232","2,201",193,"1,006",631,752,"1,161",474,"1,157",657
2021년03월_남_20~29세,"9,843","2,629",417,"1,112",839,964,"1,333",531,"1,399",619
2021년03월_남_30~39세,"12,350","3,382",486,"1,488",838,"1,185","1,371",581,"2,058",961
2021년03월_남_40~49세,"14,179","4,170",496,"1,769","1,006","1,268","1,769",740,"1,863","1,098"
2021년03월_남_50~59세,"12,616","3,449",540,"1,616","1,140","1,144","1,857",674,"1,347",849
2021년03월_남_60~69세,"11,568","2,741",557,"1,447",882,"1,082","1,476",808,"1,618",957
2021년03월_남_70~79세,"4,298","1,011",265,550,272,523,497,313,530,337
2021년03월_남_80~89세,845,202,54,126,65,87,104,59,80,68
2021년03월_남_90~99세,49,6,4,12,1,6,5,2,6,7
2021년03월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년03월_여_총인구수,"74,341","18,585","2,687","9,582","5,574","7,260","10,174","4,321","10,110","6,048"
2021년03월_여_연령구간인구수,"74,341","18,585","2,687","9,582","5,574","7,260","10,174","4,321","10,110","6,048"
2021년03월_여_0~9세,"7,078","1,722",117,"1,054",438,645,"1,049",322,"1,127",604
2021년03월_여_10~19세,"7,331","1,891",174,906,547,616,"1,138",453,984,622
2021년03월_여_20~29세,"7,681","1,986",307,887,664,965,"1,027",366,965,514
2021년03월_여_30~39세,"10,076","2,435",285,"1,409",653,969,"1,286",503,"1,687",849
2021년03월_여_40~49세,"11,873","3,139",343,"1,458",946,"1,060","1,675",653,"1,598","1,001"
2021년03월_여_50~59세,"12,704","3,131",508,"1,573","1,110","1,212","1,887",738,"1,575",970
2021년03월_여_60~69세,"11,495","2,706",606,"1,401",830,"1,163","1,436",825,"1,602",926
2021년03월_여_70~79세,"4,115","1,043",238,563,255,452,449,324,421,370
2021년03월_여_80~89세,"1,675",439,95,293,109,153,183,113,123,167
2021년03월_여_90~99세,305,90,14,37,20,25,43,23,28,25
2021년03월_여_100세 이상,8,3,0,1,2,0,1,1,0,0
