카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년12월_계_총인구수,"125,383","4,558","12,382","2,839","30,965","1,974","1,951","1,443","8,670","2,840","3,854","8,743","10,364","11,048","10,093","13,659"
2021년12월_계_연령구간인구수,"125,383","4,558","12,382","2,839","30,965","1,974","1,951","1,443","8,670","2,840","3,854","8,743","10,364","11,048","10,093","13,659"
2021년12월_계_0~9세,"8,547",101,"1,088",64,"3,495",40,28,21,350,88,106,407,649,730,410,970
2021년12월_계_10~19세,"12,671",205,"1,467",106,"4,107",89,55,26,790,160,198,619,953,"1,401",929,"1,566"
2021년12월_계_20~29세,"10,479",268,983,160,"2,641",110,71,56,823,195,253,653,902,957,891,"1,516"
2021년12월_계_30~39세,"12,323",283,"1,301",144,"4,235",93,74,63,635,151,250,754,983,985,868,"1,504"
2021년12월_계_40~49세,"20,816",516,"2,210",258,"6,652",248,159,103,"1,224",326,482,"1,255","1,549","1,891","1,442","2,501"
2021년12월_계_50~59세,"21,988",896,"2,121",487,"4,646",424,313,290,"1,592",528,750,"1,765","1,724","2,031","1,955","2,466"
2021년12월_계_60~69세,"21,449","1,089","1,719",756,"3,242",477,490,402,"1,734",683,944,"1,856","2,098","1,941","1,993","2,025"
2021년12월_계_70~79세,"11,343",703,936,514,"1,328",298,433,259,"1,055",470,577,"1,004","1,070",779,"1,094",823
2021년12월_계_80~89세,"5,082",436,484,310,539,179,297,189,417,206,275,385,375,295,446,249
2021년12월_계_90~99세,673,60,72,40,79,16,30,33,50,31,19,45,60,37,64,37
2021년12월_계_100세 이상,12,1,1,0,1,0,1,1,0,2,0,0,1,1,1,2
2021년12월_남_총인구수,"62,928","2,398","6,197","1,458","15,656","1,103","1,008",711,"4,308","1,392","1,920","4,432","4,963","5,414","5,173","6,795"
2021년12월_남_연령구간인구수,"62,928","2,398","6,197","1,458","15,656","1,103","1,008",711,"4,308","1,392","1,920","4,432","4,963","5,414","5,173","6,795"
2021년12월_남_0~9세,"4,299",41,527,37,"1,763",21,15,9,174,38,49,199,340,373,194,519
2021년12월_남_10~19세,"6,531",110,746,56,"2,131",52,27,12,376,72,96,316,494,725,489,829
2021년12월_남_20~29세,"5,863",158,534,102,"1,416",66,44,35,484,113,156,374,512,526,526,817
2021년12월_남_30~39세,"6,317",171,637,83,"2,047",64,44,44,338,87,142,427,505,471,483,774
2021년12월_남_40~49세,"11,141",326,"1,152",171,"3,487",166,102,63,680,191,299,738,788,955,795,"1,228"
2021년12월_남_50~59세,"11,426",530,"1,124",285,"2,437",247,212,170,824,295,386,911,771,991,"1,050","1,193"
2021년12월_남_60~69세,"10,425",600,867,374,"1,583",262,270,215,833,325,453,849,904,959,986,945
2021년12월_남_70~79세,"5,189",328,428,253,616,149,200,110,464,189,243,475,509,337,487,401
2021년12월_남_80~89세,"1,612",126,165,89,161,73,88,48,132,75,91,134,130,71,144,85
2021년12월_남_90~99세,124,8,17,8,15,3,6,5,3,7,5,9,10,6,18,4
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년12월_여_총인구수,"62,455","2,160","6,185","1,381","15,309",871,943,732,"4,362","1,448","1,934","4,311","5,401","5,634","4,920","6,864"
2021년12월_여_연령구간인구수,"62,455","2,160","6,185","1,381","15,309",871,943,732,"4,362","1,448","1,934","4,311","5,401","5,634","4,920","6,864"
2021년12월_여_0~9세,"4,248",60,561,27,"1,732",19,13,12,176,50,57,208,309,357,216,451
2021년12월_여_10~19세,"6,140",95,721,50,"1,976",37,28,14,414,88,102,303,459,676,440,737
2021년12월_여_20~29세,"4,616",110,449,58,"1,225",44,27,21,339,82,97,279,390,431,365,699
2021년12월_여_30~39세,"6,006",112,664,61,"2,188",29,30,19,297,64,108,327,478,514,385,730
2021년12월_여_40~49세,"9,675",190,"1,058",87,"3,165",82,57,40,544,135,183,517,761,936,647,"1,273"
2021년12월_여_50~59세,"10,562",366,997,202,"2,209",177,101,120,768,233,364,854,953,"1,040",905,"1,273"
2021년12월_여_60~69세,"11,024",489,852,382,"1,659",215,220,187,901,358,491,"1,007","1,194",982,"1,007","1,080"
2021년12월_여_70~79세,"6,154",375,508,261,712,149,233,149,591,281,334,529,561,442,607,422
2021년12월_여_80~89세,"3,470",310,319,221,378,106,209,141,285,131,184,251,245,224,302,164
2021년12월_여_90~99세,549,52,55,32,64,13,24,28,47,24,14,36,50,31,46,33
2021년12월_여_100세 이상,11,1,1,0,1,0,1,1,0,2,0,0,1,1,0,2
