,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년02월_계_총인구수,"264,279","25,604","36,274","20,940","5,935","5,524","3,340","3,720","3,010","9,928","6,632","20,017","36,424","31,797","16,207","38,927"
2021년02월_계_연령구간인구수,"264,279","25,604","36,274","20,940","5,935","5,524","3,340","3,720","3,010","9,928","6,632","20,017","36,424","31,797","16,207","38,927"
2021년02월_계_0~9세,"20,199","1,629","2,365","2,319",174,133,78,115,99,555,231,"1,984","2,751","3,473","1,023","3,270"
2021년02월_계_10~19세,"22,743","2,744","3,511","1,173",280,249,103,146,108,602,401,"1,978","3,990","2,469",790,"4,199"
2021년02월_계_20~29세,"36,188","3,846","5,393","3,176",489,457,204,268,250,"1,543",996,"2,062","4,469","4,015","3,707","5,313"
2021년02월_계_30~39세,"32,984","2,550","3,939","4,105",480,393,199,217,192,"1,153",688,"2,633","3,937","4,788","2,797","4,913"
2021년02월_계_40~49세,"41,531","4,020","6,354","3,031",623,597,270,372,279,"1,301",829,"3,551","6,289","4,932","2,210","6,873"
2021년02월_계_50~59세,"45,024","4,216","7,004","2,844","1,180","1,041",601,710,597,"1,886","1,290","3,015","6,258","5,386","2,451","6,545"
2021년02월_계_60~69세,"35,451","3,296","4,126","2,343","1,395","1,299",853,873,700,"1,753","1,147","2,575","4,853","3,827","1,881","4,530"
2021년02월_계_70~79세,"19,582","2,129","2,296","1,222",807,844,616,573,488,784,664,"1,507","2,566","2,018",894,"2,174"
2021년02월_계_80~89세,"9,373","1,060","1,160",647,443,451,363,375,247,313,347,626,"1,161",799,401,980
2021년02월_계_90~99세,"1,137",102,119,76,58,57,52,67,48,36,36,77,145,87,51,126
2021년02월_계_100세 이상,67,12,7,4,6,3,1,4,2,2,3,9,5,3,2,4
2021년02월_남_총인구수,"133,031","12,861","18,916","11,129","3,189","2,793","1,761","1,926","1,543","4,818","3,286","9,851","17,409","15,264","8,827","19,458"
2021년02월_남_연령구간인구수,"133,031","12,861","18,916","11,129","3,189","2,793","1,761","1,926","1,543","4,818","3,286","9,851","17,409","15,264","8,827","19,458"
2021년02월_남_0~9세,"10,312",863,"1,233","1,227",97,65,38,55,55,266,130,"1,007","1,333","1,711",542,"1,690"
2021년02월_남_10~19세,"11,784","1,435","1,765",622,151,130,51,76,60,316,219,"1,077","1,953","1,241",423,"2,265"
2021년02월_남_20~29세,"19,824","2,164","3,100","1,747",298,263,139,165,151,805,530,"1,097","2,308","2,118","2,053","2,886"
2021년02월_남_30~39세,"17,721","1,400","2,234","2,326",273,239,127,135,112,602,398,"1,347","1,922","2,359","1,702","2,545"
2021년02월_남_40~49세,"21,279","1,956","3,287","1,764",380,366,174,219,166,635,430,"1,776","3,046","2,389","1,282","3,409"
2021년02월_남_50~59세,"22,591","2,154","3,760","1,460",680,523,339,393,326,883,647,"1,472","2,995","2,458","1,295","3,206"
2021년02월_남_60~69세,"17,325","1,591","2,142","1,191",745,672,474,479,353,837,543,"1,164","2,304","1,738",930,"2,162"
2021년02월_남_70~79세,"8,735",902,983,559,397,386,291,279,231,367,270,662,"1,087",913,455,953
2021년02월_남_80~89세,"3,200",369,376,215,155,140,119,112,74,100,110,233,429,311,137,320
2021년02월_남_90~99세,248,25,36,18,10,9,9,13,13,7,9,14,32,25,7,21
2021년02월_남_100세 이상,12,2,0,0,3,0,0,0,2,0,0,2,0,1,1,1
2021년02월_여_총인구수,"131,248","12,743","17,358","9,811","2,746","2,731","1,579","1,794","1,467","5,110","3,346","10,166","19,015","16,533","7,380","19,469"
2021년02월_여_연령구간인구수,"131,248","12,743","17,358","9,811","2,746","2,731","1,579","1,794","1,467","5,110","3,346","10,166","19,015","16,533","7,380","19,469"
2021년02월_여_0~9세,"9,887",766,"1,132","1,092",77,68,40,60,44,289,101,977,"1,418","1,762",481,"1,580"
2021년02월_여_10~19세,"10,959","1,309","1,746",551,129,119,52,70,48,286,182,901,"2,037","1,228",367,"1,934"
2021년02월_여_20~29세,"16,364","1,682","2,293","1,429",191,194,65,103,99,738,466,965,"2,161","1,897","1,654","2,427"
2021년02월_여_30~39세,"15,263","1,150","1,705","1,779",207,154,72,82,80,551,290,"1,286","2,015","2,429","1,095","2,368"
2021년02월_여_40~49세,"20,252","2,064","3,067","1,267",243,231,96,153,113,666,399,"1,775","3,243","2,543",928,"3,464"
2021년02월_여_50~59세,"22,433","2,062","3,244","1,384",500,518,262,317,271,"1,003",643,"1,543","3,263","2,928","1,156","3,339"
2021년02월_여_60~69세,"18,126","1,705","1,984","1,152",650,627,379,394,347,916,604,"1,411","2,549","2,089",951,"2,368"
2021년02월_여_70~79세,"10,847","1,227","1,313",663,410,458,325,294,257,417,394,845,"1,479","1,105",439,"1,221"
2021년02월_여_80~89세,"6,173",691,784,432,288,311,244,263,173,213,237,393,732,488,264,660
2021년02월_여_90~99세,889,77,83,58,48,48,43,54,35,29,27,63,113,62,44,105
2021년02월_여_100세 이상,55,10,7,4,3,3,1,4,0,2,3,7,5,2,1,3
