,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년07월_계_총인구수,"34,194","13,438","4,423","2,277","1,144","2,508","1,779","2,772","1,817","1,621",624,"1,791"
2021년07월_계_연령구간인구수,"34,194","13,438","4,423","2,277","1,144","2,508","1,779","2,772","1,817","1,621",624,"1,791"
2021년07월_계_0~9세,"1,646",923,252,59,26,53,69,94,37,47,14,72
2021년07월_계_10~19세,"2,444","1,320",338,117,44,140,92,128,62,79,44,80
2021년07월_계_20~29세,"2,797","1,503",365,138,61,116,69,172,112,94,35,132
2021년07월_계_30~39세,"2,332","1,200",345,103,54,105,81,165,81,66,19,113
2021년07월_계_40~49세,"3,620","1,797",464,180,96,191,162,239,124,142,46,179
2021년07월_계_50~59세,"5,576","2,219",717,379,183,379,286,422,317,261,101,312
2021년07월_계_60~69세,"6,401","2,081",776,485,265,570,412,616,369,343,112,372
2021년07월_계_70~79세,"5,130","1,438",600,440,237,497,316,504,363,290,125,320
2021년07월_계_80~89세,"3,644",824,489,324,146,382,258,370,312,250,104,185
2021년07월_계_90~99세,576,123,75,50,31,66,33,62,38,48,24,26
2021년07월_계_100세 이상,28,10,2,2,1,9,1,0,2,1,0,0
2021년07월_남_총인구수,"16,570","6,495","2,150","1,106",550,"1,217",853,"1,359",882,760,307,891
2021년07월_남_연령구간인구수,"16,570","6,495","2,150","1,106",550,"1,217",853,"1,359",882,760,307,891
2021년07월_남_0~9세,814,468,121,35,9,26,26,46,23,20,7,33
2021년07월_남_10~19세,"1,263",664,188,53,23,78,47,62,31,44,26,47
2021년07월_남_20~29세,"1,591",815,221,83,37,73,41,108,62,54,22,75
2021년07월_남_30~39세,"1,199",603,177,56,30,61,39,85,48,36,5,59
2021년07월_남_40~49세,"1,995",890,244,114,62,116,104,147,81,91,34,112
2021년07월_남_50~59세,"3,036","1,139",383,203,108,223,158,239,193,142,64,184
2021년07월_남_60~69세,"3,216","1,015",419,250,125,294,203,317,188,173,61,171
2021년07월_남_70~79세,"2,221",625,243,193,110,219,148,220,152,112,56,143
2021년07월_남_80~89세,"1,123",250,139,111,42,114,85,119,96,77,26,64
2021년07월_남_90~99세,106,25,15,7,4,11,2,16,7,10,6,3
2021년07월_남_100세 이상,6,1,0,1,0,2,0,0,1,1,0,0
2021년07월_여_총인구수,"17,624","6,943","2,273","1,171",594,"1,291",926,"1,413",935,861,317,900
2021년07월_여_연령구간인구수,"17,624","6,943","2,273","1,171",594,"1,291",926,"1,413",935,861,317,900
2021년07월_여_0~9세,832,455,131,24,17,27,43,48,14,27,7,39
2021년07월_여_10~19세,"1,181",656,150,64,21,62,45,66,31,35,18,33
2021년07월_여_20~29세,"1,206",688,144,55,24,43,28,64,50,40,13,57
2021년07월_여_30~39세,"1,133",597,168,47,24,44,42,80,33,30,14,54
2021년07월_여_40~49세,"1,625",907,220,66,34,75,58,92,43,51,12,67
2021년07월_여_50~59세,"2,540","1,080",334,176,75,156,128,183,124,119,37,128
2021년07월_여_60~69세,"3,185","1,066",357,235,140,276,209,299,181,170,51,201
2021년07월_여_70~79세,"2,909",813,357,247,127,278,168,284,211,178,69,177
2021년07월_여_80~89세,"2,521",574,350,213,104,268,173,251,216,173,78,121
2021년07월_여_90~99세,470,98,60,43,27,55,31,46,31,38,18,23
2021년07월_여_100세 이상,22,9,2,1,1,7,1,0,1,0,0,0
