,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년03월_계_총인구수,"62,324","29,375","8,676","2,385","4,418","5,394","5,357","4,422","2,297"
2020년03월_계_연령구간인구수,"62,324","29,375","8,676","2,385","4,418","5,394","5,357","4,422","2,297"
2020년03월_계_0~9세,"3,183","2,261",321,59,131,127,112,124,48
2020년03월_계_10~19세,"4,546","2,958",570,132,192,197,213,185,99
2020년03월_계_20~29세,"5,206","2,984",584,119,489,321,257,330,122
2020년03월_계_30~39세,"5,366","3,338",614,128,270,333,278,276,129
2020년03월_계_40~49세,"7,840","4,504","1,056",237,399,504,539,416,185
2020년03월_계_50~59세,"10,905","4,951","1,553",475,773,"1,011",976,786,380
2020년03월_계_60~69세,"11,653","4,123","1,884",523,981,"1,341","1,294",963,544
2020년03월_계_70~79세,"8,588","2,767","1,396",442,721,978,"1,042",796,446
2020년03월_계_80~89세,"4,421","1,313",594,244,406,516,575,471,302
2020년03월_계_90~99세,593,172,93,26,55,63,70,74,40
2020년03월_계_100세 이상,23,4,11,0,1,3,1,1,2
2020년03월_남_총인구수,"31,434","14,832","4,327","1,147","2,285","2,789","2,652","2,243","1,159"
2020년03월_남_연령구간인구수,"31,434","14,832","4,327","1,147","2,285","2,789","2,652","2,243","1,159"
2020년03월_남_0~9세,"1,580","1,140",157,22,56,59,60,59,27
2020년03월_남_10~19세,"2,368","1,519",315,58,104,114,107,97,54
2020년03월_남_20~29세,"3,040","1,697",332,66,342,205,144,191,63
2020년03월_남_30~39세,"2,993","1,789",342,71,154,218,167,172,80
2020년03월_남_40~49세,"4,474","2,404",604,148,253,330,346,259,130
2020년03월_남_50~59세,"5,695","2,521",826,255,391,545,515,427,215
2020년03월_남_60~69세,"5,596","1,983",881,252,495,639,620,462,264
2020년03월_남_70~79세,"4,005","1,294",641,190,332,463,483,391,211
2020년03월_남_80~89세,"1,554",446,207,80,142,201,197,170,111
2020년03월_남_90~99세,125,39,20,5,15,15,13,14,4
2020년03월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년03월_여_총인구수,"30,890","14,543","4,349","1,238","2,133","2,605","2,705","2,179","1,138"
2020년03월_여_연령구간인구수,"30,890","14,543","4,349","1,238","2,133","2,605","2,705","2,179","1,138"
2020년03월_여_0~9세,"1,603","1,121",164,37,75,68,52,65,21
2020년03월_여_10~19세,"2,178","1,439",255,74,88,83,106,88,45
2020년03월_여_20~29세,"2,166","1,287",252,53,147,116,113,139,59
2020년03월_여_30~39세,"2,373","1,549",272,57,116,115,111,104,49
2020년03월_여_40~49세,"3,366","2,100",452,89,146,174,193,157,55
2020년03월_여_50~59세,"5,210","2,430",727,220,382,466,461,359,165
2020년03월_여_60~69세,"6,057","2,140","1,003",271,486,702,674,501,280
2020년03월_여_70~79세,"4,583","1,473",755,252,389,515,559,405,235
2020년03월_여_80~89세,"2,867",867,387,164,264,315,378,301,191
2020년03월_여_90~99세,468,133,73,21,40,48,57,60,36
2020년03월_여_100세 이상,19,4,9,0,0,3,1,0,2
