카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년11월_계_총인구수,"64,235","18,696","19,511","2,397","6,216","2,885","3,485","5,414","1,942","2,778",911
2020년11월_계_연령구간인구수,"64,235","18,696","19,511","2,397","6,216","2,885","3,485","5,414","1,942","2,778",911
2020년11월_계_0~9세,"4,123","1,287","1,954",57,311,65,59,296,18,62,14
2020년11월_계_10~19세,"5,976","1,994","2,639",110,306,85,142,457,61,154,28
2020년11월_계_20~29세,"5,528","2,063","1,576",166,480,183,236,440,117,215,52
2020년11월_계_30~39세,"5,659","1,883","2,060",154,549,144,144,415,89,175,46
2020년11월_계_40~49세,"9,418","2,899","3,833",208,598,275,309,803,163,267,63
2020년11월_계_50~59세,"11,286","3,399","3,127",415,"1,037",566,605,"1,054",350,555,178
2020년11월_계_60~69세,"10,951","2,723","2,454",558,"1,282",710,809,934,512,699,270
2020년11월_계_70~79세,"6,694","1,472","1,229",420,896,492,667,630,363,373,152
2020년11월_계_80~89세,"4,044",855,547,274,670,325,448,337,247,247,94
2020년11월_계_90~99세,543,116,86,35,85,40,66,48,22,31,14
2020년11월_계_100세 이상,13,5,6,0,2,0,0,0,0,0,0
2020년11월_남_총인구수,"32,576","9,413","9,883","1,200","3,209","1,463","1,732","2,804",997,"1,408",467
2020년11월_남_연령구간인구수,"32,576","9,413","9,883","1,200","3,209","1,463","1,732","2,804",997,"1,408",467
2020년11월_남_0~9세,"2,070",661,960,26,153,30,33,164,6,28,9
2020년11월_남_10~19세,"3,177","1,090","1,386",61,170,48,74,213,31,87,17
2020년11월_남_20~29세,"3,210","1,200",868,98,299,108,143,250,78,136,30
2020년11월_남_30~39세,"2,886",946,966,86,311,91,84,227,52,94,29
2020년11월_남_40~49세,"5,114","1,507","1,961",123,380,180,195,456,111,159,42
2020년11월_남_50~59세,"6,180","1,768","1,715",225,603,332,352,604,209,276,96
2020년11월_남_60~69세,"5,679","1,348","1,258",302,686,371,414,505,266,383,146
2020년11월_남_70~79세,"2,939",612,589,186,386,200,286,278,154,179,69
2020년11월_남_80~89세,"1,207",253,157,86,197,93,140,103,87,63,28
2020년11월_남_90~99세,110,28,21,7,22,10,11,4,3,3,1
2020년11월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2020년11월_여_총인구수,"31,659","9,283","9,628","1,197","3,007","1,422","1,753","2,610",945,"1,370",444
2020년11월_여_연령구간인구수,"31,659","9,283","9,628","1,197","3,007","1,422","1,753","2,610",945,"1,370",444
2020년11월_여_0~9세,"2,053",626,994,31,158,35,26,132,12,34,5
2020년11월_여_10~19세,"2,799",904,"1,253",49,136,37,68,244,30,67,11
2020년11월_여_20~29세,"2,318",863,708,68,181,75,93,190,39,79,22
2020년11월_여_30~39세,"2,773",937,"1,094",68,238,53,60,188,37,81,17
2020년11월_여_40~49세,"4,304","1,392","1,872",85,218,95,114,347,52,108,21
2020년11월_여_50~59세,"5,106","1,631","1,412",190,434,234,253,450,141,279,82
2020년11월_여_60~69세,"5,272","1,375","1,196",256,596,339,395,429,246,316,124
2020년11월_여_70~79세,"3,755",860,640,234,510,292,381,352,209,194,83
2020년11월_여_80~89세,"2,837",602,390,188,473,232,308,234,160,184,66
2020년11월_여_90~99세,433,88,65,28,63,30,55,44,19,28,13
2020년11월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
