카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년06월_계_총인구수,"43,618","7,930","19,259","3,270","3,975","2,666","1,767","1,017","2,814",199,721
2020년06월_계_연령구간인구수,"43,618","7,930","19,259","3,270","3,975","2,666","1,767","1,017","2,814",199,721
2020년06월_계_0~9세,"2,862",731,"1,633",98,142,91,46,22,63,9,27
2020년06월_계_10~19세,"3,230",464,"1,938",189,193,153,71,51,125,10,36
2020년06월_계_20~29세,"5,408","1,226","2,463",338,461,244,151,81,349,44,51
2020년06월_계_30~39세,"4,290","1,043","2,187",207,286,187,114,58,153,11,44
2020년06월_계_40~49세,"5,024",820,"2,683",295,416,252,146,88,242,19,63
2020년06월_계_50~59세,"7,244","1,088","3,192",602,726,520,349,151,443,32,141
2020년06월_계_60~69세,"7,321","1,088","2,629",696,847,542,450,233,646,35,155
2020년06월_계_70~79세,"5,058",883,"1,523",498,568,434,274,225,507,24,122
2020년06월_계_80~89세,"2,736",505,838,310,282,223,144,97,252,13,72
2020년06월_계_90~99세,399,77,152,32,47,18,20,10,32,1,10
2020년06월_계_100세 이상,46,5,21,5,7,2,2,1,2,1,0
2020년06월_남_총인구수,"22,851","4,284","9,814","1,727","2,114","1,437",939,540,"1,520",116,360
2020년06월_남_연령구간인구수,"22,851","4,284","9,814","1,727","2,114","1,437",939,540,"1,520",116,360
2020년06월_남_0~9세,"1,466",370,846,51,64,44,26,14,31,4,16
2020년06월_남_10~19세,"1,727",262,"1,007",102,117,88,39,32,57,4,19
2020년06월_남_20~29세,"3,432",840,"1,385",232,323,156,94,51,281,39,31
2020년06월_남_30~39세,"2,424",615,"1,172",118,174,116,66,33,97,7,26
2020년06월_남_40~49세,"2,745",464,"1,376",177,246,142,87,56,150,8,39
2020년06월_남_50~59세,"3,887",608,"1,668",325,388,289,184,90,249,19,67
2020년06월_남_60~69세,"3,765",543,"1,334",378,434,294,256,115,315,19,77
2020년06월_남_70~79세,"2,287",378,702,219,247,206,121,105,240,11,58
2020년06월_남_80~89세,990,180,275,114,105,95,57,41,91,5,27
2020년06월_남_90~99세,113,24,41,9,15,6,8,2,8,0,0
2020년06월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년06월_여_총인구수,"20,767","3,646","9,445","1,543","1,861","1,229",828,477,"1,294",83,361
2020년06월_여_연령구간인구수,"20,767","3,646","9,445","1,543","1,861","1,229",828,477,"1,294",83,361
2020년06월_여_0~9세,"1,396",361,787,47,78,47,20,8,32,5,11
2020년06월_여_10~19세,"1,503",202,931,87,76,65,32,19,68,6,17
2020년06월_여_20~29세,"1,976",386,"1,078",106,138,88,57,30,68,5,20
2020년06월_여_30~39세,"1,866",428,"1,015",89,112,71,48,25,56,4,18
2020년06월_여_40~49세,"2,279",356,"1,307",118,170,110,59,32,92,11,24
2020년06월_여_50~59세,"3,357",480,"1,524",277,338,231,165,61,194,13,74
2020년06월_여_60~69세,"3,556",545,"1,295",318,413,248,194,118,331,16,78
2020년06월_여_70~79세,"2,771",505,821,279,321,228,153,120,267,13,64
2020년06월_여_80~89세,"1,746",325,563,196,177,128,87,56,161,8,45
2020년06월_여_90~99세,286,53,111,23,32,12,12,8,24,1,10
2020년06월_여_100세 이상,31,5,13,3,6,1,1,0,1,1,0
