카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년09월_계_총인구수,"62,244","6,940","5,980","7,616","10,491","3,572","1,601","2,773","7,709","6,178","6,427","2,957"
2021년09월_계_연령구간인구수,"62,244","6,940","5,980","7,616","10,491","3,572","1,601","2,773","7,709","6,178","6,427","2,957"
2021년09월_계_0~9세,"3,570",414,227,316,796,111,81,75,411,514,520,105
2021년09월_계_10~19세,"4,960",588,461,605,878,199,111,147,652,573,566,180
2021년09월_계_20~29세,"6,515",739,667,749,"1,169",369,163,249,799,744,586,281
2021년09월_계_30~39세,"6,911",775,505,701,"1,364",325,151,212,806,"1,076",758,238
2021년09월_계_40~49세,"9,787","1,144",831,"1,163","1,743",471,243,342,"1,250","1,074","1,116",410
2021년09월_계_50~59세,"10,028","1,180","1,066","1,253","1,574",640,236,454,"1,248",971,976,430
2021년09월_계_60~69세,"10,453","1,129","1,084","1,364","1,592",742,304,615,"1,302",737,"1,000",584
2021년09월_계_70~79세,"6,584",621,767,940,985,437,186,409,826,350,574,489
2021년09월_계_80~89세,"2,959",303,317,465,335,251,112,235,351,116,268,206
2021년09월_계_90~99세,440,46,52,58,50,26,13,31,56,20,56,32
2021년09월_계_100세 이상,37,1,3,2,5,1,1,4,8,3,7,2
2021년09월_남_총인구수,"31,417","3,566","3,054","3,756","5,141","1,848",776,"1,426","3,951","3,202","3,222","1,475"
2021년09월_남_연령구간인구수,"31,417","3,566","3,054","3,756","5,141","1,848",776,"1,426","3,951","3,202","3,222","1,475"
2021년09월_남_0~9세,"1,872",230,124,171,397,58,38,41,231,260,278,44
2021년09월_남_10~19세,"2,563",301,238,287,463,101,55,72,334,289,320,103
2021년09월_남_20~29세,"3,549",416,368,406,604,210,86,159,467,389,301,143
2021년09월_남_30~39세,"3,693",407,267,381,685,187,87,130,443,596,376,134
2021년09월_남_40~49세,"5,274",610,441,647,905,275,127,198,657,570,609,235
2021년09월_남_50~59세,"5,356",655,595,664,768,359,117,263,677,515,505,238
2021년09월_남_60~69세,"5,072",572,539,648,730,382,151,293,627,368,467,295
2021년09월_남_70~79세,"2,899",270,342,388,454,185,82,174,366,164,270,204
2021년09월_남_80~89세,"1,029",93,126,150,125,83,29,86,131,44,90,72
2021년09월_남_90~99세,101,11,14,14,8,8,4,8,16,6,5,7
2021년09월_남_100세 이상,9,1,0,0,2,0,0,2,2,1,1,0
2021년09월_여_총인구수,"30,827","3,374","2,926","3,860","5,350","1,724",825,"1,347","3,758","2,976","3,205","1,482"
2021년09월_여_연령구간인구수,"30,827","3,374","2,926","3,860","5,350","1,724",825,"1,347","3,758","2,976","3,205","1,482"
2021년09월_여_0~9세,"1,698",184,103,145,399,53,43,34,180,254,242,61
2021년09월_여_10~19세,"2,397",287,223,318,415,98,56,75,318,284,246,77
2021년09월_여_20~29세,"2,966",323,299,343,565,159,77,90,332,355,285,138
2021년09월_여_30~39세,"3,218",368,238,320,679,138,64,82,363,480,382,104
2021년09월_여_40~49세,"4,513",534,390,516,838,196,116,144,593,504,507,175
2021년09월_여_50~59세,"4,672",525,471,589,806,281,119,191,571,456,471,192
2021년09월_여_60~69세,"5,381",557,545,716,862,360,153,322,675,369,533,289
2021년09월_여_70~79세,"3,685",351,425,552,531,252,104,235,460,186,304,285
2021년09월_여_80~89세,"1,930",210,191,315,210,168,83,149,220,72,178,134
2021년09월_여_90~99세,339,35,38,44,42,18,9,23,40,14,51,25
2021년09월_여_100세 이상,28,0,3,2,3,1,1,2,6,2,6,2
