카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년12월_계_총인구수,"1,851,549","224,044","280,242","282,189","115,613","151,769","46,280","28,039","25,719","63,922","40,482","62,522","37,800","34,597","68,806","53,699","86,132","32,050","53,099","44,464","49,916","31,227","38,938"
2020년12월_계_연령구간인구수,"1,851,549","224,044","280,242","282,189","115,613","151,769","46,280","28,039","25,719","63,922","40,482","62,522","37,800","34,597","68,806","53,699","86,132","32,050","53,099","44,464","49,916","31,227","38,938"
2020년12월_계_0~9세,"132,202","18,295","20,942","23,528","10,133","13,388","2,345","1,085","1,141","2,619","1,759","3,490","2,014","1,775","4,004","3,539","7,795","1,387","3,765","2,781","3,153","1,704","1,560"
2020년12월_계_10~19세,"167,308","24,511","26,412","30,268","9,389","16,046","3,029","1,928","1,858","3,860","2,604","5,659","2,811","2,520","5,273","4,443","9,241","2,048","4,169","3,283","3,637","2,279","2,040"
2020년12월_계_20~29세,"200,709","27,134","33,719","37,553","12,414","20,204","4,834","2,387","1,985","4,172","2,988","6,822","3,098","2,865","5,546","5,103","8,828","2,516","5,012","4,273","3,777","2,700","2,779"
2020년12월_계_30~39세,"186,064","25,751","31,026","33,117","14,591","18,537","3,644","1,718","1,686","3,683","2,539","4,745","2,784","2,461","5,076","4,778","10,269","2,124","4,871","3,661","4,008","2,313","2,682"
2020년12월_계_40~49세,"259,749","37,381","41,915","43,454","16,461","23,894","5,187","3,025","2,926","6,341","4,158","8,267","4,132","3,773","8,057","7,431","13,519","3,477","6,553","5,536","6,216","3,722","4,324"
2020년12월_계_50~59세,"313,679","36,297","48,521","49,124","17,256","29,079","8,146","4,897","4,624","10,204","6,676","11,256","6,322","5,649","11,582","9,413","12,872","5,505","8,543","7,481","8,081","5,109","7,042"
2020년12월_계_60~69세,"272,377","28,933","40,792","34,337","16,167","17,003","8,281","5,004","4,704","12,735","7,620","9,473","6,615","6,198","12,356","8,051","10,845","5,919","8,467","7,260","8,621","5,355","7,641"
2020년12월_계_70~79세,"192,906","17,606","24,534","19,029","11,550","8,161","6,346","4,285","3,900","11,514","6,646","7,485","5,474","5,233","10,057","6,329","7,913","5,155","7,171","5,937","7,428","4,747","6,406"
2020년12월_계_80~89세,"109,618","7,096","10,669","10,119","6,596","4,688","3,835","3,190","2,496","7,502","4,739","4,645","3,902","3,566","5,987","4,040","4,196","3,404","3,965","3,710","4,410","2,913","3,950"
