,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년01월_계_총인구수,"352,421","120,919","35,214","3,367","12,898","8,322","11,470","33,526","22,251","9,110","28,703","20,290","31,021","15,330"
2021년01월_계_연령구간인구수,"352,421","120,919","35,214","3,367","12,898","8,322","11,470","33,526","22,251","9,110","28,703","20,290","31,021","15,330"
2021년01월_계_0~9세,"34,397","16,084","4,826",83,540,193,449,"2,545","1,384",756,"2,388","1,391","2,502","1,256"
2021년01월_계_10~19세,"34,354","12,664","2,819",106,837,481,621,"4,237","1,817","1,005","3,300","1,815","3,296","1,356"
2021년01월_계_20~29세,"40,685","14,402","3,268",165,"1,315",845,"1,429","4,618","3,198","1,037","3,256","2,213","3,206","1,733"
2021년01월_계_30~39세,"48,928","21,248","6,481",206,"1,091",576,"1,238","3,376","3,023","1,101","3,310","2,273","3,147","1,858"
2021년01월_계_40~49세,"60,913","22,173","6,394",274,"1,653",943,"1,460","6,133","3,479","1,657","5,440","3,404","5,506","2,397"
2021년01월_계_50~59세,"58,703","16,968","4,765",601,"2,732","1,910","2,454","6,202","4,602","1,545","4,978","3,896","5,225","2,825"
2021년01월_계_60~69세,"43,273","10,928","4,100",941,"2,619","1,908","2,326","3,488","3,011","1,188","3,588","2,902","4,111","2,163"
2021년01월_계_70~79세,"21,131","4,476","1,834",625,"1,402",905,"1,017","2,010","1,170",562,"1,708","1,565","2,713","1,144"
2021년01월_계_80~89세,"8,867","1,734",637,316,608,471,410,827,493,231,644,753,"1,207",536
2021년01월_계_90~99세,"1,110",234,88,48,92,82,58,88,70,28,80,76,104,62
2021년01월_계_100세 이상,60,8,2,2,9,8,8,2,4,0,11,2,4,0
2021년01월_남_총인구수,"176,705","59,750","17,870","1,734","6,551","4,361","6,082","16,250","11,664","4,581","14,949","10,150","15,135","7,628"
2021년01월_남_연령구간인구수,"176,705","59,750","17,870","1,734","6,551","4,361","6,082","16,250","11,664","4,581","14,949","10,150","15,135","7,628"
2021년01월_남_0~9세,"17,558","8,177","2,489",47,268,101,228,"1,296",711,370,"1,231",705,"1,269",666
2021년01월_남_10~19세,"17,653","6,475","1,427",53,416,252,358,"2,214",957,470,"1,700",930,"1,701",700
2021년01월_남_20~29세,"21,773","7,126","1,786",96,771,516,842,"2,442","1,870",550,"1,869","1,227","1,739",939
2021년01월_남_30~39세,"25,147","10,521","3,272",129,625,332,739,"1,669","1,735",609,"1,781","1,196","1,568",971
2021년01월_남_40~49세,"30,912","11,130","3,449",166,876,497,815,"2,771","1,848",835,"2,852","1,728","2,780","1,165"
2021년01월_남_50~59세,"29,610","8,300","2,359",321,"1,410","1,010","1,293","3,060","2,263",820,"2,708","2,019","2,633","1,414"
2021년01월_남_60~69세,"21,212","5,343","1,955",490,"1,352","1,042","1,165","1,603","1,603",592,"1,783","1,417","1,814","1,053"
2021년01월_남_70~79세,"9,519","2,078",905,313,602,443,481,841,516,257,780,654,"1,139",510
2021년01월_남_80~89세,"3,073",558,211,108,205,149,141,338,143,76,231,254,462,197
2021년01월_남_90~99세,237,41,17,11,23,19,19,15,16,2,13,20,28,13
2021년01월_남_100세 이상,11,1,0,0,3,0,1,1,2,0,1,0,2,0
2021년01월_여_총인구수,"175,716","61,169","17,344","1,633","6,347","3,961","5,388","17,276","10,587","4,529","13,754","10,140","15,886","7,702"
2021년01월_여_연령구간인구수,"175,716","61,169","17,344","1,633","6,347","3,961","5,388","17,276","10,587","4,529","13,754","10,140","15,886","7,702"
2021년01월_여_0~9세,"16,839","7,907","2,337",36,272,92,221,"1,249",673,386,"1,157",686,"1,233",590
2021년01월_여_10~19세,"16,701","6,189","1,392",53,421,229,263,"2,023",860,535,"1,600",885,"1,595",656
2021년01월_여_20~29세,"18,912","7,276","1,482",69,544,329,587,"2,176","1,328",487,"1,387",986,"1,467",794
2021년01월_여_30~39세,"23,781","10,727","3,209",77,466,244,499,"1,707","1,288",492,"1,529","1,077","1,579",887
2021년01월_여_40~49세,"30,001","11,043","2,945",108,777,446,645,"3,362","1,631",822,"2,588","1,676","2,726","1,232"
2021년01월_여_50~59세,"29,093","8,668","2,406",280,"1,322",900,"1,161","3,142","2,339",725,"2,270","1,877","2,592","1,411"
2021년01월_여_60~69세,"22,061","5,585","2,145",451,"1,267",866,"1,161","1,885","1,408",596,"1,805","1,485","2,297","1,110"
2021년01월_여_70~79세,"11,612","2,398",929,312,800,462,536,"1,169",654,305,928,911,"1,574",634
2021년01월_여_80~89세,"5,794","1,176",426,208,403,322,269,489,350,155,413,499,745,339
2021년01월_여_90~99세,873,193,71,37,69,63,39,73,54,26,67,56,76,49
2021년01월_여_100세 이상,49,7,2,2,6,8,7,1,2,0,10,2,2,0
