,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년06월_계_총인구수,"131,779","6,842","7,262","4,577","43,529","30,780","2,507","32,735","3,547"
2020년06월_계_연령구간인구수,"131,779","6,842","7,262","4,577","43,529","30,780","2,507","32,735","3,547"
2020년06월_계_0~9세,"19,417",185,521,90,"8,439","5,397",61,"4,608",116
2020년06월_계_10~19세,"10,883",306,485,153,"3,407","4,081",64,"2,241",146
2020년06월_계_20~29세,"11,877",653,854,383,"3,697","2,543",210,"3,254",283
2020년06월_계_30~39세,"26,378",580,887,362,"11,413","5,332",205,"7,286",313
2020년06월_계_40~49세,"22,022",724,933,398,"7,251","6,564",211,"5,536",405
2020년06월_계_50~59세,"16,479","1,305","1,154","1,002","4,178","3,375",516,"4,198",751
2020년06월_계_60~69세,"15,042","1,631","1,331","1,270","3,402","2,364",614,"3,593",837
2020년06월_계_70~79세,"6,625","1,010",703,593,"1,241",805,419,"1,407",447
2020년06월_계_80~89세,"2,582",387,335,263,417,275,175,529,201
2020년06월_계_90~99세,431,58,52,52,76,43,29,78,43
2020년06월_계_100세 이상,43,3,7,11,8,1,3,5,5
2020년06월_남_총인구수,"68,116","3,788","4,023","2,440","21,816","15,306","1,333","17,539","1,871"
2020년06월_남_연령구간인구수,"68,116","3,788","4,023","2,440","21,816","15,306","1,333","17,539","1,871"
2020년06월_남_0~9세,"9,982",94,271,42,"4,281","2,787",29,"2,417",61
2020년06월_남_10~19세,"5,561",178,263,85,"1,664","2,079",41,"1,177",74
2020년06월_남_20~29세,"6,360",386,558,238,"1,779","1,298",120,"1,810",171
2020년06월_남_30~39세,"13,461",338,510,217,"5,665","2,403",119,"4,021",188
2020년06월_남_40~49세,"12,365",435,569,249,"4,039","3,384",141,"3,303",245
2020년06월_남_50~59세,"8,451",773,657,541,"1,933","1,700",282,"2,165",400
2020년06월_남_60~69세,"7,676",905,721,688,"1,643","1,156",331,"1,806",426
2020년06월_남_70~79세,"3,302",518,353,274,657,393,210,666,231
2020년06월_남_80~89세,869,150,113,90,143,93,54,160,66
2020년06월_남_90~99세,77,10,6,12,9,12,6,13,9
2020년06월_남_100세 이상,12,1,2,4,3,1,0,1,0
2020년06월_여_총인구수,"63,663","3,054","3,239","2,137","21,713","15,474","1,174","15,196","1,676"
2020년06월_여_연령구간인구수,"63,663","3,054","3,239","2,137","21,713","15,474","1,174","15,196","1,676"
2020년06월_여_0~9세,"9,435",91,250,48,"4,158","2,610",32,"2,191",55
2020년06월_여_10~19세,"5,322",128,222,68,"1,743","2,002",23,"1,064",72
2020년06월_여_20~29세,"5,517",267,296,145,"1,918","1,245",90,"1,444",112
2020년06월_여_30~39세,"12,917",242,377,145,"5,748","2,929",86,"3,265",125
2020년06월_여_40~49세,"9,657",289,364,149,"3,212","3,180",70,"2,233",160
2020년06월_여_50~59세,"8,028",532,497,461,"2,245","1,675",234,"2,033",351
2020년06월_여_60~69세,"7,366",726,610,582,"1,759","1,208",283,"1,787",411
2020년06월_여_70~79세,"3,323",492,350,319,584,412,209,741,216
2020년06월_여_80~89세,"1,713",237,222,173,274,182,121,369,135
2020년06월_여_90~99세,354,48,46,40,67,31,23,65,34
2020년06월_여_100세 이상,31,2,5,7,5,0,3,4,5
