,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년08월_계_총인구수,"213,025","16,431","3,457","1,576","4,167","4,228","3,496","4,647","6,458","15,232","4,845","3,398","25,782","7,815","10,337","12,897","4,761","10,117","16,481","17,882","28,305","10,713"
2021년08월_계_연령구간인구수,"213,025","16,431","3,457","1,576","4,167","4,228","3,496","4,647","6,458","15,232","4,845","3,398","25,782","7,815","10,337","12,897","4,761","10,117","16,481","17,882","28,305","10,713"
2021년08월_계_0~9세,"13,068",621,136,29,210,99,96,194,343,"1,310",151,86,"1,663",353,421,545,288,895,"1,362",911,"2,329","1,026"
2021년08월_계_10~19세,"18,564",956,190,37,274,187,150,243,455,"1,481",295,160,"2,893",602,709,"1,127",383,"1,022","1,520","1,495","3,394",991
2021년08월_계_20~29세,"24,888","1,448",281,88,327,407,267,419,501,"1,730",540,337,"3,610",936,"1,251","1,638",544,"1,135","2,420","2,004","3,414","1,591"
2021년08월_계_30~39세,"21,341","1,186",210,80,325,282,206,406,542,"1,978",416,267,"2,569",779,896,"1,257",550,"1,292","2,055","1,553","3,148","1,344"
2021년08월_계_40~49세,"31,880","1,993",380,97,491,420,310,575,946,"2,559",632,407,"4,395","1,025","1,387","1,806",689,"1,664","2,666","2,478","5,106","1,854"
2021년08월_계_50~59세,"36,524","2,962",657,313,688,749,653,838,"1,072","2,497",756,593,"4,439","1,402","1,955","2,417",927,"1,670","2,569","3,100","4,615","1,652"
2021년08월_계_60~69세,"35,241","3,579",795,495,969,966,878,"1,068","1,386","1,983",991,706,"3,340","1,466","2,024","2,371",764,"1,444","2,218","3,041","3,481","1,276"
2021년08월_계_70~79세,"19,539","2,282",434,265,497,665,551,531,757,"1,082",648,558,"1,781",797,"1,118","1,116",368,614,"1,062","2,063","1,725",625
2021년08월_계_80~89세,"10,242","1,191",319,147,305,388,333,312,393,514,337,258,960,391,506,520,217,318,526,"1,070",942,295
2021년08월_계_90~99세,"1,680",206,53,25,78,63,51,59,60,92,77,24,127,63,67,96,31,61,81,162,146,58
2021년08월_계_100세 이상,58,7,2,0,3,2,1,2,3,6,2,2,5,1,3,4,0,2,2,5,5,1
2021년08월_남_총인구수,"105,698","8,034","1,743",847,"2,127","2,245","1,804","2,392","3,226","7,413","2,313","1,758","12,606","3,875","5,111","6,358","2,321","4,876","8,216","8,972","13,999","5,462"
2021년08월_남_연령구간인구수,"105,698","8,034","1,743",847,"2,127","2,245","1,804","2,392","3,226","7,413","2,313","1,758","12,606","3,875","5,111","6,358","2,321","4,876","8,216","8,972","13,999","5,462"
2021년08월_남_0~9세,"6,746",316,72,24,112,54,51,104,167,678,77,48,853,188,223,274,128,434,695,454,"1,254",540
2021년08월_남_10~19세,"9,723",526,99,14,147,103,91,135,230,738,136,89,"1,501",314,380,600,196,528,779,827,"1,784",506
2021년08월_남_20~29세,"13,655",835,171,54,191,271,170,244,279,888,270,191,"1,920",479,655,879,324,597,"1,330","1,150","1,857",900
2021년08월_남_30~39세,"11,259",641,116,58,166,179,130,224,297,"1,015",247,155,"1,317",444,496,694,294,640,"1,029",832,"1,609",676
2021년08월_남_40~49세,"16,219","1,069",218,61,278,280,179,324,505,"1,229",336,241,"2,055",514,754,932,326,804,"1,371","1,326","2,478",939
2021년08월_남_50~59세,"18,477","1,526",336,171,375,419,367,440,548,"1,247",403,327,"2,239",704,970,"1,189",440,771,"1,257","1,616","2,288",844
2021년08월_남_60~69세,"16,828","1,686",407,261,506,506,461,530,679,935,436,326,"1,548",697,901,"1,088",368,697,"1,072","1,432","1,670",622
2021년08월_남_70~79세,"8,759",964,218,138,233,295,248,256,365,483,272,262,771,371,504,510,158,269,486,899,732,325
2021년08월_남_80~89세,"3,689",422,98,61,104,121,96,126,143,179,115,116,379,155,211,179,80,124,179,403,300,98
2021년08월_남_90~99세,330,47,8,5,13,16,11,9,11,21,20,3,23,9,16,12,7,12,18,32,26,11
2021년08월_남_100세 이상,13,2,0,0,2,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,1,1
2021년08월_여_총인구수,"107,327","8,397","1,714",729,"2,040","1,983","1,692","2,255","3,232","7,819","2,532","1,640","13,176","3,940","5,226","6,539","2,440","5,241","8,265","8,910","14,306","5,251"
2021년08월_여_연령구간인구수,"107,327","8,397","1,714",729,"2,040","1,983","1,692","2,255","3,232","7,819","2,532","1,640","13,176","3,940","5,226","6,539","2,440","5,241","8,265","8,910","14,306","5,251"
2021년08월_여_0~9세,"6,322",305,64,5,98,45,45,90,176,632,74,38,810,165,198,271,160,461,667,457,"1,075",486
2021년08월_여_10~19세,"8,841",430,91,23,127,84,59,108,225,743,159,71,"1,392",288,329,527,187,494,741,668,"1,610",485
2021년08월_여_20~29세,"11,233",613,110,34,136,136,97,175,222,842,270,146,"1,690",457,596,759,220,538,"1,090",854,"1,557",691
2021년08월_여_30~39세,"10,082",545,94,22,159,103,76,182,245,963,169,112,"1,252",335,400,563,256,652,"1,026",721,"1,539",668
2021년08월_여_40~49세,"15,661",924,162,36,213,140,131,251,441,"1,330",296,166,"2,340",511,633,874,363,860,"1,295","1,152","2,628",915
2021년08월_여_50~59세,"18,047","1,436",321,142,313,330,286,398,524,"1,250",353,266,"2,200",698,985,"1,228",487,899,"1,312","1,484","2,327",808
2021년08월_여_60~69세,"18,413","1,893",388,234,463,460,417,538,707,"1,048",555,380,"1,792",769,"1,123","1,283",396,747,"1,146","1,609","1,811",654
2021년08월_여_70~79세,"10,780","1,318",216,127,264,370,303,275,392,599,376,296,"1,010",426,614,606,210,345,576,"1,164",993,300
2021년08월_여_80~89세,"6,553",769,221,86,201,267,237,186,250,335,222,142,581,236,295,341,137,194,347,667,642,197
2021년08월_여_90~99세,"1,350",159,45,20,65,47,40,50,49,71,57,21,104,54,51,84,24,49,63,130,120,47
2021년08월_여_100세 이상,45,5,2,0,1,1,1,2,1,6,1,2,5,1,2,3,0,2,2,4,4,0
