,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년03월_계_총인구수,"111,517","18,805","10,727","16,001","7,875","1,681","3,543","2,929","3,580","6,422","5,319","6,223","15,697","6,958","5,475",282
2020년03월_계_연령구간인구수,"111,517","18,805","10,727","16,001","7,875","1,681","3,543","2,929","3,580","6,422","5,319","6,223","15,697","6,958","5,475",282
2020년03월_계_0~9세,"8,537","1,577","1,085","2,133",718,49,114,80,72,200,241,415,"1,149",371,326,7
2020년03월_계_10~19세,"10,454","1,992","1,308","2,034",646,61,170,97,155,328,346,473,"1,730",665,440,9
2020년03월_계_20~29세,"10,960","2,437","1,145","1,623",559,133,300,187,271,433,497,556,"1,639",692,479,9
2020년03월_계_30~39세,"12,459","2,564","1,338","2,643",981,104,206,163,163,496,498,670,"1,502",624,487,20
2020년03월_계_40~49세,"17,900","3,394","1,969","3,056","1,261",186,368,287,356,774,735,965,"2,579","1,169",766,35
2020년03월_계_50~59세,"18,558","3,105","1,650","1,882","1,268",313,635,559,711,"1,154","1,007","1,088","2,917","1,305",917,47
2020년03월_계_60~69세,"15,741","1,893","1,072","1,267","1,190",383,719,652,758,"1,439","1,001","1,046","2,197","1,077",983,64
2020년03월_계_70~79세,"10,550","1,118",693,836,765,243,604,508,648,"1,065",654,696,"1,323",667,665,65
2020년03월_계_80~89세,"5,555",624,404,466,423,186,379,356,379,463,299,276,597,333,345,25
2020년03월_계_90~99세,779,95,63,60,63,23,46,38,66,68,41,33,63,54,65,1
2020년03월_계_100세 이상,24,6,0,1,1,0,2,2,1,2,0,5,1,1,2,0
2020년03월_남_총인구수,"56,237","9,784","5,337","8,362","3,917",884,"1,804","1,450","1,785","3,132","2,631","3,062","7,669","3,580","2,696",144
2020년03월_남_연령구간인구수,"56,237","9,784","5,337","8,362","3,917",884,"1,804","1,450","1,785","3,132","2,631","3,062","7,669","3,580","2,696",144
2020년03월_남_0~9세,"4,434",816,559,"1,152",344,28,69,46,40,107,120,213,592,178,166,4
2020년03월_남_10~19세,"5,398",985,671,"1,037",347,34,92,55,83,168,191,246,901,355,229,4
2020년03월_남_20~29세,"6,555","1,438",647,"1,022",323,82,189,113,170,259,310,337,949,425,283,8
2020년03월_남_30~39세,"6,633","1,429",661,"1,397",492,60,118,93,98,299,274,354,750,334,263,11
2020년03월_남_40~49세,"9,579","1,821",993,"1,633",711,116,213,185,233,449,410,522,"1,236",617,413,27
2020년03월_남_50~59세,"9,729","1,652",871,"1,040",633,192,361,318,400,591,493,525,"1,459",709,457,28
2020년03월_남_60~69세,"7,606",959,526,593,587,198,361,317,366,656,471,463,"1,043",554,483,29
2020년03월_남_70~79세,"4,453",472,270,351,335,108,264,209,288,445,262,300,543,292,287,27
2020년03월_남_80~89세,"1,721",195,128,127,133,61,124,106,102,149,94,95,187,107,107,6
2020년03월_남_90~99세,123,17,11,10,12,5,12,7,4,9,6,5,9,8,8,0
2020년03월_남_100세 이상,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년03월_여_총인구수,"55,280","9,021","5,390","7,639","3,958",797,"1,739","1,479","1,795","3,290","2,688","3,161","8,028","3,378","2,779",138
2020년03월_여_연령구간인구수,"55,280","9,021","5,390","7,639","3,958",797,"1,739","1,479","1,795","3,290","2,688","3,161","8,028","3,378","2,779",138
2020년03월_여_0~9세,"4,103",761,526,981,374,21,45,34,32,93,121,202,557,193,160,3
2020년03월_여_10~19세,"5,056","1,007",637,997,299,27,78,42,72,160,155,227,829,310,211,5
2020년03월_여_20~29세,"4,405",999,498,601,236,51,111,74,101,174,187,219,690,267,196,1
2020년03월_여_30~39세,"5,826","1,135",677,"1,246",489,44,88,70,65,197,224,316,752,290,224,9
2020년03월_여_40~49세,"8,321","1,573",976,"1,423",550,70,155,102,123,325,325,443,"1,343",552,353,8
2020년03월_여_50~59세,"8,829","1,453",779,842,635,121,274,241,311,563,514,563,"1,458",596,460,19
2020년03월_여_60~69세,"8,135",934,546,674,603,185,358,335,392,783,530,583,"1,154",523,500,35
2020년03월_여_70~79세,"6,097",646,423,485,430,135,340,299,360,620,392,396,780,375,378,38
2020년03월_여_80~89세,"3,834",429,276,339,290,125,255,250,277,314,205,181,410,226,238,19
2020년03월_여_90~99세,656,78,52,50,51,18,34,31,62,59,35,28,54,46,57,1
2020년03월_여_100세 이상,18,6,0,1,1,0,1,1,0,2,0,3,1,0,2,0
