카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년06월_계_총인구수,"481,430","38,533","37,401","10,185","49,196","12,405","43,067","22,687","15,702","20,368","22,576","32,075","23,114","21,594","70,330","1,955","24,309","17,308","18,625"
2020년06월_계_연령구간인구수,"481,430","38,533","37,401","10,185","49,196","12,405","43,067","22,687","15,702","20,368","22,576","32,075","23,114","21,594","70,330","1,955","24,309","17,308","18,625"
2020년06월_계_0~9세,"46,723","2,945","1,870",500,"5,953",761,"6,370","1,731","1,493","1,205","1,451","2,601","1,814","1,723","11,254",50,"1,890","1,569","1,543"
2020년06월_계_10~19세,"49,437","3,308","3,559",804,"5,268","1,257","3,412","2,302","1,486","1,171","1,968","3,715","2,177","2,797","7,676",55,"3,182","2,862","2,438"
2020년06월_계_20~29세,"67,202","6,001","6,027","1,435","6,421","1,720","4,251","2,974","1,737","3,127","3,427","5,156","3,150","3,632","9,064",148,"3,689","2,523","2,720"
2020년06월_계_30~39세,"74,141","5,657","4,048","1,032","8,124","1,161","8,925","2,884","2,373","4,236","3,589","4,382","3,317","2,511","15,179",185,"2,605","1,713","2,220"
2020년06월_계_40~49세,"87,594","5,646","5,714","1,413","8,408","2,064","7,434","3,974","3,134","4,230","4,664","6,275","4,693","3,970","14,057",187,"4,568","3,717","3,446"
2020년06월_계_50~59세,"84,680","7,606","8,337","2,293","8,184","2,538","5,784","4,185","2,610","3,767","4,379","6,025","4,524","4,312","8,349",478,"4,794","3,182","3,333"
2020년06월_계_60~69세,"43,200","4,500","4,764","1,548","4,266","1,560","4,254","2,673","1,670","1,705","2,012","2,337","2,115","1,461","3,355",527,"1,912",938,"1,603"
2020년06월_계_70~79세,"18,651","1,808","2,072",746,"1,684",855,"1,790","1,288",816,639,737,"1,004",856,737,985,224,"1,063",503,844
2020년06월_계_80~89세,"8,479",919,871,361,767,430,721,586,333,251,305,524,394,406,358,81,519,253,400
2020년06월_계_90~99세,"1,227",133,119,45,114,55,111,80,48,34,42,54,73,43,52,18,82,47,77
2020년06월_계_100세 이상,96,10,20,8,7,4,15,10,2,3,2,2,1,2,1,2,5,1,1
2020년06월_남_총인구수,"251,904","19,602","19,376","5,358","24,664","6,484","21,814","11,904","8,183","12,798","13,258","17,166","13,005","10,741","36,031","1,188","12,377","8,658","9,297"
2020년06월_남_연령구간인구수,"251,904","19,602","19,376","5,358","24,664","6,484","21,814","11,904","8,183","12,798","13,258","17,166","13,005","10,741","36,031","1,188","12,377","8,658","9,297"
2020년06월_남_0~9세,"23,908","1,512","1,005",254,"3,065",378,"3,215",899,767,606,726,"1,312",935,887,"5,713",30,972,821,811
2020년06월_남_10~19세,"25,459","1,726","1,863",416,"2,699",666,"1,782","1,207",777,613,"1,016","1,897","1,147","1,442","3,829",30,"1,655","1,471","1,223"
2020년06월_남_20~29세,"36,449","3,108","3,273",798,"3,332",974,"2,161","1,646",925,"2,036","2,155","2,940","1,796","1,864","4,734",86,"1,953","1,272","1,396"
2020년06월_남_30~39세,"39,795","3,017","2,247",582,"3,991",614,"4,412","1,608","1,249","2,872","2,257","2,509","1,994","1,288","7,752",125,"1,317",796,"1,165"
2020년06월_남_40~49세,"46,904","2,858","2,952",731,"4,252","1,079","4,071","2,199","1,726","2,866","2,882","3,400","2,806","1,852","7,466",131,"2,236","1,760","1,637"
2020년06월_남_50~59세,"45,035","3,834","4,315","1,235","4,109","1,406","2,912","2,198","1,402","2,378","2,641","3,222","2,601","2,207","4,220",300,"2,563","1,753","1,739"
2020년06월_남_60~69세,"22,939","2,407","2,534",844,"2,201",839,"2,148","1,351",817,"1,009","1,151","1,270","1,194",765,"1,760",319,"1,016",491,823
2020년06월_남_70~79세,"8,402",822,913,354,778,377,860,577,395,324,322,432,388,288,434,128,451,194,365
2020년06월_남_80~89세,"2,734",295,242,124,216,134,231,203,115,86,98,170,135,134,114,32,195,87,123
2020년06월_남_90~99세,252,22,30,15,19,16,18,14,9,7,8,14,8,14,9,5,17,13,14
2020년06월_남_100세 이상,27,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,0,1
2020년06월_여_총인구수,"229,526","18,931","18,025","4,827","24,532","5,921","21,253","10,783","7,519","7,570","9,318","14,909","10,109","10,853","34,299",767,"11,932","8,650","9,328"
2020년06월_여_연령구간인구수,"229,526","18,931","18,025","4,827","24,532","5,921","21,253","10,783","7,519","7,570","9,318","14,909","10,109","10,853","34,299",767,"11,932","8,650","9,328"
2020년06월_여_0~9세,"22,815","1,433",865,246,"2,888",383,"3,155",832,726,599,725,"1,289",879,836,"5,541",20,918,748,732
2020년06월_여_10~19세,"23,978","1,582","1,696",388,"2,569",591,"1,630","1,095",709,558,952,"1,818","1,030","1,355","3,847",25,"1,527","1,391","1,215"
2020년06월_여_20~29세,"30,753","2,893","2,754",637,"3,089",746,"2,090","1,328",812,"1,091","1,272","2,216","1,354","1,768","4,330",62,"1,736","1,251","1,324"
2020년06월_여_30~39세,"34,346","2,640","1,801",450,"4,133",547,"4,513","1,276","1,124","1,364","1,332","1,873","1,323","1,223","7,427",60,"1,288",917,"1,055"
2020년06월_여_40~49세,"40,690","2,788","2,762",682,"4,156",985,"3,363","1,775","1,408","1,364","1,782","2,875","1,887","2,118","6,591",56,"2,332","1,957","1,809"
2020년06월_여_50~59세,"39,645","3,772","4,022","1,058","4,075","1,132","2,872","1,987","1,208","1,389","1,738","2,803","1,923","2,105","4,129",178,"2,231","1,429","1,594"
2020년06월_여_60~69세,"20,261","2,093","2,230",704,"2,065",721,"2,106","1,322",853,696,861,"1,067",921,696,"1,595",208,896,447,780
