,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년02월_계_총인구수,"544,085","28,037","43,594","24,125","27,020","11,377","3,661","23,710","6,723","5,288","44,108","25,467","20,052","12,758","22,105","7,440","5,751","22,802","10,719","4,129","87,105","54,082","25,321","28,711"
2021년02월_계_연령구간인구수,"544,085","28,037","43,594","24,125","27,020","11,377","3,661","23,710","6,723","5,288","44,108","25,467","20,052","12,758","22,105","7,440","5,751","22,802","10,719","4,129","87,105","54,082","25,321","28,711"
2021년02월_계_0~9세,"49,434","1,569","3,926","1,885","4,059",492,115,"2,715",315,152,"2,897","1,308","2,345",711,"1,603",571,163,"1,032",520,122,"11,237","5,765","3,383","2,549"
2021년02월_계_10~19세,"53,665","1,750","5,785","1,953","3,207",811,206,"1,897",488,292,"4,896","2,310","1,841",901,"2,214",492,293,"1,731",650,209,"9,491","6,246","3,135","2,867"
2021년02월_계_20~29세,"74,400","3,015","5,804","3,107","2,401","1,469",343,"3,643",695,438,"7,176","3,656","2,636","2,474","2,914","1,050",722,"3,969","1,640",616,"11,560","7,322","3,437","4,313"
2021년02월_계_30~39세,"81,889","3,058","5,583","3,921","4,882","1,364",346,"4,611",611,340,"5,353","3,088","3,401","2,230","2,622","1,256",629,"2,911","1,490",436,"16,835","8,088","4,672","4,162"
2021년02월_계_40~49세,"94,829","3,987","8,543","4,612","5,492","1,688",468,"3,768",903,630,"7,623","4,117","3,680","2,149","3,723","1,218",778,"3,444","1,590",516,"16,613","9,529","5,163","4,595"
2021년02월_계_50~59세,"87,962","5,158","7,000","3,911","2,999","2,140",679,"3,423","1,292",967,"8,184","4,844","3,229","1,990","4,075","1,151","1,008","4,260","1,905",805,"11,790","8,678","3,204","5,270"
2021년02월_계_60~69세,"56,548","4,800","3,853","2,667","2,198","1,834",739,"2,044","1,184","1,140","4,562","3,292","1,774","1,240","2,784",876,"1,012","2,999","1,542",749,"5,919","4,980","1,494","2,866"
2021년02월_계_70~79세,"28,724","2,870","1,936","1,322","1,092","1,020",469,992,705,792,"2,221","1,825",722,709,"1,387",517,702,"1,603",887,453,"2,426","2,218",550,"1,306"
2021년02월_계_80~89세,"14,348","1,569","1,004",634,571,491,268,526,458,456,"1,038",889,358,307,666,255,359,756,422,192,"1,085","1,107",249,688
2021년02월_계_90~99세,"2,048",211,149,109,113,64,26,86,70,78,140,121,60,42,103,42,62,86,59,27,141,135,34,90
2021년02월_계_100세 이상,238,50,11,4,6,4,2,5,2,3,18,17,6,5,14,12,23,11,14,4,8,14,0,5
2021년02월_남_총인구수,"281,521","14,326","22,430","14,465","14,284","6,253","2,013","12,597","3,596","2,790","22,670","12,900","10,468","6,877","11,040","3,730","2,915","11,746","5,595","2,164","44,174","26,804","13,227","14,457"
2021년02월_남_연령구간인구수,"281,521","14,326","22,430","14,465","14,284","6,253","2,013","12,597","3,596","2,790","22,670","12,900","10,468","6,877","11,040","3,730","2,915","11,746","5,595","2,164","44,174","26,804","13,227","14,457"
2021년02월_남_0~9세,"25,188",804,"1,955",930,"2,097",242,54,"1,361",175,87,"1,479",657,"1,182",338,814,292,89,541,253,60,"5,734","2,938","1,793","1,313"
2021년02월_남_10~19세,"27,686",916,"2,919","1,046","1,657",437,124,940,251,148,"2,518","1,197",916,434,"1,116",253,167,912,336,123,"4,924","3,281","1,610","1,461"
2021년02월_남_20~29세,"40,871","1,736","3,118","2,008","1,334",902,220,"2,164",403,261,"4,033","1,997","1,438","1,414","1,591",578,396,"2,152",927,356,"5,951","3,773","1,841","2,278"
2021년02월_남_30~39세,"44,623","1,713","3,045","2,612","2,536",866,206,"2,528",377,195,"3,009","1,748","1,787","1,345","1,336",691,381,"1,673",889,268,"8,688","4,052","2,449","2,229"
