카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년09월_계_총인구수,"42,432","7,229","1,112","10,350","1,622","2,127","3,969","2,236","4,515","2,122","3,347","3,803"
2020년09월_계_연령구간인구수,"42,432","7,229","1,112","10,350","1,622","2,127","3,969","2,236","4,515","2,122","3,347","3,803"
2020년09월_계_0~9세,"1,562",472,49,469,37,52,136,63,130,34,58,62
2020년09월_계_10~19세,"2,276",670,21,707,53,72,172,63,261,46,104,107
2020년09월_계_20~29세,"2,874",602,53,889,89,118,217,140,264,125,182,195
2020년09월_계_30~39세,"2,887",673,96,861,93,107,265,106,263,103,145,175
2020년09월_계_40~49세,"4,450","1,015",97,"1,338",135,162,353,153,453,187,267,290
2020년09월_계_50~59세,"7,412","1,221",164,"1,795",277,336,708,438,775,444,595,659
2020년09월_계_60~69세,"9,527","1,252",274,"2,091",442,530,933,582,"1,054",523,844,"1,002"
2020년09월_계_70~79세,"6,592",776,193,"1,319",303,432,649,404,755,353,661,747
2020년09월_계_80~89세,"4,231",466,146,781,168,271,472,257,473,271,421,505
2020년09월_계_90~99세,602,77,17,97,25,47,61,30,85,36,66,61
2020년09월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년09월_남_총인구수,"20,836","3,532",554,"5,072",792,"1,009","1,947","1,102","2,191","1,040","1,686","1,911"
2020년09월_남_연령구간인구수,"20,836","3,532",554,"5,072",792,"1,009","1,947","1,102","2,191","1,040","1,686","1,911"
2020년09월_남_0~9세,799,247,25,229,12,31,65,35,68,23,35,29
2020년09월_남_10~19세,"1,165",337,16,351,36,33,78,23,141,32,61,57
2020년09월_남_20~29세,"1,715",347,30,519,56,74,135,89,152,69,111,133
2020년09월_남_30~39세,"1,533",329,52,456,56,63,148,56,124,55,81,113
2020년09월_남_40~49세,"2,496",536,66,725,84,91,215,78,250,93,171,187
2020년09월_남_50~59세,"3,901",612,83,929,148,178,374,227,409,246,341,354
2020년09월_남_60~69세,"4,770",622,133,"1,038",203,263,464,316,502,291,430,508
2020년09월_남_70~79세,"3,001",339,86,574,139,187,300,180,385,141,316,354
2020년09월_남_80~89세,"1,331",143,59,234,55,79,147,96,145,81,129,163
2020년09월_남_90~99세,124,20,3,17,3,10,21,2,15,9,11,13
2020년09월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"21,596","3,697",558,"5,278",830,"1,118","2,022","1,134","2,324","1,082","1,661","1,892"
2020년09월_여_연령구간인구수,"21,596","3,697",558,"5,278",830,"1,118","2,022","1,134","2,324","1,082","1,661","1,892"
2020년09월_여_0~9세,763,225,24,240,25,21,71,28,62,11,23,33
2020년09월_여_10~19세,"1,111",333,5,356,17,39,94,40,120,14,43,50
2020년09월_여_20~29세,"1,159",255,23,370,33,44,82,51,112,56,71,62
2020년09월_여_30~39세,"1,354",344,44,405,37,44,117,50,139,48,64,62
2020년09월_여_40~49세,"1,954",479,31,613,51,71,138,75,203,94,96,103
2020년09월_여_50~59세,"3,511",609,81,866,129,158,334,211,366,198,254,305
2020년09월_여_60~69세,"4,757",630,141,"1,053",239,267,469,266,552,232,414,494
2020년09월_여_70~79세,"3,591",437,107,745,164,245,349,224,370,212,345,393
2020년09월_여_80~89세,"2,900",323,87,547,113,192,325,161,328,190,292,342
2020년09월_여_90~99세,478,57,14,80,22,37,40,28,70,27,55,48
2020년09월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
