,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년08월_계_총인구수,"576,361","41,885","24,292","20,415","30,870","52,016","18,010","21,281","20,719","34,390","24,794","24,537","34,140","14,186","15,196","36,257","43,106","30,809","43,173","23,304","22,981"
2021년08월_계_연령구간인구수,"576,361","41,885","24,292","20,415","30,870","52,016","18,010","21,281","20,719","34,390","24,794","24,537","34,140","14,186","15,196","36,257","43,106","30,809","43,173","23,304","22,981"
2021년08월_계_0~9세,"37,746","4,003","1,250","1,233","1,672","2,522","1,100","1,204","1,086","2,049","1,178","1,233","1,618",472,692,"3,089","3,580","3,436","3,859","1,206","1,264"
2021년08월_계_10~19세,"43,820","4,464","1,289","1,527","1,945","2,428","1,389","1,614","1,331","2,367","1,601","1,551","1,825",448,542,"4,840","5,453","2,153","4,206","1,396","1,451"
2021년08월_계_20~29세,"86,518","5,664","5,079","3,129","3,911","9,611","2,593","3,036","2,907","6,046","4,355","3,846","8,359","1,629","1,707","4,536","5,206","4,025","5,107","3,331","2,441"
2021년08월_계_30~39세,"98,020","7,280","6,136","3,463","4,597","10,388","2,821","3,073","3,244","6,353","4,227","4,013","8,516","2,316","3,050","4,106","5,259","5,665","6,164","3,769","3,580"
2021년08월_계_40~49세,"89,876","7,602","3,228","3,017","3,876","7,438","3,031","3,195","3,227","5,435","3,568","3,875","4,592","1,434","1,873","6,949","8,409","5,045","7,494","3,217","3,371"
2021년08월_계_50~59세,"84,364","5,918","3,056","3,253","5,103","7,268","2,795","3,198","3,319","4,824","3,840","3,655","4,083","2,041","2,188","5,711","6,635","4,113","6,382","3,516","3,466"
2021년08월_계_60~69세,"78,972","4,367","2,316","2,893","5,439","7,181","2,497","3,464","3,243","4,365","3,721","3,590","3,391","3,308","2,778","3,959","5,076","3,702","5,875","3,799","4,008"
2021년08월_계_70~79세,"39,126","1,790","1,111","1,342","2,555","3,768","1,328","1,796","1,674","2,114","1,621","2,062","1,163","1,609","1,569","2,138","2,574","1,824","2,830","2,054","2,204"
2021년08월_계_80~89세,"15,313",695,685,469,"1,465","1,240",396,606,601,719,583,627,503,790,677,781,780,730,"1,085",887,994
2021년08월_계_90~99세,"2,513",98,137,89,295,162,60,86,86,114,98,81,87,136,117,142,129,112,166,125,193
2021년08월_계_100세 이상,93,4,5,0,12,10,0,9,1,4,2,4,3,3,3,6,5,4,5,4,9
2021년08월_남_총인구수,"277,705","20,302","11,320","9,971","14,653","25,257","8,768","10,247","10,145","16,673","12,041","11,840","15,645","6,693","7,072","17,176","20,603","15,544","21,064","11,513","11,178"
2021년08월_남_연령구간인구수,"277,705","20,302","11,320","9,971","14,653","25,257","8,768","10,247","10,145","16,673","12,041","11,840","15,645","6,693","7,072","17,176","20,603","15,544","21,064","11,513","11,178"
2021년08월_남_0~9세,"19,225","2,072",634,654,863,"1,269",552,647,556,"1,043",602,618,858,229,343,"1,575","1,785","1,760","1,895",625,645
2021년08월_남_10~19세,"22,396","2,273",737,854,"1,011","1,241",692,824,701,"1,261",898,794,908,237,276,"2,332","2,658","1,094","2,127",717,761
2021년08월_남_20~29세,"39,798","2,621","2,014","1,539","1,957","4,327","1,306","1,438","1,460","2,803","2,004","1,885","2,804",723,815,"2,244","2,447","2,032","2,483","1,630","1,266"
2021년08월_남_30~39세,"49,508","3,411","2,969","1,765","2,379","5,505","1,470","1,539","1,715","3,342","2,141","2,123","4,226","1,169","1,520","1,934","2,518","2,885","3,031","1,997","1,869"
2021년08월_남_40~49세,"45,218","3,729","1,612","1,482","1,858","3,914","1,544","1,551","1,681","2,782","1,817","1,957","2,414",742,992,"3,292","3,932","2,699","3,793","1,714","1,713"
2021년08월_남_50~59세,"40,505","2,919","1,472","1,484","2,341","3,457","1,332","1,516","1,584","2,284","1,802","1,679","1,958",945,"1,029","2,753","3,306","2,086","3,120","1,758","1,680"
2021년08월_남_60~69세,"36,564","2,150","1,078","1,332","2,535","3,205","1,082","1,611","1,435","1,912","1,742","1,544","1,699","1,648","1,223","1,762","2,351","1,793","2,789","1,800","1,873"
2021년08월_남_70~79세,"18,318",841,499,669,"1,162","1,813",625,882,760,943,802,970,566,738,641,960,"1,258",877,"1,387",933,992
2021년08월_남_80~89세,"5,586",260,260,176,459,486,158,217,234,281,216,250,186,234,209,300,320,298,398,310,334
2021년08월_남_90~99세,561,25,42,16,84,36,7,20,19,22,17,19,25,27,23,24,27,18,40,27,43
2021년08월_남_100세 이상,26,1,3,0,4,4,0,2,0,0,0,1,1,1,1,0,1,2,1,2,2
2021년08월_여_총인구수,"298,656","21,583","12,972","10,444","16,217","26,759","9,242","11,034","10,574","17,717","12,753","12,697","18,495","7,493","8,124","19,081","22,503","15,265","22,109","11,791","11,803"
2021년08월_여_연령구간인구수,"298,656","21,583","12,972","10,444","16,217","26,759","9,242","11,034","10,574","17,717","12,753","12,697","18,495","7,493","8,124","19,081","22,503","15,265","22,109","11,791","11,803"
2021년08월_여_0~9세,"18,521","1,931",616,579,809,"1,253",548,557,530,"1,006",576,615,760,243,349,"1,514","1,795","1,676","1,964",581,619
2021년08월_여_10~19세,"21,424","2,191",552,673,934,"1,187",697,790,630,"1,106",703,757,917,211,266,"2,508","2,795","1,059","2,079",679,690
2021년08월_여_20~29세,"46,720","3,043","3,065","1,590","1,954","5,284","1,287","1,598","1,447","3,243","2,351","1,961","5,555",906,892,"2,292","2,759","1,993","2,624","1,701","1,175"
