,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년03월_계_총인구수,"21,946","7,365","2,076","2,303","4,372","2,100","2,148","1,582"
2021년03월_계_연령구간인구수,"21,946","7,365","2,076","2,303","4,372","2,100","2,148","1,582"
2021년03월_계_0~9세,"1,122",545,68,67,247,50,78,67
2021년03월_계_10~19세,"1,641",741,113,120,347,96,141,83
2021년03월_계_20~29세,"1,625",637,130,140,366,123,145,84
2021년03월_계_30~39세,"1,509",666,114,114,297,119,117,82
2021년03월_계_40~49세,"2,532","1,018",189,207,559,184,225,150
2021년03월_계_50~59세,"3,649","1,136",337,373,763,371,404,265
2021년03월_계_60~69세,"4,284","1,209",398,547,806,505,438,381
2021년03월_계_70~79세,"3,108",848,375,423,544,358,324,236
2021년03월_계_80~89세,"2,166",498,305,268,393,252,249,201
2021년03월_계_90~99세,299,65,46,42,49,40,26,31
2021년03월_계_100세 이상,11,2,1,2,1,2,1,2
2021년03월_남_총인구수,"10,946","3,642","1,033","1,163","2,217","1,042","1,056",793
2021년03월_남_연령구간인구수,"10,946","3,642","1,033","1,163","2,217","1,042","1,056",793
2021년03월_남_0~9세,585,284,39,43,124,24,42,29
2021년03월_남_10~19세,830,353,61,65,198,48,63,42
2021년03월_남_20~29세,920,346,81,74,213,75,83,48
2021년03월_남_30~39세,787,331,65,68,149,73,63,38
2021년03월_남_40~49세,"1,436",555,115,128,302,108,126,102
2021년03월_남_50~59세,"2,056",635,191,205,439,212,231,143
2021년03월_남_60~69세,"2,186",585,199,293,413,258,226,212
2021년03월_남_70~79세,"1,365",363,172,192,249,149,134,106
2021년03월_남_80~89세,709,177,92,89,119,86,83,63
2021년03월_남_90~99세,70,12,18,6,11,9,5,9
2021년03월_남_100세 이상,2,1,0,0,0,0,0,1
2021년03월_여_총인구수,"11,000","3,723","1,043","1,140","2,155","1,058","1,092",789
2021년03월_여_연령구간인구수,"11,000","3,723","1,043","1,140","2,155","1,058","1,092",789
2021년03월_여_0~9세,537,261,29,24,123,26,36,38
2021년03월_여_10~19세,811,388,52,55,149,48,78,41
2021년03월_여_20~29세,705,291,49,66,153,48,62,36
2021년03월_여_30~39세,722,335,49,46,148,46,54,44
2021년03월_여_40~49세,"1,096",463,74,79,257,76,99,48
2021년03월_여_50~59세,"1,593",501,146,168,324,159,173,122
2021년03월_여_60~69세,"2,098",624,199,254,393,247,212,169
2021년03월_여_70~79세,"1,743",485,203,231,295,209,190,130
2021년03월_여_80~89세,"1,457",321,213,179,274,166,166,138
2021년03월_여_90~99세,229,53,28,36,38,31,21,22
2021년03월_여_100세 이상,9,1,1,2,1,2,1,1
