카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2021년10월_계_총인구수,"269,215","33,557","43,848","15,727","26,825","17,257","18,655","21,559","16,331","20,669","9,319","24,918","20,550"
2021년10월_계_연령구간인구수,"269,215","33,557","43,848","15,727","26,825","17,257","18,655","21,559","16,331","20,669","9,319","24,918","20,550"
2021년10월_계_0~9세,"18,923","1,894","3,473",609,"2,052",747,"1,063","1,737",961,"1,703",597,"1,587","2,500"
2021년10월_계_10~19세,"25,599","2,557","4,887",776,"2,751","1,124","1,347","2,035","1,513","3,021",934,"2,633","2,021"
2021년10월_계_20~29세,"37,005","5,395","6,045","2,436","3,556","2,716","2,646","2,712","1,969","2,488","1,107","3,599","2,336"
2021년10월_계_30~39세,"37,192","4,660","5,707","2,184","3,406","2,348","3,052","3,648","2,086","2,122","1,047","3,200","3,732"
2021년10월_계_40~49세,"42,726","4,847","7,182","1,966","4,327","2,393","2,646","3,600","2,563","3,970","1,519","4,020","3,693"
2021년10월_계_50~59세,"47,499","6,520","7,870","2,920","4,695","3,387","3,091","3,454","2,890","3,634","1,757","4,419","2,862"
2021년10월_계_60~69세,"35,874","4,822","5,518","2,753","3,792","2,911","2,679","2,491","2,230","2,110","1,369","2,987","2,212"
2021년10월_계_70~79세,"15,148","1,919","2,044","1,365","1,395","1,095","1,287","1,121","1,193",906,651,"1,361",811
2021년10월_계_80~89세,"7,971",804,968,615,727,462,736,672,813,631,278,937,328
2021년10월_계_90~99세,"1,228",133,147,97,121,72,104,88,111,81,55,166,53
2021년10월_계_100세 이상,50,6,7,6,3,2,4,1,2,3,5,9,2
2021년10월_남_총인구수,"133,506","17,693","21,789","7,942","12,977","8,988","8,848","10,461","7,773","10,108","4,678","12,097","10,152"
2021년10월_남_연령구간인구수,"133,506","17,693","21,789","7,942","12,977","8,988","8,848","10,461","7,773","10,108","4,678","12,097","10,152"
2021년10월_남_0~9세,"9,644",965,"1,769",317,"1,042",397,544,884,454,906,303,793,"1,270"
2021년10월_남_10~19세,"13,275","1,337","2,543",418,"1,411",586,686,"1,072",778,"1,544",498,"1,380","1,022"
2021년10월_남_20~29세,"19,288","2,957","3,150","1,331","1,823","1,460","1,336","1,386","1,005","1,308",574,"1,804","1,154"
2021년10월_남_30~39세,"19,386","2,671","2,891","1,267","1,659","1,327","1,605","1,819","1,065","1,028",538,"1,627","1,889"
2021년10월_남_40~49세,"21,140","2,609","3,513","1,075","2,038","1,311","1,249","1,729","1,234","1,832",775,"1,884","1,891"
2021년10월_남_50~59세,"23,131","3,402","3,768","1,383","2,177","1,749","1,434","1,619","1,373","1,794",864,"2,237","1,331"
2021년10월_남_60~69세,"17,588","2,503","2,790","1,308","1,888","1,437","1,214","1,180","1,027","1,035",701,"1,441","1,064"
2021년10월_남_70~79세,"6,859",903,975,614,644,545,506,475,503,403,313,578,400
2021년10월_남_80~89세,"2,854",311,349,206,263,162,248,269,294,226,98,308,120
2021년10월_남_90~99세,329,34,39,22,31,14,24,28,39,32,11,44,11
2021년10월_남_100세 이상,12,1,2,1,1,0,2,0,1,0,3,1,0
2021년10월_여_총인구수,"135,709","15,864","22,059","7,785","13,848","8,269","9,807","11,098","8,558","10,561","4,641","12,821","10,398"
2021년10월_여_연령구간인구수,"135,709","15,864","22,059","7,785","13,848","8,269","9,807","11,098","8,558","10,561","4,641","12,821","10,398"
2021년10월_여_0~9세,"9,279",929,"1,704",292,"1,010",350,519,853,507,797,294,794,"1,230"
2021년10월_여_10~19세,"12,324","1,220","2,344",358,"1,340",538,661,963,735,"1,477",436,"1,253",999
2021년10월_여_20~29세,"17,717","2,438","2,895","1,105","1,733","1,256","1,310","1,326",964,"1,180",533,"1,795","1,182"
2021년10월_여_30~39세,"17,806","1,989","2,816",917,"1,747","1,021","1,447","1,829","1,021","1,094",509,"1,573","1,843"
2021년10월_여_40~49세,"21,586","2,238","3,669",891,"2,289","1,082","1,397","1,871","1,329","2,138",744,"2,136","1,802"
2021년10월_여_50~59세,"24,368","3,118","4,102","1,537","2,518","1,638","1,657","1,835","1,517","1,840",893,"2,182","1,531"
2021년10월_여_60~69세,"18,286","2,319","2,728","1,445","1,904","1,474","1,465","1,311","1,203","1,075",668,"1,546","1,148"
2021년10월_여_70~79세,"8,289","1,016","1,069",751,751,550,781,646,690,503,338,783,411
2021년10월_여_80~89세,"5,117",493,619,409,464,300,488,403,519,405,180,629,208
2021년10월_여_90~99세,899,99,108,75,90,58,80,60,72,49,44,122,42
2021년10월_여_100세 이상,38,5,5,5,2,2,2,1,1,3,2,8,2
