,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년01월_계_총인구수,"658,488","257,683","24,325","4,129","4,311","4,345","3,211","2,310","6,057","2,113","5,471","3,580","8,810","9,434","18,180","23,724","45,150","55,939","36,594","400,805","24,324","21,831","19,806","8,513","16,029","25,666","14,067","37,910","19,073","40,689","69,816","46,154","56,927"
2021년01월_계_연령구간인구수,"658,488","257,683","24,325","4,129","4,311","4,345","3,211","2,310","6,057","2,113","5,471","3,580","8,810","9,434","18,180","23,724","45,150","55,939","36,594","400,805","24,324","21,831","19,806","8,513","16,029","25,666","14,067","37,910","19,073","40,689","69,816","46,154","56,927"
2021년01월_계_0~9세,"61,720","20,228","1,695",149,105,128,81,53,245,25,174,85,406,288,"1,091","2,166","4,746","6,027","2,764","41,492","1,203","1,847","1,423",286,753,964,883,"3,410","1,443","5,667","10,450","3,898","9,265"
2021년01월_계_10~19세,"68,276","26,197","2,717",240,192,247,171,88,337,78,284,164,672,680,"1,452","3,246","5,890","7,035","2,704","42,079","2,252","2,378","1,877",543,"1,034","1,307","1,206","4,939","2,414","5,668","9,392","4,095","4,974"
2021년01월_계_20~29세,"96,358","35,285","2,851",386,372,374,236,189,760,132,538,501,"1,099","1,169","2,854","2,784","6,308","7,136","7,596","61,073","2,811","2,549","2,449",886,"2,377","6,506","2,517","6,017","2,657","5,139","8,779","10,148","8,238"
2021년01월_계_30~39세,"105,033","33,025","2,503",322,281,341,189,167,529,90,492,397,892,877,"2,527","2,624","6,794","8,458","5,542","72,008","2,154","2,862","2,716",716,"2,186","5,596","1,851","5,102","2,366","6,922","14,568","9,233","15,736"
2021년01월_계_40~49세,"111,889","42,756","4,523",438,446,501,332,242,748,179,664,466,"1,218","1,361","2,965","4,402","9,032","10,172","5,067","69,133","3,699","4,138","3,617","1,085","2,412","3,796","1,947","6,701","3,190","7,850","14,036","7,393","9,269"
2021년01월_계_50~59세,"102,956","43,670","4,447",762,862,859,612,441,"1,181",429,"1,069",659,"1,771","1,874","3,271","4,063","6,905","8,479","5,986","59,286","4,296","3,705","3,519","1,773","3,122","3,532","2,570","6,702","3,549","5,599","8,569","6,596","5,754"
2021년01월_계_60~69세,"64,432","31,588","2,978",936,"1,024",972,768,511,"1,136",518,"1,176",719,"1,494","1,615","2,429","2,534","3,350","5,211","4,217","32,844","3,958","2,480","2,338","1,631","2,357","2,479","1,936","3,198","1,989","2,492","2,679","2,872","2,435"
2021년01월_계_70~79세,"30,244","15,588","1,566",517,567,514,477,342,628,356,697,381,810,"1,001","1,077","1,261","1,336","2,231","1,827","14,656","2,480","1,179","1,159",965,"1,222",988,761,"1,189",897,883,867,"1,258",808
2021년01월_계_80~89세,"15,174","8,052",913,332,392,346,297,250,414,260,325,177,381,509,433,556,688,"1,008",771,"7,122","1,279",611,631,531,497,416,336,572,485,398,401,577,388
2021년01월_계_90~99세,"2,231","1,210",131,47,68,63,45,25,72,42,41,29,58,55,70,82,99,171,112,"1,021",162,79,72,83,59,76,58,75,81,67,72,78,59
2021년01월_계_100세 이상,175,84,1,0,2,0,3,2,7,4,11,2,9,5,11,6,2,11,8,91,30,3,5,14,10,6,2,5,2,4,3,6,1
2021년01월_남_총인구수,"336,108","130,546","12,450","2,239","2,178","2,254","1,681","1,258","3,213","1,137","2,850","1,879","4,561","4,865","9,275","11,858","22,988","28,007","17,853","205,562","12,652","11,435","10,764","4,560","8,464","13,750","6,930","18,606","9,229","20,424","35,037","23,782","29,929"
2021년01월_남_연령구간인구수,"336,108","130,546","12,450","2,239","2,178","2,254","1,681","1,258","3,213","1,137","2,850","1,879","4,561","4,865","9,275","11,858","22,988","28,007","17,853","205,562","12,652","11,435","10,764","4,560","8,464","13,750","6,930","18,606","9,229","20,424","35,037","23,782","29,929"
2021년01월_남_0~9세,"31,562","10,420",874,82,52,69,42,28,118,13,90,45,223,144,579,"1,101","2,461","3,081","1,418","21,142",624,911,762,143,401,490,472,"1,717",702,"2,869","5,359","1,995","4,697"
2021년01월_남_10~19세,"35,337","13,576","1,417",125,110,128,84,48,172,48,151,80,380,371,773,"1,665","3,067","3,604","1,353","21,761","1,202","1,216",986,298,501,671,599,"2,576","1,305","2,931","4,807","2,094","2,575"
2021년01월_남_20~29세,"50,661","18,697","1,588",244,208,227,136,114,508,79,278,256,622,665,"1,458","1,524","3,439","3,757","3,594","31,964","1,605","1,432","1,473",535,"1,291","3,296","1,293","3,140","1,398","2,706","4,395","5,137","4,263"
2021년01월_남_30~39세,"55,832","17,367","1,300",200,157,202,120,112,329,55,294,231,497,536,"1,405","1,243","3,580","4,239","2,867","38,465","1,210","1,531","1,617",456,"1,296","3,392",997,"2,540","1,182","3,323","7,158","5,207","8,556"
2021년01월_남_40~49세,"57,836","22,015","2,333",271,246,277,206,167,443,126,367,283,655,716,"1,532","2,207","4,554","5,061","2,571","35,821","2,042","2,239","2,065",637,"1,331","2,142",967,"3,128","1,502","3,976","6,904","3,767","5,121"
2021년01월_남_50~59세,"52,896","22,322","2,424",421,453,470,347,264,604,254,611,361,910,967,"1,669","2,047","3,491","4,243","2,786","30,574","2,347","2,034","1,904",983,"1,679","1,905","1,192","3,191","1,681","2,823","4,483","3,342","3,010"
2021년01월_남_60~69세,"32,531","15,871","1,487",512,546,493,407,270,594,283,591,381,736,794,"1,211","1,289","1,625","2,604","2,048","16,660","1,962","1,298","1,206",841,"1,211","1,274",936,"1,601",974,"1,256","1,385","1,458","1,258"
2021년01월_남_70~79세,"13,665","7,148",693,260,267,253,234,156,277,173,323,164,388,449,487,567,557,"1,016",884,"6,517","1,136",540,512,445,557,439,340,504,343,407,398,556,340
2021년01월_남_80~89세,"5,236","2,823",300,113,120,121,98,95,148,97,127,65,134,209,143,194,188,362,309,"2,413",475,216,226,191,178,127,119,189,129,117,136,209,101
2021년01월_남_90~99세,504,284,33,11,19,14,6,4,19,8,14,13,14,12,15,18,25,37,22,220,40,17,13,29,16,14,14,17,12,15,11,14,8
2021년01월_남_100세 이상,48,23,1,0,0,0,1,0,1,1,4,0,2,2,3,3,1,3,1,25,9,1,0,2,3,0,1,3,1,1,1,3,0
2021년01월_여_총인구수,"322,380","127,137","11,875","1,890","2,133","2,091","1,530","1,052","2,844",976,"2,621","1,701","4,249","4,569","8,905","11,866","22,162","27,932","18,741","195,243","11,672","10,396","9,042","3,953","7,565","11,916","7,137","19,304","9,844","20,265","34,779","22,372","26,998"
2021년01월_여_연령구간인구수,"322,380","127,137","11,875","1,890","2,133","2,091","1,530","1,052","2,844",976,"2,621","1,701","4,249","4,569","8,905","11,866","22,162","27,932","18,741","195,243","11,672","10,396","9,042","3,953","7,565","11,916","7,137","19,304","9,844","20,265","34,779","22,372","26,998"
2021년01월_여_0~9세,"30,158","9,808",821,67,53,59,39,25,127,12,84,40,183,144,512,"1,065","2,285","2,946","1,346","20,350",579,936,661,143,352,474,411,"1,693",741,"2,798","5,091","1,903","4,568"
2021년01월_여_10~19세,"32,939","12,621","1,300",115,82,119,87,40,165,30,133,84,292,309,679,"1,581","2,823","3,431","1,351","20,318","1,050","1,162",891,245,533,636,607,"2,363","1,109","2,737","4,585","2,001","2,399"
2021년01월_여_20~29세,"45,697","16,588","1,263",142,164,147,100,75,252,53,260,245,477,504,"1,396","1,260","2,869","3,379","4,002","29,109","1,206","1,117",976,351,"1,086","3,210","1,224","2,877","1,259","2,433","4,384","5,011","3,975"
2021년01월_여_30~39세,"49,201","15,658","1,203",122,124,139,69,55,200,35,198,166,395,341,"1,122","1,381","3,214","4,219","2,675","33,543",944,"1,331","1,099",260,890,"2,204",854,"2,562","1,184","3,599","7,410","4,026","7,180"
