카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년07월_계_총인구수,"389,428","24,311","19,231","14,704","33,943","21,973","25,132","24,503","20,317","19,979","25,130","34,844","19,054","30,033","16,613","38,876","20,785"
2021년07월_계_연령구간인구수,"389,428","24,311","19,231","14,704","33,943","21,973","25,132","24,503","20,317","19,979","25,130","34,844","19,054","30,033","16,613","38,876","20,785"
2021년07월_계_0~9세,"21,951","1,190","1,055","1,356","1,478","1,140","1,071","1,785",779,"1,207","1,041","2,252","1,000","1,450",736,"3,123","1,288"
2021년07월_계_10~19세,"25,836","1,544","1,208",894,"1,843","1,202","1,433","1,911",761,"1,312","1,147","3,053","1,186","1,819","1,103","3,750","1,670"
2021년07월_계_20~29세,"55,309","3,292","2,516","1,775","5,329","3,044","3,751","3,528","4,261","2,844","3,681","4,943","2,661","4,115","2,270","4,820","2,479"
2021년07월_계_30~39세,"56,942","3,222","2,713","2,658","5,227","3,321","3,511","3,631","4,341","3,148","3,669","4,786","2,993","4,057","2,028","4,786","2,851"
2021년07월_계_40~49세,"56,286","3,586","2,945","2,251","4,887","3,125","3,410","3,528","2,608","2,798","3,374","5,682","2,802","3,996","2,289","5,887","3,118"
2021년07월_계_50~59세,"68,060","4,805","3,321","2,442","6,220","3,821","4,600","4,254","3,098","3,291","4,775","5,527","3,211","5,572","3,220","6,425","3,478"
2021년07월_계_60~69세,"59,980","3,751","2,999","1,956","5,070","3,621","4,146","3,504","2,548","3,157","4,228","4,834","2,994","5,226","2,836","5,747","3,363"
2021년07월_계_70~79세,"31,174","2,047","1,819",978,"2,747","1,913","2,251","1,579","1,368","1,589","2,206","2,582","1,562","2,613","1,466","2,828","1,626"
2021년07월_계_80~89세,"12,214",758,581,359,"1,037",695,844,689,477,566,912,"1,046",576,"1,022",568,"1,279",805
2021년07월_계_90~99세,"1,597",112,70,34,102,90,111,92,65,66,90,125,66,155,95,221,103
2021년07월_계_100세 이상,79,4,4,1,3,1,4,2,11,1,7,14,3,8,2,10,4
2021년07월_남_총인구수,"192,355","12,125","9,584","7,399","16,813","11,034","12,488","11,967","9,820","9,786","12,908","16,840","9,368","15,054","8,346","18,920","9,903"
2021년07월_남_연령구간인구수,"192,355","12,125","9,584","7,399","16,813","11,034","12,488","11,967","9,820","9,786","12,908","16,840","9,368","15,054","8,346","18,920","9,903"
2021년07월_남_0~9세,"11,332",604,559,666,759,623,551,923,379,616,573,"1,155",514,741,393,"1,619",657
2021년07월_남_10~19세,"13,116",761,623,463,892,622,748,"1,013",416,642,605,"1,541",611,904,508,"1,931",836
2021년07월_남_20~29세,"27,359","1,654","1,303",900,"2,686","1,540","1,872","1,746","1,795","1,399","1,813","2,365","1,296","2,076","1,167","2,472","1,275"
2021년07월_남_30~39세,"29,294","1,694","1,411","1,346","2,736","1,700","1,878","1,829","2,199","1,645","1,945","2,408","1,544","2,129","1,110","2,326","1,394"
2021년07월_남_40~49세,"29,090","1,889","1,567","1,225","2,562","1,663","1,790","1,749","1,367","1,461","1,841","2,788","1,433","2,124","1,159","2,923","1,549"
2021년07월_남_50~59세,"33,665","2,450","1,665","1,238","3,109","1,896","2,247","2,033","1,554","1,549","2,557","2,660","1,578","2,814","1,636","3,047","1,632"
2021년07월_남_60~69세,"29,105","1,829","1,411",967,"2,450","1,778","2,003","1,702","1,234","1,502","2,171","2,262","1,411","2,614","1,437","2,779","1,555"
2021년07월_남_70~79세,"14,216",920,796,449,"1,193",913,"1,020",690,649,730,"1,003","1,186",730,"1,251",682,"1,304",700
2021년07월_남_80~89세,"4,808",301,227,135,406,280,345,266,208,230,372,447,237,364,236,483,271
2021년07월_남_90~99세,350,23,21,9,19,19,33,16,17,11,26,22,13,35,18,36,32
2021년07월_남_100세 이상,20,0,1,1,1,0,1,0,2,1,2,6,1,2,0,0,2
2021년07월_여_총인구수,"197,073","12,186","9,647","7,305","17,130","10,939","12,644","12,536","10,497","10,193","12,222","18,004","9,686","14,979","8,267","19,956","10,882"
2021년07월_여_연령구간인구수,"197,073","12,186","9,647","7,305","17,130","10,939","12,644","12,536","10,497","10,193","12,222","18,004","9,686","14,979","8,267","19,956","10,882"
2021년07월_여_0~9세,"10,619",586,496,690,719,517,520,862,400,591,468,"1,097",486,709,343,"1,504",631
