,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년10월_계_총인구수,"62,011","11,094","11,082","10,410","11,601","9,827","7,997"
2020년10월_계_연령구간인구수,"62,011","11,094","11,082","10,410","11,601","9,827","7,997"
2020년10월_계_0~9세,"4,994",834,"1,273",621,965,671,630
2020년10월_계_10~19세,"6,288",998,"1,483","1,111","1,161",642,893
2020년10월_계_20~29세,"8,586","1,636","1,213","1,695","1,680","1,338","1,024"
2020년10월_계_30~39세,"8,576","1,489","1,388","1,193","1,789","1,711","1,006"
2020년10월_계_40~49세,"9,433","1,464","2,120","1,394","1,684","1,464","1,307"
2020년10월_계_50~59세,"10,904","2,088","1,741","2,056","2,076","1,594","1,349"
2020년10월_계_60~69세,"7,265","1,480",997,"1,232","1,241","1,396",919
2020년10월_계_70~79세,"3,669",642,566,605,587,694,575
2020년10월_계_80~89세,"1,867",368,250,400,345,273,231
2020년10월_계_90~99세,378,81,47,92,68,41,49
2020년10월_계_100세 이상,51,14,4,11,5,3,14
2020년10월_남_총인구수,"30,459","5,389","5,397","4,959","5,690","5,121","3,903"
2020년10월_남_연령구간인구수,"30,459","5,389","5,397","4,959","5,690","5,121","3,903"
2020년10월_남_0~9세,"2,601",445,647,317,526,330,336
2020년10월_남_10~19세,"3,255",498,747,585,618,347,460
2020년10월_남_20~29세,"4,506",861,643,851,859,735,557
2020년10월_남_30~39세,"4,343",736,613,585,918,972,519
2020년10월_남_40~49세,"4,543",677,"1,022",622,790,801,631
2020년10월_남_50~59세,"5,307",969,888,992,985,799,674
2020년10월_남_60~69세,"3,523",759,493,584,608,679,400
2020년10월_남_70~79세,"1,615",291,231,254,261,338,240
2020년10월_남_80~89세,672,134,99,144,112,108,75
2020년10월_남_90~99세,85,17,14,22,12,12,8
2020년10월_남_100세 이상,9,2,0,3,1,0,3
2020년10월_여_총인구수,"31,552","5,705","5,685","5,451","5,911","4,706","4,094"
2020년10월_여_연령구간인구수,"31,552","5,705","5,685","5,451","5,911","4,706","4,094"
2020년10월_여_0~9세,"2,393",389,626,304,439,341,294
2020년10월_여_10~19세,"3,033",500,736,526,543,295,433
2020년10월_여_20~29세,"4,080",775,570,844,821,603,467
2020년10월_여_30~39세,"4,233",753,775,608,871,739,487
2020년10월_여_40~49세,"4,890",787,"1,098",772,894,663,676
2020년10월_여_50~59세,"5,597","1,119",853,"1,064","1,091",795,675
2020년10월_여_60~69세,"3,742",721,504,648,633,717,519
2020년10월_여_70~79세,"2,054",351,335,351,326,356,335
2020년10월_여_80~89세,"1,195",234,151,256,233,165,156
2020년10월_여_90~99세,293,64,33,70,56,29,41
2020년10월_여_100세 이상,42,12,4,8,4,3,11
