,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년07월_계_총인구수,"39,490","4,299",247,"5,876",248,223,"1,535",332,"3,197","2,267","3,577","2,562",220,"2,361",460,225,520,333,"1,775","1,591","1,591","2,733",284,996,"2,038"
2020년07월_계_연령구간인구수,"39,490","4,299",247,"5,876",248,223,"1,535",332,"3,197","2,267","3,577","2,562",220,"2,361",460,225,520,333,"1,775","1,591","1,591","2,733",284,996,"2,038"
2020년07월_계_0~9세,"1,660",159,5,242,9,9,59,6,182,92,138,119,9,71,12,9,34,12,78,79,79,126,10,21,100
2020년07월_계_10~19세,"2,048",234,7,280,3,7,53,13,216,97,219,219,5,123,23,16,32,23,106,99,63,98,7,34,71
2020년07월_계_20~29세,"2,912",302,14,527,9,5,117,21,237,142,215,174,6,217,80,16,48,31,120,138,89,203,19,53,129
2020년07월_계_30~39세,"2,871",279,15,448,18,16,108,22,228,141,249,181,13,202,47,14,65,26,121,137,120,189,34,63,135
2020년07월_계_40~49세,"4,429",474,17,656,23,22,193,38,414,220,419,281,33,318,77,27,87,45,202,214,154,219,28,86,182
2020년07월_계_50~59세,"7,154",785,55,"1,122",42,33,295,72,593,430,634,394,57,457,87,49,107,62,319,298,247,464,46,145,361
2020년07월_계_60~69세,"7,585",829,54,"1,227",65,49,239,71,563,448,694,443,46,392,69,43,75,70,331,280,331,551,67,223,425
2020년07월_계_70~79세,"6,439",744,39,815,57,56,298,62,509,429,619,427,30,326,40,26,43,40,288,206,298,482,44,220,341
2020년07월_계_80~89세,"3,917",438,39,484,20,25,157,26,237,248,341,297,18,213,24,22,29,18,193,126,187,343,26,138,268
2020년07월_계_90~99세,459,54,2,71,2,1,15,1,18,20,49,27,2,38,1,3,0,6,17,12,21,57,3,13,26
2020년07월_계_100세 이상,16,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,0,0,0
2020년07월_남_총인구수,"20,995","2,242",128,"3,154",131,128,826,191,"1,696","1,194","1,870","1,310",127,"1,315",294,126,295,196,951,864,836,"1,421",154,497,"1,049"
2020년07월_남_연령구간인구수,"20,995","2,242",128,"3,154",131,128,826,191,"1,696","1,194","1,870","1,310",127,"1,315",294,126,295,196,951,864,836,"1,421",154,497,"1,049"
2020년07월_남_0~9세,857,90,2,129,5,7,30,2,90,49,73,58,6,32,7,5,18,6,33,34,43,62,6,10,60
2020년07월_남_10~19세,"1,058",110,3,134,2,5,25,10,117,48,106,108,3,73,14,9,21,13,60,53,27,55,4,17,41
2020년07월_남_20~29세,"1,729",192,9,295,6,3,71,9,146,79,110,106,3,133,56,10,23,19,75,73,56,121,13,43,78
2020년07월_남_30~39세,"1,813",165,9,286,12,12,75,18,137,98,153,117,6,137,37,9,44,16,68,84,71,115,23,40,81
2020년07월_남_40~49세,"2,947",309,11,421,18,17,138,28,273,142,265,166,26,224,56,21,61,35,138,146,113,149,16,54,120
2020년07월_남_50~59세,"4,332",473,36,638,26,21,193,48,360,246,395,231,37,287,57,33,64,44,206,182,158,289,23,78,207
2020년07월_남_60~69세,"4,147",455,34,684,36,26,122,34,295,239,370,250,25,223,43,23,39,39,177,164,171,305,38,125,230
2020년07월_남_70~79세,"2,869",309,12,387,21,27,119,33,219,195,287,195,17,135,16,12,19,21,138,96,133,213,24,93,148
2020년07월_남_80~89세,"1,156",130,12,165,4,9,52,9,57,93,104,76,4,68,8,3,6,2,52,28,60,99,5,35,75
