,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년10월_계_총인구수,"347,615","22,515","19,897","15,649","22,018","16,764","29,585","11,618","35,575","22,891","25,862","28,808","17,911","22,086","27,075","29,361"
2020년10월_계_연령구간인구수,"347,615","22,515","19,897","15,649","22,018","16,764","29,585","11,618","35,575","22,891","25,862","28,808","17,911","22,086","27,075","29,361"
2020년10월_계_0~9세,"19,904",387,907,787,"1,231",765,"1,532",581,"3,367","1,048","1,655","2,360",726,882,"1,790","1,886"
2020년10월_계_10~19세,"26,212",732,"1,061",756,"1,422",986,"2,003",554,"5,541","1,536","1,922","2,644",892,"1,185","2,390","2,588"
2020년10월_계_20~29세,"62,784","9,542","4,447","2,754","3,917","2,709","4,519","2,401","4,158","4,407","3,912","3,988","2,704","4,792","3,773","4,761"
2020년10월_계_30~39세,"56,208","4,372","3,625","2,934","3,943","2,717","4,422","2,665","3,893","3,819","3,993","4,379","2,627","4,278","3,902","4,639"
2020년10월_계_40~49세,"52,866","2,179","2,604","2,189","3,031","2,383","4,239","1,644","7,746","3,417","4,101","4,608","2,501","3,228","4,400","4,596"
2020년10월_계_50~59세,"54,868","2,086","2,932","2,556","3,594","2,970","5,372","1,438","5,442","3,651","4,306","4,684","3,147","3,228","4,564","4,898"
2020년10월_계_60~69세,"42,162","1,680","2,348","2,064","2,824","2,387","4,309","1,252","2,993","2,814","3,588","3,563","2,980","2,429","3,468","3,463"
2020년10월_계_70~79세,"22,402","1,047","1,377","1,162","1,479","1,308","2,315",734,"1,474","1,530","1,683","1,607","1,640","1,420","1,933","1,693"
2020년10월_계_80~89세,"8,728",401,522,382,494,468,740,299,800,571,595,835,603,569,740,709
2020년10월_계_90~99세,"1,261",65,64,56,74,57,107,44,151,83,94,125,75,60,90,116
2020년10월_계_100세 이상,220,24,10,9,9,14,27,6,10,15,13,15,16,15,25,12
