,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 일직동,경기도 광명시 학온동
2021년11월_계_총인구수,"293,763",150,"3,215","9,867","13,470","13,890","10,516","21,380","10,931","5,736","34,815","13,078","25,945","13,862","20,047","12,366","31,695","28,794","21,903","2,103"
2021년11월_계_연령구간인구수,"293,763",150,"3,215","9,867","13,470","13,890","10,516","21,380","10,931","5,736","34,815","13,078","25,945","13,862","20,047","12,366","31,695","28,794","21,903","2,103"
2021년11월_계_0~9세,"21,931",0,105,332,614,805,754,"1,587",838,186,"2,994",985,"2,117",925,"1,349",917,"2,803","1,852","2,712",56
2021년11월_계_10~19세,"29,668",4,216,635,900,"1,178","1,119","1,798","1,357",372,"4,413","1,137","3,140","1,001","1,776","1,340","4,258","2,968","1,971",85
2021년11월_계_20~29세,"36,969",6,363,"1,222","1,730","1,717","1,222","2,749","1,455",838,"4,339","1,646","3,149","1,729","2,415","1,659","3,670","3,703","3,163",194
2021년11월_계_30~39세,"40,142",17,368,"1,203","1,772","1,659","1,206","3,180","1,484",726,"4,017","2,295","2,954","2,502","2,753","1,981","3,787","3,427","4,614",197
2021년11월_계_40~49세,"49,927",22,453,"1,356","1,883","2,211","1,764","3,307","1,959",782,"6,435","2,200","4,824","2,300","3,305","2,222","6,021","4,497","4,172",214
2021년11월_계_50~59세,"49,097",44,570,"1,855","2,341","2,363","1,777","3,504","1,853","1,207","5,864","2,147","4,458","2,198","3,320","2,067","4,957","5,034","3,137",401
2021년11월_계_60~69세,"39,420",40,636,"1,853","2,477","2,277","1,587","3,211","1,236",968,"4,243","1,628","3,305","1,757","2,676","1,307","3,821","4,271","1,598",529
2021년11월_계_70~79세,"17,642",13,354,964,"1,251","1,147",759,"1,417",506,413,"1,641",758,"1,326",829,"1,442",560,"1,609","2,073",350,230
2021년11월_계_80~89세,"7,804",2,139,403,443,474,298,539,218,212,758,249,580,528,876,275,646,848,148,168
2021년11월_계_90~99세,"1,127",2,11,41,58,59,29,87,25,31,110,30,87,91,126,37,121,116,38,28
2021년11월_계_100세 이상,36,0,0,3,1,0,1,1,0,1,1,3,5,2,9,1,2,5,0,1
