카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년07월_계_총인구수,"22,880","8,092","2,274","3,732","2,018","1,946","2,343","1,163","1,312"
2021년07월_계_연령구간인구수,"22,880","8,092","2,274","3,732","2,018","1,946","2,343","1,163","1,312"
2021년07월_계_0~9세,627,387,38,89,37,13,37,15,11
2021년07월_계_10~19세,917,562,45,123,43,37,66,23,18
2021년07월_계_20~29세,"1,419",695,93,241,131,96,87,32,44
2021년07월_계_30~39세,"1,235",597,99,174,98,74,100,47,46
2021년07월_계_40~49세,"2,045","1,065",132,294,130,119,161,63,81
2021년07월_계_50~59세,"4,109","1,475",437,669,386,340,376,189,237
2021년07월_계_60~69세,"5,529","1,546",574,"1,009",540,517,613,324,406
2021년07월_계_70~79세,"3,987","1,046",445,673,359,409,513,251,291
2021년07월_계_80~89세,"2,662",634,363,407,255,308,347,196,152
2021년07월_계_90~99세,336,79,46,52,39,32,39,23,26
2021년07월_계_100세 이상,14,6,2,1,0,1,4,0,0
2021년07월_남_총인구수,"11,709","4,182","1,177","1,914","1,046",980,"1,135",586,689
2021년07월_남_연령구간인구수,"11,709","4,182","1,177","1,914","1,046",980,"1,135",586,689
2021년07월_남_0~9세,332,214,18,46,22,4,13,9,6
2021년07월_남_10~19세,503,319,26,60,31,13,33,11,10
2021년07월_남_20~29세,863,412,57,144,89,61,47,23,30
2021년07월_남_30~39세,717,332,56,94,63,49,58,32,33
2021년07월_남_40~49세,"1,199",567,86,185,82,86,105,40,48
2021년07월_남_50~59세,"2,332",817,256,375,211,193,216,125,139
2021년07월_남_60~69세,"2,929",797,315,559,288,271,298,169,232
2021년07월_남_70~79세,"1,855",487,213,314,162,193,236,109,141
2021년07월_남_80~89세,907,219,137,129,90,102,119,62,49
2021년07월_남_90~99세,71,17,13,8,8,8,10,6,1
2021년07월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년07월_여_총인구수,"11,171","3,910","1,097","1,818",972,966,"1,208",577,623
2021년07월_여_연령구간인구수,"11,171","3,910","1,097","1,818",972,966,"1,208",577,623
2021년07월_여_0~9세,295,173,20,43,15,9,24,6,5
2021년07월_여_10~19세,414,243,19,63,12,24,33,12,8
2021년07월_여_20~29세,556,283,36,97,42,35,40,9,14
2021년07월_여_30~39세,518,265,43,80,35,25,42,15,13
2021년07월_여_40~49세,846,498,46,109,48,33,56,23,33
2021년07월_여_50~59세,"1,777",658,181,294,175,147,160,64,98
2021년07월_여_60~69세,"2,600",749,259,450,252,246,315,155,174
2021년07월_여_70~79세,"2,132",559,232,359,197,216,277,142,150
2021년07월_여_80~89세,"1,755",415,226,278,165,206,228,134,103
2021년07월_여_90~99세,265,62,33,44,31,24,29,17,25
2021년07월_여_100세 이상,13,5,2,1,0,1,4,0,0
