카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년05월_계_총인구수,"51,547","20,953","1,909","2,842","2,204","3,402","2,436","4,435","2,276","2,534","2,211","2,654","2,548","1,143"
2021년05월_계_연령구간인구수,"51,547","20,953","1,909","2,842","2,204","3,402","2,436","4,435","2,276","2,534","2,211","2,654","2,548","1,143"
2021년05월_계_0~9세,"2,483","1,622",41,60,66,98,47,202,71,47,59,71,71,28
2021년05월_계_10~19세,"3,646","2,333",58,118,111,151,80,275,99,97,85,103,104,32
2021년05월_계_20~29세,"4,172","2,167",109,190,152,196,130,357,153,150,167,173,164,64
2021년05월_계_30~39세,"3,766","2,022",103,154,168,220,102,341,134,112,112,126,116,56
2021년05월_계_40~49세,"5,980","3,083",140,247,219,372,190,509,207,216,173,251,252,121
2021년05월_계_50~59세,"8,699","3,468",299,465,396,491,429,838,399,405,409,444,449,207
2021년05월_계_60~69세,"9,770","3,039",458,583,460,762,566,911,566,529,464,568,581,283
2021년05월_계_70~79세,"7,705","2,008",375,567,341,714,487,623,421,526,407,523,499,214
2021년05월_계_80~89세,"4,674","1,094",275,398,247,357,359,329,197,395,297,341,268,117
2021년05월_계_90~99세,630,112,49,60,42,39,44,49,26,55,37,52,44,21
2021년05월_계_100세 이상,22,5,2,0,2,2,2,1,3,2,1,2,0,0
2021년05월_남_총인구수,"25,629","10,261",933,"1,424","1,148","1,712","1,218","2,275","1,164","1,248","1,089","1,295","1,257",605
2021년05월_남_연령구간인구수,"25,629","10,261",933,"1,424","1,148","1,712","1,218","2,275","1,164","1,248","1,089","1,295","1,257",605
2021년05월_남_0~9세,"1,303",845,23,35,23,39,23,116,41,25,33,40,45,15
2021년05월_남_10~19세,"1,912","1,215",39,59,62,76,50,134,61,51,44,53,54,14
2021년05월_남_20~29세,"2,363","1,196",62,114,85,106,72,202,105,85,88,99,111,38
2021년05월_남_30~39세,"2,034",992,63,90,105,141,60,196,74,78,70,67,64,34
2021년05월_남_40~49세,"3,346","1,534",95,165,139,239,131,308,118,139,103,143,152,80
2021년05월_남_50~59세,"4,785","1,735",169,281,233,296,240,465,228,242,241,272,248,135
2021년05월_남_60~69세,"4,893","1,492",225,306,263,360,295,453,267,266,253,281,277,155
2021년05월_남_70~79세,"3,359",870,158,235,145,318,222,288,202,219,171,213,224,94
2021년05월_남_80~89세,"1,491",360,88,124,81,126,113,104,63,128,81,111,74,38
2021년05월_남_90~99세,141,22,11,15,11,11,11,9,5,15,5,16,8,2
2021년05월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년05월_여_총인구수,"25,918","10,692",976,"1,418","1,056","1,690","1,218","2,160","1,112","1,286","1,122","1,359","1,291",538
2021년05월_여_연령구간인구수,"25,918","10,692",976,"1,418","1,056","1,690","1,218","2,160","1,112","1,286","1,122","1,359","1,291",538
2021년05월_여_0~9세,"1,180",777,18,25,43,59,24,86,30,22,26,31,26,13
2021년05월_여_10~19세,"1,734","1,118",19,59,49,75,30,141,38,46,41,50,50,18
2021년05월_여_20~29세,"1,809",971,47,76,67,90,58,155,48,65,79,74,53,26
2021년05월_여_30~39세,"1,732","1,030",40,64,63,79,42,145,60,34,42,59,52,22
2021년05월_여_40~49세,"2,634","1,549",45,82,80,133,59,201,89,77,70,108,100,41
2021년05월_여_50~59세,"3,914","1,733",130,184,163,195,189,373,171,163,168,172,201,72
2021년05월_여_60~69세,"4,877","1,547",233,277,197,402,271,458,299,263,211,287,304,128
2021년05월_여_70~79세,"4,346","1,138",217,332,196,396,265,335,219,307,236,310,275,120
2021년05월_여_80~89세,"3,183",734,187,274,166,231,246,225,134,267,216,230,194,79
2021년05월_여_90~99세,489,90,38,45,31,28,33,40,21,40,32,36,36,19
2021년05월_여_100세 이상,20,5,2,0,1,2,1,1,3,2,1,2,0,0
