,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년11월_계_총인구수,"50,562","22,443","3,251","2,766","2,455","2,512","2,780","2,113","3,245","3,008","5,989"
2021년11월_계_연령구간인구수,"50,562","22,443","3,251","2,766","2,455","2,512","2,780","2,113","3,245","3,008","5,989"
2021년11월_계_0~9세,"2,356","1,501",86,66,63,119,77,50,78,80,236
2021년11월_계_10~19세,"4,110","2,434",148,96,74,134,335,151,197,140,401
2021년11월_계_20~29세,"3,728","2,092",186,168,92,124,148,104,177,184,453
2021년11월_계_30~39세,"3,383","1,918",178,131,112,136,112,72,139,175,410
2021년11월_계_40~49세,"5,952","3,471",277,221,167,226,233,145,284,268,660
2021년11월_계_50~59세,"8,880","3,755",591,481,387,427,419,403,654,554,"1,209"
2021년11월_계_60~69세,"10,383","3,561",782,745,660,599,617,525,739,767,"1,388"
2021년11월_계_70~79세,"6,835","2,402",538,458,455,420,445,363,565,488,701
2021년11월_계_80~89세,"4,337","1,167",389,353,388,286,350,271,368,301,464
2021년11월_계_90~99세,589,140,74,47,55,41,43,29,44,51,65
2021년11월_계_100세 이상,9,2,2,0,2,0,1,0,0,0,2
2021년11월_남_총인구수,"25,522","11,025","1,686","1,453","1,236","1,250","1,403","1,085","1,621","1,574","3,189"
2021년11월_남_연령구간인구수,"25,522","11,025","1,686","1,453","1,236","1,250","1,403","1,085","1,621","1,574","3,189"
2021년11월_남_0~9세,"1,198",741,51,38,29,54,44,26,49,38,128
2021년11월_남_10~19세,"2,132","1,237",81,62,34,68,155,83,112,81,219
2021년11월_남_20~29세,"2,170","1,194",124,105,56,69,94,68,83,105,272
2021년11월_남_30~39세,"1,778",973,103,80,71,72,57,35,64,79,244
2021년11월_남_40~49세,"3,265","1,801",158,142,109,121,134,86,157,170,387
2021년11월_남_50~59세,"4,920","1,932",349,281,250,257,252,233,372,324,670
2021년11월_남_60~69세,"5,332","1,692",408,394,340,318,330,290,395,415,750
2021년11월_남_70~79세,"3,151","1,017",257,227,217,188,215,164,263,251,352
2021년11월_남_80~89세,"1,441",413,136,114,116,95,110,94,116,98,149
2021년11월_남_90~99세,133,24,18,10,14,8,12,6,10,13,18
2021년11월_남_100세 이상,2,1,1,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"25,040","11,418","1,565","1,313","1,219","1,262","1,377","1,028","1,624","1,434","2,800"
2021년11월_여_연령구간인구수,"25,040","11,418","1,565","1,313","1,219","1,262","1,377","1,028","1,624","1,434","2,800"
2021년11월_여_0~9세,"1,158",760,35,28,34,65,33,24,29,42,108
2021년11월_여_10~19세,"1,978","1,197",67,34,40,66,180,68,85,59,182
2021년11월_여_20~29세,"1,558",898,62,63,36,55,54,36,94,79,181
2021년11월_여_30~39세,"1,605",945,75,51,41,64,55,37,75,96,166
2021년11월_여_40~49세,"2,687","1,670",119,79,58,105,99,59,127,98,273
2021년11월_여_50~59세,"3,960","1,823",242,200,137,170,167,170,282,230,539
2021년11월_여_60~69세,"5,051","1,869",374,351,320,281,287,235,344,352,638
2021년11월_여_70~79세,"3,684","1,385",281,231,238,232,230,199,302,237,349
2021년11월_여_80~89세,"2,896",754,253,239,272,191,240,177,252,203,315
2021년11월_여_90~99세,456,116,56,37,41,33,31,23,34,38,47
2021년11월_여_100세 이상,7,1,1,0,2,0,1,0,0,0,2
