카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년09월_계_총인구수,"46,482","20,775","4,486","3,150","5,892","2,356","2,439","3,500","2,133","1,751"
2020년09월_계_연령구간인구수,"46,482","20,775","4,486","3,150","5,892","2,356","2,439","3,500","2,133","1,751"
2020년09월_계_0~9세,"2,208","1,499",130,65,249,40,38,79,69,39
2020년09월_계_10~19세,"3,597","2,027",202,581,384,76,69,119,68,71
2020년09월_계_20~29세,"3,858","2,264",379,132,398,126,135,214,122,88
2020년09월_계_30~39세,"3,474","2,055",254,123,439,119,90,184,136,74
2020년09월_계_40~49세,"5,137","2,987",420,188,640,169,169,276,158,130
2020년09월_계_50~59세,"8,840","3,650",922,578,"1,227",453,535,717,400,358
2020년09월_계_60~69세,"10,012","3,228","1,103",770,"1,358",710,729,954,637,523
2020년09월_계_70~79세,"5,642","1,832",654,435,735,391,401,559,310,325
2020년09월_계_80~89세,"3,166","1,033",363,231,406,236,233,332,199,133
2020년09월_계_90~99세,515,189,53,42,54,33,38,63,33,10
2020년09월_계_100세 이상,33,11,6,5,2,3,2,3,1,0
2020년09월_남_총인구수,"23,823","10,439","2,343","1,624","3,089","1,211","1,236","1,828","1,134",919
2020년09월_남_연령구간인구수,"23,823","10,439","2,343","1,624","3,089","1,211","1,236","1,828","1,134",919
2020년09월_남_0~9세,"1,158",777,69,37,132,22,14,41,42,24
2020년09월_남_10~19세,"1,873","1,041",105,304,205,33,43,63,33,46
2020년09월_남_20~29세,"2,193","1,231",244,83,231,67,75,131,73,58
2020년09월_남_30~39세,"1,833","1,036",134,61,259,64,48,110,82,39
2020년09월_남_40~49세,"2,857","1,614",239,105,359,99,95,177,94,75
2020년09월_남_50~59세,"4,670","1,907",498,304,661,226,281,385,215,193
2020년09월_남_60~69세,"5,229","1,626",585,413,711,390,396,500,348,260
2020년09월_남_70~79세,"2,722",785,328,222,362,206,205,290,161,163
2020년09월_남_80~89세,"1,153",366,126,87,160,95,70,117,75,57
2020년09월_남_90~99세,124,53,15,7,9,7,8,11,10,4
2020년09월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년09월_여_총인구수,"22,659","10,336","2,143","1,526","2,803","1,145","1,203","1,672",999,832
2020년09월_여_연령구간인구수,"22,659","10,336","2,143","1,526","2,803","1,145","1,203","1,672",999,832
2020년09월_여_0~9세,"1,050",722,61,28,117,18,24,38,27,15
2020년09월_여_10~19세,"1,724",986,97,277,179,43,26,56,35,25
2020년09월_여_20~29세,"1,665","1,033",135,49,167,59,60,83,49,30
2020년09월_여_30~39세,"1,641","1,019",120,62,180,55,42,74,54,35
2020년09월_여_40~49세,"2,280","1,373",181,83,281,70,74,99,64,55
2020년09월_여_50~59세,"4,170","1,743",424,274,566,227,254,332,185,165
2020년09월_여_60~69세,"4,783","1,602",518,357,647,320,333,454,289,263
2020년09월_여_70~79세,"2,920","1,047",326,213,373,185,196,269,149,162
2020년09월_여_80~89세,"2,013",667,237,144,246,141,163,215,124,76
2020년09월_여_90~99세,391,136,38,35,45,26,30,52,23,6
2020년09월_여_100세 이상,22,8,6,4,2,1,1,0,0,0
