카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년10월_계_총인구수,"223,713","16,924","9,478","7,334","19,541","15,986","13,780","10,071","11,916","21,746","26,077","8,341","6,433","9,033","20,454","13,049","13,550"
2021년10월_계_연령구간인구수,"223,713","16,924","9,478","7,334","19,541","15,986","13,780","10,071","11,916","21,746","26,077","8,341","6,433","9,033","20,454","13,049","13,550"
2021년10월_계_0~9세,"12,800",891,322,179,645,"1,271",860,735,714,"1,242","2,509",516,218,394,"1,130",752,422
2021년10월_계_10~19세,"14,803","1,177",491,257,"1,067",911,"1,174",696,733,980,"2,744",507,262,465,"1,145","1,436",758
2021년10월_계_20~29세,"32,985","2,431","1,469",929,"4,254","2,477","1,861","1,547","1,778","3,708","2,722",857,"1,066","1,393","2,644","1,740","2,109"
2021년10월_계_30~39세,"37,773","2,799","1,677","1,027","3,212","3,624","2,106","1,840","1,975","4,782","3,252","1,367","1,098","1,660","3,817","1,466","2,071"
2021년10월_계_40~49세,"33,935","2,610","1,303","1,022","2,598","2,599","2,182","1,537","1,724","2,864","4,496","1,224",833,"1,365","3,280","2,350","1,948"
2021년10월_계_50~59세,"36,239","2,745","1,389","1,583","3,070","2,209","2,269","1,585","1,994","3,439","4,382","1,345","1,029","1,274","3,204","2,294","2,428"
2021년10월_계_60~69세,"29,101","2,270","1,412","1,375","2,474","1,681","1,767","1,090","1,560","2,654","2,908","1,368","1,010","1,187","2,806","1,523","2,016"
2021년10월_계_70~79세,"16,078","1,281",887,626,"1,434",805,969,647,967,"1,295","1,653",730,517,799,"1,530",774,"1,164"
2021년10월_계_80~89세,"8,511",602,451,283,691,353,524,339,409,664,"1,173",366,322,425,740,615,554
2021년10월_계_90~99세,"1,399",107,75,42,93,51,66,50,59,112,228,60,73,68,142,97,76
2021년10월_계_100세 이상,89,11,2,11,3,5,2,5,3,6,10,1,5,3,16,2,4
2021년10월_남_총인구수,"107,607","8,256","4,581","4,459","9,163","7,600","6,490","4,764","5,707","10,295","12,215","3,908","3,133","4,165","9,879","6,248","6,744"
2021년10월_남_연령구간인구수,"107,607","8,256","4,581","4,459","9,163","7,600","6,490","4,764","5,707","10,295","12,215","3,908","3,133","4,165","9,879","6,248","6,744"
2021년10월_남_0~9세,"6,612",455,166,95,327,630,425,375,361,657,"1,331",261,106,199,608,384,232
2021년10월_남_10~19세,"7,490",645,256,148,565,479,484,366,370,516,"1,373",243,130,213,561,718,423
2021년10월_남_20~29세,"15,529","1,230",771,436,"1,680","1,028",860,712,870,"1,542","1,331",430,559,681,"1,352",860,"1,187"
2021년10월_남_30~39세,"18,711","1,452",873,560,"1,723","1,713","1,059",896,970,"2,246","1,416",684,598,807,"1,837",733,"1,144"
2021년10월_남_40~49세,"16,713","1,279",667,640,"1,297","1,314","1,075",735,856,"1,402","2,023",614,427,659,"1,645","1,096",984
2021년10월_남_50~59세,"17,887","1,350",655,"1,100","1,529","1,093","1,110",749,983,"1,658","2,115",620,486,584,"1,548","1,129","1,178"
2021년10월_남_60~69세,"14,013","1,062",625,960,"1,155",816,844,517,716,"1,348","1,408",615,471,510,"1,315",760,891
2021년10월_남_70~79세,"7,032",554,395,362,593,368,441,271,405,607,689,314,212,336,671,318,496
2021년10월_남_80~89세,"3,170",199,153,142,270,143,176,123,161,278,445,118,121,152,294,213,182
2021년10월_남_90~99세,424,28,19,12,23,15,16,19,14,40,80,9,22,24,40,36,27
2021년10월_남_100세 이상,26,2,1,4,1,1,0,1,1,1,4,0,1,0,8,1,0
2021년10월_여_총인구수,"116,106","8,668","4,897","2,875","10,378","8,386","7,290","5,307","6,209","11,451","13,862","4,433","3,300","4,868","10,575","6,801","6,806"
2021년10월_여_연령구간인구수,"116,106","8,668","4,897","2,875","10,378","8,386","7,290","5,307","6,209","11,451","13,862","4,433","3,300","4,868","10,575","6,801","6,806"
2021년10월_여_0~9세,"6,188",436,156,84,318,641,435,360,353,585,"1,178",255,112,195,522,368,190
2021년10월_여_10~19세,"7,313",532,235,109,502,432,690,330,363,464,"1,371",264,132,252,584,718,335
2021년10월_여_20~29세,"17,456","1,201",698,493,"2,574","1,449","1,001",835,908,"2,166","1,391",427,507,712,"1,292",880,922
2021년10월_여_30~39세,"19,062","1,347",804,467,"1,489","1,911","1,047",944,"1,005","2,536","1,836",683,500,853,"1,980",733,927
2021년10월_여_40~49세,"17,222","1,331",636,382,"1,301","1,285","1,107",802,868,"1,462","2,473",610,406,706,"1,635","1,254",964
2021년10월_여_50~59세,"18,352","1,395",734,483,"1,541","1,116","1,159",836,"1,011","1,781","2,267",725,543,690,"1,656","1,165","1,250"
2021년10월_여_60~69세,"15,088","1,208",787,415,"1,319",865,923,573,844,"1,306","1,500",753,539,677,"1,491",763,"1,125"
2021년10월_여_70~79세,"9,046",727,492,264,841,437,528,376,562,688,964,416,305,463,859,456,668
2021년10월_여_80~89세,"5,341",403,298,141,421,210,348,216,248,386,728,248,201,273,446,402,372
2021년10월_여_90~99세,975,79,56,30,70,36,50,31,45,72,148,51,51,44,102,61,49
