,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년08월_계_총인구수,"24,024","9,442","2,272","4,059","2,587","4,270","1,394"
2020년08월_계_연령구간인구수,"24,024","9,442","2,272","4,059","2,587","4,270","1,394"
2020년08월_계_0~9세,"1,245",762,60,195,66,130,32
2020년08월_계_10~19세,"1,813",971,114,293,120,260,55
2020년08월_계_20~29세,"1,775",857,145,324,145,243,61
2020년08월_계_30~39세,"1,751",908,139,259,131,248,66
2020년08월_계_40~49세,"2,899","1,467",199,506,235,392,100
2020년08월_계_50~59세,"4,215","1,459",453,809,447,789,258
2020년08월_계_60~69세,"4,269","1,257",499,739,539,896,339
2020년08월_계_70~79세,"3,421","1,018",375,547,494,716,271
2020년08월_계_80~89세,"2,290",624,254,343,367,522,180
2020년08월_계_90~99세,324,110,34,42,39,68,31
2020년08월_계_100세 이상,22,9,0,2,4,6,1
2020년08월_남_총인구수,"11,938","4,707","1,124","2,040","1,268","2,116",683
2020년08월_남_연령구간인구수,"11,938","4,707","1,124","2,040","1,268","2,116",683
2020년08월_남_0~9세,671,404,35,116,34,66,16
2020년08월_남_10~19세,921,488,65,157,58,126,27
2020년08월_남_20~29세,985,473,75,173,84,143,37
2020년08월_남_30~39세,957,463,83,150,75,146,40
2020년08월_남_40~49세,"1,614",773,115,283,145,238,60
2020년08월_남_50~59세,"2,323",823,234,449,248,428,141
2020년08월_남_60~69세,"2,172",603,256,372,282,477,182
2020년08월_남_70~79세,"1,431",442,172,214,199,293,111
2020년08월_남_80~89세,794,217,80,120,133,183,61
2020년08월_남_90~99세,66,20,9,6,9,14,8
2020년08월_남_100세 이상,4,1,0,0,1,2,0
2020년08월_여_총인구수,"12,086","4,735","1,148","2,019","1,319","2,154",711
2020년08월_여_연령구간인구수,"12,086","4,735","1,148","2,019","1,319","2,154",711
2020년08월_여_0~9세,574,358,25,79,32,64,16
2020년08월_여_10~19세,892,483,49,136,62,134,28
2020년08월_여_20~29세,790,384,70,151,61,100,24
2020년08월_여_30~39세,794,445,56,109,56,102,26
2020년08월_여_40~49세,"1,285",694,84,223,90,154,40
2020년08월_여_50~59세,"1,892",636,219,360,199,361,117
2020년08월_여_60~69세,"2,097",654,243,367,257,419,157
2020년08월_여_70~79세,"1,990",576,203,333,295,423,160
2020년08월_여_80~89세,"1,496",407,174,223,234,339,119
2020년08월_여_90~99세,258,90,25,36,30,54,23
2020년08월_여_100세 이상,18,8,0,2,3,4,1
