카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년05월_계_총인구수,"69,588","24,891","2,994","3,296","2,889","6,270","2,862","2,047","3,081","2,200","2,456","4,931","3,883","4,134","3,654"
2020년05월_계_연령구간인구수,"69,588","24,891","2,994","3,296","2,889","6,270","2,862","2,047","3,081","2,200","2,456","4,931","3,883","4,134","3,654"
2020년05월_계_0~9세,"4,247","2,403",107,144,79,312,107,51,106,81,87,203,212,211,144
2020년05월_계_10~19세,"5,415","2,998",153,156,150,385,177,105,175,92,124,263,197,239,201
2020년05월_계_20~29세,"5,621","2,685",221,202,159,480,184,116,203,100,151,299,265,274,282
2020년05월_계_30~39세,"5,329","2,697",189,222,138,431,150,89,141,108,113,292,270,255,234
2020년05월_계_40~49세,"8,250","3,852",284,328,269,669,258,189,337,213,238,404,409,408,392
2020년05월_계_50~59세,"11,873","4,095",555,541,509,"1,124",470,336,530,335,434,912,659,741,632
2020년05월_계_60~69세,"12,052","3,116",614,658,630,"1,172",579,405,556,448,466,"1,112",714,835,747
2020년05월_계_70~79세,"10,025","1,987",511,634,562,"1,036",562,423,566,417,474,835,708,722,588
2020년05월_계_80~89세,"5,932",921,319,374,343,597,335,294,385,353,321,539,391,391,369
2020년05월_계_90~99세,801,135,39,35,46,61,39,38,76,48,44,67,56,56,61
2020년05월_계_100세 이상,43,2,2,2,4,3,1,1,6,5,4,5,2,2,4
2020년05월_남_총인구수,"34,339","12,269","1,481","1,650","1,437","3,074","1,376",970,"1,533","1,029","1,240","2,420","1,945","2,046","1,869"
2020년05월_남_연령구간인구수,"34,339","12,269","1,481","1,650","1,437","3,074","1,376",970,"1,533","1,029","1,240","2,420","1,945","2,046","1,869"
2020년05월_남_0~9세,"2,143","1,204",51,77,41,156,49,29,56,36,54,100,106,109,75
2020년05월_남_10~19세,"2,822","1,549",83,78,80,198,96,54,96,52,72,143,94,128,99
2020년05월_남_20~29세,"3,139","1,453",115,104,95,292,102,64,114,61,91,186,144,167,151
2020년05월_남_30~39세,"2,762","1,294",105,140,91,244,77,48,74,53,60,167,150,125,134
2020년05월_남_40~49세,"4,691","1,932",181,210,162,391,151,119,209,134,161,240,282,243,276
2020년05월_남_50~59세,"6,523","2,137",298,320,289,582,254,200,318,177,267,508,381,415,377
2020년05월_남_60~69세,"5,961","1,491",318,318,326,564,283,199,286,222,231,543,375,415,390
2020년05월_남_70~79세,"4,326",901,215,282,236,460,247,155,237,165,196,361,299,324,248
2020년05월_남_80~89세,"1,820",277,106,115,112,180,104,98,130,113,97,162,109,109,108
2020년05월_남_90~99세,151,31,9,6,5,7,13,4,13,15,11,10,5,11,11
2020년05월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년05월_여_총인구수,"35,249","12,622","1,513","1,646","1,452","3,196","1,486","1,077","1,548","1,171","1,216","2,511","1,938","2,088","1,785"
2020년05월_여_연령구간인구수,"35,249","12,622","1,513","1,646","1,452","3,196","1,486","1,077","1,548","1,171","1,216","2,511","1,938","2,088","1,785"
2020년05월_여_0~9세,"2,104","1,199",56,67,38,156,58,22,50,45,33,103,106,102,69
2020년05월_여_10~19세,"2,593","1,449",70,78,70,187,81,51,79,40,52,120,103,111,102
2020년05월_여_20~29세,"2,482","1,232",106,98,64,188,82,52,89,39,60,113,121,107,131
2020년05월_여_30~39세,"2,567","1,403",84,82,47,187,73,41,67,55,53,125,120,130,100
2020년05월_여_40~49세,"3,559","1,920",103,118,107,278,107,70,128,79,77,164,127,165,116
2020년05월_여_50~59세,"5,350","1,958",257,221,220,542,216,136,212,158,167,404,278,326,255
2020년05월_여_60~69세,"6,091","1,625",296,340,304,608,296,206,270,226,235,569,339,420,357
2020년05월_여_70~79세,"5,699","1,086",296,352,326,576,315,268,329,252,278,474,409,398,340
2020년05월_여_80~89세,"4,112",644,213,259,231,417,231,196,255,240,224,377,282,282,261
2020년05월_여_90~99세,650,104,30,29,41,54,26,34,63,33,33,57,51,45,50
2020년05월_여_100세 이상,42,2,2,2,4,3,1,1,6,4,4,5,2,2,4
