카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년07월_계_총인구수,"120,419","30,764","10,495","4,799","13,971","8,117","9,822","3,882","3,786","4,629","6,919","18,019","5,216"
2021년07월_계_연령구간인구수,"120,419","30,764","10,495","4,799","13,971","8,117","9,822","3,882","3,786","4,629","6,919","18,019","5,216"
2021년07월_계_0~9세,"7,177","2,179",904,175,744,477,610,125,104,134,232,"1,257",236
2021년07월_계_10~19세,"9,951","3,210",959,248,"1,165",575,868,220,155,198,380,"1,653",320
2021년07월_계_20~29세,"10,645","3,558",835,343,"1,261",750,607,251,222,278,482,"1,666",392
2021년07월_계_30~39세,"10,796","3,167","1,171",367,"1,197",787,834,277,194,287,416,"1,715",384
2021년07월_계_40~49세,"16,286","4,775","1,682",497,"1,847","1,070","1,494",412,357,391,710,"2,457",594
2021년07월_계_50~59세,"20,615","5,327","1,619",869,"2,400","1,412","1,708",667,663,906,"1,212","2,934",898
2021년07월_계_60~69세,"24,172","4,717","1,866","1,311","2,849","1,696","2,148","1,012","1,046","1,204","1,777","3,271","1,275"
2021년07월_계_70~79세,"13,165","2,440",975,698,"1,658",889,"1,045",559,601,712,"1,000","1,878",710
2021년07월_계_80~89세,"6,549","1,218",422,246,725,400,424,315,394,433,597,"1,015",360
2021년07월_계_90~99세,"1,019",165,59,43,114,60,81,43,47,82,110,169,46
2021년07월_계_100세 이상,44,8,3,2,11,1,3,1,3,4,3,4,1
2021년07월_남_총인구수,"60,513","15,419","5,212","2,420","7,022","4,116","4,875","1,974","1,930","2,313","3,531","9,063","2,638"
2021년07월_남_연령구간인구수,"60,513","15,419","5,212","2,420","7,022","4,116","4,875","1,974","1,930","2,313","3,531","9,063","2,638"
2021년07월_남_0~9세,"3,668","1,119",446,93,391,226,295,62,60,76,140,651,109
2021년07월_남_10~19세,"5,308","1,650",507,146,660,312,462,115,89,102,221,871,173
2021년07월_남_20~29세,"5,931","1,977",448,194,695,439,334,141,124,158,267,930,224
2021년07월_남_30~39세,"5,479","1,614",558,196,603,406,398,156,103,161,220,867,197
2021년07월_남_40~49세,"8,256","2,299",837,246,941,571,747,227,207,216,385,"1,262",318
2021년07월_남_50~59세,"10,593","2,738",834,435,"1,193",720,853,352,350,479,644,"1,511",484
2021년07월_남_60~69세,"12,027","2,362",906,626,"1,372",858,"1,036",524,531,597,946,"1,634",635
2021년07월_남_70~79세,"6,479","1,183",500,374,815,427,558,270,289,343,467,895,358
2021년07월_남_80~89세,"2,523",434,162,101,321,140,173,121,164,163,208,405,131
2021년07월_남_90~99세,239,43,14,8,25,17,19,6,12,17,32,37,9
2021년07월_남_100세 이상,10,0,0,1,6,0,0,0,1,1,1,0,0
2021년07월_여_총인구수,"59,906","15,345","5,283","2,379","6,949","4,001","4,947","1,908","1,856","2,316","3,388","8,956","2,578"
2021년07월_여_연령구간인구수,"59,906","15,345","5,283","2,379","6,949","4,001","4,947","1,908","1,856","2,316","3,388","8,956","2,578"
2021년07월_여_0~9세,"3,509","1,060",458,82,353,251,315,63,44,58,92,606,127
2021년07월_여_10~19세,"4,643","1,560",452,102,505,263,406,105,66,96,159,782,147
2021년07월_여_20~29세,"4,714","1,581",387,149,566,311,273,110,98,120,215,736,168
2021년07월_여_30~39세,"5,317","1,553",613,171,594,381,436,121,91,126,196,848,187
2021년07월_여_40~49세,"8,030","2,476",845,251,906,499,747,185,150,175,325,"1,195",276
2021년07월_여_50~59세,"10,022","2,589",785,434,"1,207",692,855,315,313,427,568,"1,423",414
2021년07월_여_60~69세,"12,145","2,355",960,685,"1,477",838,"1,112",488,515,607,831,"1,637",640
2021년07월_여_70~79세,"6,686","1,257",475,324,843,462,487,289,312,369,533,983,352
2021년07월_여_80~89세,"4,026",784,260,145,404,260,251,194,230,270,389,610,229
2021년07월_여_90~99세,780,122,45,35,89,43,62,37,35,65,78,132,37
2021년07월_여_100세 이상,34,8,3,1,5,1,3,1,2,3,2,4,1
