카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년11월_계_총인구수,"145,073","12,006","9,367","2,467","9,629","18,152","8,292","10,069","4,127","7,174","5,127","7,285","16,437","4,888","7,953","6,618","5,855","9,627"
2021년11월_계_연령구간인구수,"145,073","12,006","9,367","2,467","9,629","18,152","8,292","10,069","4,127","7,174","5,127","7,285","16,437","4,888","7,953","6,618","5,855","9,627"
2021년11월_계_0~9세,"7,039",749,555,101,500,"1,154",652,830,184,179,94,222,610,130,208,366,249,256
2021년11월_계_10~19세,"10,465","1,151",672,173,863,"1,585",990,789,320,228,222,365,"1,302",218,437,477,339,334
2021년11월_계_20~29세,"22,896","1,575","1,199",327,"1,236","2,356",904,"1,209",478,925,"1,114","1,612","4,384",593,"1,123",907,755,"2,199"
2021년11월_계_30~39세,"19,473","1,583","1,456",304,"1,218","2,182",903,"1,577",541,931,743,"1,232","2,031",546,910,929,798,"1,589"
2021년11월_계_40~49세,"21,065","2,090","1,476",345,"1,563","2,683","1,413","1,796",701,914,559,898,"2,115",584,982,888,861,"1,197"
2021년11월_계_50~59세,"24,982","1,923","1,536",386,"1,689","3,259","1,429","1,585",716,"1,308",886,"1,097","2,382","1,002","1,783","1,230","1,148","1,623"
2021년11월_계_60~69세,"20,362","1,401","1,205",409,"1,350","2,666","1,045","1,176",572,"1,412",766,943,"1,654","1,030","1,389","1,046",930,"1,368"
2021년11월_계_70~79세,"11,659",933,706,247,741,"1,303",585,724,388,804,493,564,"1,177",510,761,506,498,719
2021년11월_계_80~89세,"6,146",525,476,144,391,799,327,338,193,403,221,308,672,244,322,234,243,306
2021년11월_계_90~99세,944,74,85,25,74,158,40,41,32,67,28,40,107,31,38,34,34,36
2021년11월_계_100세 이상,42,2,1,6,4,7,4,4,2,3,1,4,3,0,0,1,0,0
2021년11월_남_총인구수,"70,393","5,542","4,210","1,177","4,597","8,455","3,857","4,635","1,900","4,245","2,743","3,448","7,936","2,623","4,101","3,259","2,822","4,843"
2021년11월_남_연령구간인구수,"70,393","5,542","4,210","1,177","4,597","8,455","3,857","4,635","1,900","4,245","2,743","3,448","7,936","2,623","4,101","3,259","2,822","4,843"
2021년11월_남_0~9세,"3,571",386,278,46,251,605,297,414,97,93,46,111,302,62,117,200,135,131
2021년11월_남_10~19세,"5,195",612,297,99,467,783,447,371,163,117,105,173,644,118,227,240,156,176
2021년11월_남_20~29세,"11,038",777,545,167,644,"1,171",426,557,218,448,532,746,"2,173",312,590,481,365,886
2021년11월_남_30~39세,"9,695",734,639,140,591,"1,013",407,707,257,529,438,615,"1,079",325,528,461,399,833
2021년11월_남_40~49세,"10,192",921,650,166,709,"1,205",665,841,329,557,325,450,"1,012",299,517,438,453,655
2021년11월_남_50~59세,"12,572",876,699,197,772,"1,484",736,769,335,904,514,543,"1,152",571,943,585,562,930
2021년11월_남_60~69세,"10,158",628,570,189,646,"1,251",487,534,265,918,442,442,794,586,706,528,441,731
2021년11월_남_70~79세,"5,191",369,295,114,338,585,248,290,153,463,234,245,483,249,326,227,215,357
2021년11월_남_80~89세,"2,486",216,204,47,160,320,129,139,77,195,100,108,263,92,131,83,88,134
2021년11월_남_90~99세,282,23,32,11,18,35,13,13,5,19,7,14,34,9,16,15,8,10
2021년11월_남_100세 이상,13,0,1,1,1,3,2,0,1,2,0,1,0,0,0,1,0,0
2021년11월_여_총인구수,"74,680","6,464","5,157","1,290","5,032","9,697","4,435","5,434","2,227","2,929","2,384","3,837","8,501","2,265","3,852","3,359","3,033","4,784"
2021년11월_여_연령구간인구수,"74,680","6,464","5,157","1,290","5,032","9,697","4,435","5,434","2,227","2,929","2,384","3,837","8,501","2,265","3,852","3,359","3,033","4,784"
2021년11월_여_0~9세,"3,468",363,277,55,249,549,355,416,87,86,48,111,308,68,91,166,114,125
2021년11월_여_10~19세,"5,270",539,375,74,396,802,543,418,157,111,117,192,658,100,210,237,183,158
2021년11월_여_20~29세,"11,858",798,654,160,592,"1,185",478,652,260,477,582,866,"2,211",281,533,426,390,"1,313"
2021년11월_여_30~39세,"9,778",849,817,164,627,"1,169",496,870,284,402,305,617,952,221,382,468,399,756
2021년11월_여_40~49세,"10,873","1,169",826,179,854,"1,478",748,955,372,357,234,448,"1,103",285,465,450,408,542
2021년11월_여_50~59세,"12,410","1,047",837,189,917,"1,775",693,816,381,404,372,554,"1,230",431,840,645,586,693
2021년11월_여_60~69세,"10,204",773,635,220,704,"1,415",558,642,307,494,324,501,860,444,683,518,489,637
2021년11월_여_70~79세,"6,468",564,411,133,403,718,337,434,235,341,259,319,694,261,435,279,283,362
2021년11월_여_80~89세,"3,660",309,272,97,231,479,198,199,116,208,121,200,409,152,191,151,155,172
2021년11월_여_90~99세,662,51,53,14,56,123,27,28,27,48,21,26,73,22,22,19,26,26
2021년11월_여_100세 이상,29,2,0,5,3,4,2,4,1,1,1,3,3,0,0,0,0,0
