,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년05월_계_총인구수,"235,276","26,312","5,854","6,852","11,879","10,518","5,286","50,157","9,719","27,139","27,370","54,190"
2021년05월_계_연령구간인구수,"235,276","26,312","5,854","6,852","11,879","10,518","5,286","50,157","9,719","27,139","27,370","54,190"
2021년05월_계_0~9세,"20,211","1,309",143,373,604,496,201,"4,681",635,"1,916","2,223","7,630"
2021년05월_계_10~19세,"24,399","2,505",305,360,841,520,266,"6,966",745,"2,633","3,419","5,839"
2021년05월_계_20~29세,"27,791","3,242",646,813,"1,268","1,095",565,"5,455","1,510","3,448","3,858","5,891"
2021년05월_계_30~39세,"28,624","2,292",456,762,"1,130","1,083",443,"5,257","1,198","2,897","3,012","10,094"
2021년05월_계_40~49세,"40,059","3,868",654,780,"1,639","1,143",609,"10,123","1,353","4,278","4,933","10,679"
2021년05월_계_50~59세,"38,860","5,149","1,245","1,210","2,473","1,788","1,045","7,537","1,771","5,424","4,662","6,556"
2021년05월_계_60~69세,"30,320","4,380","1,368","1,426","2,247","2,274","1,101","5,290","1,382","3,804","2,577","4,471"
2021년05월_계_70~79세,"16,440","2,268",656,688,"1,066","1,310",671,"3,342",727,"1,872","1,648","2,192"
2021년05월_계_80~89세,"7,450","1,138",325,365,532,657,339,"1,320",339,782,928,725
2021년05월_계_90~99세,"1,075",155,56,73,78,147,45,179,46,85,104,107
2021년05월_계_100세 이상,47,6,0,2,1,5,1,7,13,0,6,6
2021년05월_남_총인구수,"119,349","13,313","3,334","3,841","6,423","5,393","2,792","24,511","5,118","13,777","13,554","27,293"
2021년05월_남_연령구간인구수,"119,349","13,313","3,334","3,841","6,423","5,393","2,792","24,511","5,118","13,777","13,554","27,293"
2021년05월_남_0~9세,"10,301",634,76,177,305,263,101,"2,366",314,997,"1,143","3,925"
2021년05월_남_10~19세,"12,426","1,292",167,181,459,289,148,"3,502",394,"1,364","1,748","2,882"
2021년05월_남_20~29세,"14,899","1,766",387,528,743,661,320,"2,769",867,"1,822","2,022","3,014"
2021년05월_남_30~39세,"14,769","1,253",291,463,636,599,251,"2,544",656,"1,541","1,499","5,036"
2021년05월_남_40~49세,"20,645","1,971",410,477,932,619,351,"4,972",728,"2,217","2,433","5,535"
2021년05월_남_50~59세,"20,374","2,689",765,717,"1,378",895,544,"3,930",955,"2,770","2,396","3,335"
2021년05월_남_60~69세,"15,219","2,223",767,808,"1,227","1,124",624,"2,353",718,"1,935","1,251","2,189"
2021년05월_남_70~79세,"7,664","1,056",341,340,518,652,311,"1,517",338,828,661,"1,102"
2021년05월_남_80~89세,"2,811",403,118,135,206,260,134,512,134,285,367,257
2021년05월_남_90~99세,231,26,12,15,19,29,8,46,11,18,29,18
2021년05월_남_100세 이상,10,0,0,0,0,2,0,0,3,0,5,0
2021년05월_여_총인구수,"115,927","12,999","2,520","3,011","5,456","5,125","2,494","25,646","4,601","13,362","13,816","26,897"
2021년05월_여_연령구간인구수,"115,927","12,999","2,520","3,011","5,456","5,125","2,494","25,646","4,601","13,362","13,816","26,897"
2021년05월_여_0~9세,"9,910",675,67,196,299,233,100,"2,315",321,919,"1,080","3,705"
2021년05월_여_10~19세,"11,973","1,213",138,179,382,231,118,"3,464",351,"1,269","1,671","2,957"
2021년05월_여_20~29세,"12,892","1,476",259,285,525,434,245,"2,686",643,"1,626","1,836","2,877"
2021년05월_여_30~39세,"13,855","1,039",165,299,494,484,192,"2,713",542,"1,356","1,513","5,058"
2021년05월_여_40~49세,"19,414","1,897",244,303,707,524,258,"5,151",625,"2,061","2,500","5,144"
2021년05월_여_50~59세,"18,486","2,460",480,493,"1,095",893,501,"3,607",816,"2,654","2,266","3,221"
2021년05월_여_60~69세,"15,101","2,157",601,618,"1,020","1,150",477,"2,937",664,"1,869","1,326","2,282"
2021년05월_여_70~79세,"8,776","1,212",315,348,548,658,360,"1,825",389,"1,044",987,"1,090"
2021년05월_여_80~89세,"4,639",735,207,230,326,397,205,808,205,497,561,468
2021년05월_여_90~99세,844,129,44,58,59,118,37,133,35,67,75,89
2021년05월_여_100세 이상,37,6,0,2,1,3,1,7,10,0,1,6
