,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년08월_계_총인구수,"267,935","27,460","35,692","20,661","5,753","5,488","3,306","3,711","2,943","9,743","6,412","19,967","35,794","35,880","16,203","38,922"
2021년08월_계_연령구간인구수,"267,935","27,460","35,692","20,661","5,753","5,488","3,306","3,711","2,943","9,743","6,412","19,967","35,794","35,880","16,203","38,922"
2021년08월_계_0~9세,"19,961","1,866","2,226","2,211",137,135,65,118,78,516,200,"1,911","2,597","3,848",955,"3,098"
2021년08월_계_10~19세,"22,938","2,875","3,306","1,181",247,248,103,155,98,573,380,"2,005","3,866","2,913",777,"4,211"
2021년08월_계_20~29세,"36,495","4,126","5,330","3,097",460,441,203,245,235,"1,491",950,"2,021","4,326","4,475","3,755","5,340"
2021년08월_계_30~39세,"33,179","2,877","3,833","3,976",441,387,193,213,180,"1,157",673,"2,517","3,803","5,381","2,780","4,768"
2021년08월_계_40~49세,"41,656","4,344","6,033","3,025",584,579,267,360,264,"1,225",768,"3,548","6,091","5,661","2,178","6,729"
2021년08월_계_50~59세,"45,650","4,494","6,957","2,793","1,141",984,571,678,567,"1,861","1,248","3,011","6,161","6,073","2,458","6,653"
2021년08월_계_60~69세,"37,070","3,476","4,339","2,409","1,399","1,356",867,911,712,"1,758","1,158","2,686","5,009","4,353","1,899","4,738"
2021년08월_계_70~79세,"20,005","2,194","2,337","1,238",815,839,614,587,508,797,645,"1,533","2,599","2,167",935,"2,197"
2021년08월_계_80~89세,"9,743","1,090","1,195",645,470,459,371,379,253,328,355,648,"1,189",904,411,"1,046"
2021년08월_계_90~99세,"1,204",113,133,83,58,57,52,62,45,37,34,86,149,102,55,138
2021년08월_계_100세 이상,34,5,3,3,1,3,0,3,3,0,1,1,4,3,0,4
2021년08월_남_총인구수,"134,763","13,819","18,628","10,995","3,082","2,796","1,741","1,925","1,519","4,715","3,181","9,841","17,025","17,224","8,837","19,435"
2021년08월_남_연령구간인구수,"134,763","13,819","18,628","10,995","3,082","2,796","1,741","1,925","1,519","4,715","3,181","9,841","17,025","17,224","8,837","19,435"
2021년08월_남_0~9세,"10,137",963,"1,157","1,161",71,73,30,58,46,267,110,961,"1,237","1,888",511,"1,604"
2021년08월_남_10~19세,"11,886","1,536","1,662",633,130,129,52,77,52,292,205,"1,100","1,892","1,449",415,"2,262"
2021년08월_남_20~29세,"19,907","2,302","3,060","1,717",285,250,129,154,147,748,519,"1,085","2,226","2,352","2,049","2,884"
2021년08월_남_30~39세,"17,853","1,575","2,182","2,266",251,233,122,127,109,610,389,"1,292","1,840","2,671","1,700","2,486"
2021년08월_남_40~49세,"21,372","2,126","3,160","1,761",369,361,171,212,154,600,397,"1,781","2,949","2,730","1,275","3,326"
2021년08월_남_50~59세,"22,867","2,288","3,717","1,427",646,502,329,377,319,871,625,"1,464","2,940","2,777","1,320","3,265"
2021년08월_남_60~69세,"18,163","1,695","2,244","1,216",749,710,480,502,353,842,565,"1,228","2,361","2,010",939,"2,269"
2021년08월_남_70~79세,"8,942",925,"1,012",576,409,385,296,290,245,371,256,669,"1,107",972,468,961
2021년08월_남_80~89세,"3,362",384,397,219,160,145,121,116,81,107,106,242,439,344,149,352
2021년08월_남_90~99세,268,24,37,19,11,8,11,12,11,7,9,19,34,30,11,25
2021년08월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년08월_여_총인구수,"133,172","13,641","17,064","9,666","2,671","2,692","1,565","1,786","1,424","5,028","3,231","10,126","18,769","18,656","7,366","19,487"
2021년08월_여_연령구간인구수,"133,172","13,641","17,064","9,666","2,671","2,692","1,565","1,786","1,424","5,028","3,231","10,126","18,769","18,656","7,366","19,487"
2021년08월_여_0~9세,"9,824",903,"1,069","1,050",66,62,35,60,32,249,90,950,"1,360","1,960",444,"1,494"
2021년08월_여_10~19세,"11,052","1,339","1,644",548,117,119,51,78,46,281,175,905,"1,974","1,464",362,"1,949"
2021년08월_여_20~29세,"16,588","1,824","2,270","1,380",175,191,74,91,88,743,431,936,"2,100","2,123","1,706","2,456"
2021년08월_여_30~39세,"15,326","1,302","1,651","1,710",190,154,71,86,71,547,284,"1,225","1,963","2,710","1,080","2,282"
2021년08월_여_40~49세,"20,284","2,218","2,873","1,264",215,218,96,148,110,625,371,"1,767","3,142","2,931",903,"3,403"
2021년08월_여_50~59세,"22,783","2,206","3,240","1,366",495,482,242,301,248,990,623,"1,547","3,221","3,296","1,138","3,388"
2021년08월_여_60~69세,"18,907","1,781","2,095","1,193",650,646,387,409,359,916,593,"1,458","2,648","2,343",960,"2,469"
2021년08월_여_70~79세,"11,063","1,269","1,325",662,406,454,318,297,263,426,389,864,"1,492","1,195",467,"1,236"
2021년08월_여_80~89세,"6,381",706,798,426,310,314,250,263,172,221,249,406,750,560,262,694
2021년08월_여_90~99세,936,89,96,64,47,49,41,50,34,30,25,67,115,72,44,113
2021년08월_여_100세 이상,28,4,3,3,0,3,0,3,1,0,1,1,4,2,0,3
