,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년07월_계_총인구수,"141,226","6,578","7,145","4,297","52,096","30,350","2,370","34,493","3,897"
2021년07월_계_연령구간인구수,"141,226","6,578","7,145","4,297","52,096","30,350","2,370","34,493","3,897"
2021년07월_계_0~9세,"19,881",180,483,81,"9,652","4,977",47,"4,339",122
2021년07월_계_10~19세,"12,481",271,473,132,"4,453","4,338",67,"2,602",145
2021년07월_계_20~29세,"12,681",615,847,337,"4,523","2,423",185,"3,434",317
2021년07월_계_30~39세,"27,145",580,887,344,"13,097","4,719",181,"6,984",353
2021년07월_계_40~49세,"25,060",659,901,335,"9,513","6,810",196,"6,197",449
2021년07월_계_50~59세,"16,987","1,186","1,075",834,"4,775","3,356",449,"4,537",775
2021년07월_계_60~69세,"16,720","1,665","1,365","1,316","4,085","2,536",618,"4,139",996
2021년07월_계_70~79세,"7,016",964,717,610,"1,415",861,399,"1,578",472
2021년07월_계_80~89세,"2,784",404,339,259,498,281,189,591,223
2021년07월_계_90~99세,446,52,56,46,76,48,36,91,41
2021년07월_계_100세 이상,25,2,2,3,9,1,3,1,4
2021년07월_남_총인구수,"73,100","3,625","4,004","2,295","26,173","15,146","1,259","18,554","2,044"
2021년07월_남_연령구간인구수,"73,100","3,625","4,004","2,295","26,173","15,146","1,259","18,554","2,044"
2021년07월_남_0~9세,"10,268",87,261,45,"4,923","2,594",20,"2,272",66
2021년07월_남_10~19세,"6,346",143,253,67,"2,172","2,220",41,"1,379",71
2021년07월_남_20~29세,"6,905",369,562,216,"2,251","1,249",111,"1,948",199
2021년07월_남_30~39세,"13,853",338,519,204,"6,462","2,125",109,"3,876",220
2021년07월_남_40~49세,"13,955",414,549,212,"5,230","3,480",123,"3,682",265
2021년07월_남_50~59세,"8,761",679,616,452,"2,275","1,713",253,"2,374",399
2021년07월_남_60~69세,"8,470",929,746,719,"1,958","1,220",322,"2,072",504
2021년07월_남_70~79세,"3,499",500,363,289,719,432,208,748,240
2021년07월_남_80~89세,959,156,128,81,168,100,64,188,74
2021년07월_남_90~99세,78,10,6,9,12,12,8,15,6
2021년07월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년07월_여_총인구수,"68,126","2,953","3,141","2,002","25,923","15,204","1,111","15,939","1,853"
2021년07월_여_연령구간인구수,"68,126","2,953","3,141","2,002","25,923","15,204","1,111","15,939","1,853"
2021년07월_여_0~9세,"9,613",93,222,36,"4,729","2,383",27,"2,067",56
2021년07월_여_10~19세,"6,135",128,220,65,"2,281","2,118",26,"1,223",74
2021년07월_여_20~29세,"5,776",246,285,121,"2,272","1,174",74,"1,486",118
2021년07월_여_30~39세,"13,292",242,368,140,"6,635","2,594",72,"3,108",133
2021년07월_여_40~49세,"11,105",245,352,123,"4,283","3,330",73,"2,515",184
2021년07월_여_50~59세,"8,226",507,459,382,"2,500","1,643",196,"2,163",376
2021년07월_여_60~69세,"8,250",736,619,597,"2,127","1,316",296,"2,067",492
2021년07월_여_70~79세,"3,517",464,354,321,696,429,191,830,232
2021년07월_여_80~89세,"1,825",248,211,178,330,181,125,403,149
2021년07월_여_90~99세,368,42,50,37,64,36,28,76,35
2021년07월_여_100세 이상,19,2,1,2,6,0,3,1,4
