카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년02월_계_총인구수,"226,900","36,019","19,755","59,250","31,547","16,255","64,074"
2020년02월_계_연령구간인구수,"226,900","36,019","19,755","59,250","31,547","16,255","64,074"
2020년02월_계_0~9세,"24,941","4,206",977,"7,447","4,184","1,520","6,607"
2020년02월_계_10~19세,"24,888","4,309","1,231","6,666","3,242","2,033","7,407"
2020년02월_계_20~29세,"30,559","4,462","3,656","6,782","4,053","2,195","9,411"
2020년02월_계_30~39세,"39,752","5,830","4,849","10,055","6,128","2,529","10,361"
2020년02월_계_40~49세,"42,358","6,730","3,570","11,000","5,892","3,112","12,054"
2020년02월_계_50~59세,"32,471","5,300","2,746","8,231","4,141","2,444","9,609"
2020년02월_계_60~69세,"18,316","2,903","1,610","5,171","2,407","1,339","4,886"
2020년02월_계_70~79세,"9,364","1,534",785,"2,654","1,037",718,"2,636"
2020년02월_계_80~89세,"3,757",654,293,"1,109",393,335,973
2020년02월_계_90~99세,449,84,32,122,64,25,122
2020년02월_계_100세 이상,45,7,6,13,6,5,8
2020년02월_남_총인구수,"117,239","18,041","11,559","29,894","16,246","8,370","33,129"
2020년02월_남_연령구간인구수,"117,239","18,041","11,559","29,894","16,246","8,370","33,129"
2020년02월_남_0~9세,"12,752","2,150",495,"3,801","2,142",795,"3,369"
2020년02월_남_10~19세,"12,785","2,133",642,"3,366","1,681","1,053","3,910"
2020년02월_남_20~29세,"16,455","2,338","2,072","3,589","2,156","1,187","5,113"
2020년02월_남_30~39세,"21,333","2,973","3,093","5,177","3,221","1,368","5,501"
2020년02월_남_40~49세,"22,438","3,414","2,200","5,811","3,103","1,604","6,306"
2020년02월_남_50~59세,"16,857","2,709","1,699","4,083","2,080","1,281","5,005"
2020년02월_남_60~69세,"9,018","1,424",860,"2,484","1,202",644,"2,404"
2020년02월_남_70~79세,"4,138",642,374,"1,177",508,313,"1,124"
2020년02월_남_80~89세,"1,352",239,116,375,140,117,365
2020년02월_남_90~99세,98,16,6,28,12,5,31
2020년02월_남_100세 이상,13,3,2,3,1,3,1
2020년02월_여_총인구수,"109,661","17,978","8,196","29,356","15,301","7,885","30,945"
2020년02월_여_연령구간인구수,"109,661","17,978","8,196","29,356","15,301","7,885","30,945"
2020년02월_여_0~9세,"12,189","2,056",482,"3,646","2,042",725,"3,238"
2020년02월_여_10~19세,"12,103","2,176",589,"3,300","1,561",980,"3,497"
2020년02월_여_20~29세,"14,104","2,124","1,584","3,193","1,897","1,008","4,298"
2020년02월_여_30~39세,"18,419","2,857","1,756","4,878","2,907","1,161","4,860"
2020년02월_여_40~49세,"19,920","3,316","1,370","5,189","2,789","1,508","5,748"
2020년02월_여_50~59세,"15,614","2,591","1,047","4,148","2,061","1,163","4,604"
2020년02월_여_60~69세,"9,298","1,479",750,"2,687","1,205",695,"2,482"
2020년02월_여_70~79세,"5,226",892,411,"1,477",529,405,"1,512"
2020년02월_여_80~89세,"2,405",415,177,734,253,218,608
2020년02월_여_90~99세,351,68,26,94,52,20,91
2020년02월_여_100세 이상,32,4,4,10,5,2,7
