카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년04월_계_총인구수,"254,225","5,576","25,524","9,614","19,016","4,368","6,293","4,815","3,283","3,273","21,976","6,458","5,686","5,460","6,791","14,265","4,983","15,076","5,973","21,577","29,410","23,244","9,744","1,820"
2020년04월_계_연령구간인구수,"254,225","5,576","25,524","9,614","19,016","4,368","6,293","4,815","3,283","3,273","21,976","6,458","5,686","5,460","6,791","14,265","4,983","15,076","5,973","21,577","29,410","23,244","9,744","1,820"
2020년04월_계_0~9세,"16,697",158,"1,295",381,"1,046",244,301,101,54,71,"2,451",202,260,214,205,484,103,"1,239",370,"2,668","2,739","1,373",673,65
2020년04월_계_10~19세,"21,499",218,"2,163",504,"1,103",206,335,219,94,140,"2,511",366,362,328,359,914,217,"1,777",349,"2,434","3,852","2,365",588,95
2020년04월_계_20~29세,"27,380",397,"2,549",781,"1,875",451,609,294,153,197,"2,375",540,535,590,679,"2,059",370,"1,928",505,"2,466","3,821","3,161",864,181
2020년04월_계_30~39세,"26,099",351,"1,927",709,"2,110",498,510,269,144,166,"3,143",432,586,550,583,"1,367",333,"1,568",550,"3,067","3,413","2,469","1,215",139
2020년04월_계_40~49세,"37,466",649,"3,491","1,081","2,580",416,751,441,208,337,"3,879",775,706,686,807,"1,882",535,"2,646",777,"3,879","5,502","3,919","1,301",218
2020년04월_계_50~59세,"46,902","1,051","5,159","1,759","3,883",656,"1,321",930,621,580,"3,505","1,299","1,067",945,"1,239","2,453",898,"2,757","1,042","3,669","5,404","4,559","1,766",339
2020년04월_계_60~69세,"39,596","1,227","4,300","2,022","3,356",807,"1,265","1,112",930,750,"2,281","1,304","1,015","1,049","1,436","2,665","1,087","1,710","1,118","2,029","2,862","3,209","1,679",383
2020년04월_계_70~79세,"24,110",946,"2,887","1,438","1,845",599,743,817,658,644,"1,139",892,732,729,993,"1,731",863,908,782,866,"1,135","1,493","1,009",261
2020년04월_계_80~89세,"12,732",507,"1,573",828,"1,067",428,381,568,361,352,612,568,375,331,420,630,508,482,417,429,597,627,557,114
2020년04월_계_90~99세,"1,653",70,169,103,145,60,75,61,57,34,78,78,46,30,60,78,61,60,62,66,83,68,86,23
2020년04월_계_100세 이상,91,2,11,8,6,3,2,3,3,2,2,2,2,8,10,2,8,1,1,4,2,1,6,2
2020년04월_남_총인구수,"127,374","2,790","12,723","4,878","10,059","2,277","3,347","2,418","1,623","1,637","10,858","3,294","2,952","2,724","3,284","7,084","2,444","7,567","2,972","10,600","14,510","11,619","4,812",902
2020년04월_남_연령구간인구수,"127,374","2,790","12,723","4,878","10,059","2,277","3,347","2,418","1,623","1,637","10,858","3,294","2,952","2,724","3,284","7,084","2,444","7,567","2,972","10,600","14,510","11,619","4,812",902
2020년04월_남_0~9세,"8,537",86,677,194,523,123,158,52,30,39,"1,269",93,137,104,91,264,52,629,193,"1,355","1,396",693,349,30
2020년04월_남_10~19세,"11,254",115,"1,087",282,585,130,179,108,47,92,"1,269",192,189,183,196,469,104,956,190,"1,227","2,066","1,241",307,40
2020년04월_남_20~29세,"15,515",242,"1,481",494,"1,125",272,400,179,94,114,"1,279",315,292,334,370,"1,168",214,"1,085",313,"1,352","2,086","1,774",445,87
2020년04월_남_30~39세,"13,864",206,"1,028",418,"1,235",303,303,174,78,89,"1,553",258,336,303,336,802,191,783,272,"1,497","1,647","1,316",653,83
2020년04월_남_40~49세,"19,605",413,"1,823",627,"1,575",270,447,255,120,208,"1,920",457,407,390,458,"1,018",309,"1,283",424,"1,916","2,539","1,926",704,116
2020년04월_남_50~59세,"24,207",569,"2,699",938,"2,112",390,742,526,317,322,"1,740",718,581,489,629,"1,183",501,"1,414",557,"1,757","2,688","2,239",910,186
2020년04월_남_60~69세,"19,435",601,"2,124",998,"1,726",410,646,569,491,363,"1,126",665,526,468,631,"1,176",540,845,526,"1,021","1,433","1,550",808,192
2020년04월_남_70~79세,"10,624",379,"1,272",612,855,251,334,372,314,285,512,410,346,328,414,755,363,396,352,347,490,666,446,125
2020년04월_남_80~89세,"3,982",166,496,293,293,121,125,168,120,119,183,165,126,118,143,231,153,162,127,114,154,197,172,36
2020년04월_남_90~99세,329,13,34,21,27,6,13,14,11,5,6,21,12,4,14,17,14,14,18,14,11,16,18,6
2020년04월_남_100세 이상,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1
2020년04월_여_총인구수,"126,851","2,786","12,801","4,736","8,957","2,091","2,946","2,397","1,660","1,636","11,118","3,164","2,734","2,736","3,507","7,181","2,539","7,509","3,001","10,977","14,900","11,625","4,932",918
2020년04월_여_연령구간인구수,"126,851","2,786","12,801","4,736","8,957","2,091","2,946","2,397","1,660","1,636","11,118","3,164","2,734","2,736","3,507","7,181","2,539","7,509","3,001","10,977","14,900","11,625","4,932",918
2020년04월_여_0~9세,"8,160",72,618,187,523,121,143,49,24,32,"1,182",109,123,110,114,220,51,610,177,"1,313","1,343",680,324,35
