,세종특별자치시,세종특별자치시 세종특별자치시
2021년03월_계_총인구수,"360,462","360,462"
2021년03월_계_연령구간인구수,"360,462","360,462"
2021년03월_계_0~9세,"47,300","47,300"
2021년03월_계_10~19세,"43,522","43,522"
2021년03월_계_20~29세,"37,866","37,866"
2021년03월_계_30~39세,"61,515","61,515"
2021년03월_계_40~49세,"70,075","70,075"
2021년03월_계_50~59세,"45,953","45,953"
2021년03월_계_60~69세,"31,270","31,270"
2021년03월_계_70~79세,"14,451","14,451"
2021년03월_계_80~89세,"7,245","7,245"
2021년03월_계_90~99세,"1,228","1,228"
2021년03월_계_100세 이상,37,37
2021년03월_남_총인구수,"180,030","180,030"
2021년03월_남_연령구간인구수,"180,030","180,030"
2021년03월_남_0~9세,"24,191","24,191"
2021년03월_남_10~19세,"21,879","21,879"
2021년03월_남_20~29세,"19,340","19,340"
2021년03월_남_30~39세,"30,060","30,060"
2021년03월_남_40~49세,"35,685","35,685"
2021년03월_남_50~59세,"23,984","23,984"
2021년03월_남_60~69세,"15,478","15,478"
2021년03월_남_70~79세,"6,688","6,688"
2021년03월_남_80~89세,"2,455","2,455"
2021년03월_남_90~99세,263,263
2021년03월_남_100세 이상,7,7
2021년03월_여_총인구수,"180,432","180,432"
2021년03월_여_연령구간인구수,"180,432","180,432"
2021년03월_여_0~9세,"23,109","23,109"
2021년03월_여_10~19세,"21,643","21,643"
2021년03월_여_20~29세,"18,526","18,526"
2021년03월_여_30~39세,"31,455","31,455"
2021년03월_여_40~49세,"34,390","34,390"
2021년03월_여_50~59세,"21,969","21,969"
2021년03월_여_60~69세,"15,792","15,792"
2021년03월_여_70~79세,"7,763","7,763"
2021년03월_여_80~89세,"4,790","4,790"
2021년03월_여_90~99세,965,965
2021년03월_여_100세 이상,30,30
