,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년01월_계_총인구수,"1,135,370","217,191","319,780","156,596","219,175","222,628"
2021년01월_계_연령구간인구수,"1,135,370","217,191","319,780","156,596","219,175","222,628"
2021년01월_계_0~9세,"97,748","16,475","23,689","14,761","25,143","17,680"
2021년01월_계_10~19세,"112,239","20,097","30,484","15,622","23,643","22,393"
2021년01월_계_20~29세,"144,200","26,670","45,637","17,672","27,684","26,537"
2021년01월_계_30~39세,"151,063","26,222","42,107","22,856","34,144","25,734"
2021년01월_계_40~49세,"187,557","34,148","51,480","26,042","38,694","37,193"
2021년01월_계_50~59세,"209,208","41,252","61,715","25,567","38,730","41,944"
2021년01월_계_60~69세,"146,754","32,097","41,739","22,859","20,181","29,878"
2021년01월_계_70~79세,"60,475","14,343","16,552","8,342","7,462","13,776"
2021년01월_계_80~89세,"22,857","5,201","5,658","2,488","3,032","6,478"
2021년01월_계_90~99세,"3,093",627,685,359,441,981
2021년01월_계_100세 이상,176,59,34,28,21,34
2021년01월_남_총인구수,"583,402","109,997","163,120","81,834","113,499","114,952"
2021년01월_남_연령구간인구수,"583,402","109,997","163,120","81,834","113,499","114,952"
2021년01월_남_0~9세,"50,226","8,502","12,187","7,553","12,907","9,077"
2021년01월_남_10~19세,"59,084","10,731","16,155","8,250","12,305","11,643"
2021년01월_남_20~29세,"80,996","14,846","25,431","9,951","15,687","15,081"
2021년01월_남_30~39세,"80,190","13,753","22,430","12,549","17,769","13,689"
2021년01월_남_40~49세,"95,574","17,430","25,152","14,172","19,821","18,999"
2021년01월_남_50~59세,"106,431","20,546","30,996","12,693","19,965","22,231"
2021년01월_남_60~69세,"73,981","15,646","20,753","11,519","10,600","15,463"
2021년01월_남_70~79세,"28,757","6,597","7,912","4,265","3,482","6,501"
2021년01월_남_80~89세,"7,589","1,826","1,970",827,895,"2,071"
2021년01월_남_90~99세,538,107,126,50,63,192
2021년01월_남_100세 이상,36,13,8,5,5,5
2021년01월_여_총인구수,"551,968","107,194","156,660","74,762","105,676","107,676"
2021년01월_여_연령구간인구수,"551,968","107,194","156,660","74,762","105,676","107,676"
2021년01월_여_0~9세,"47,522","7,973","11,502","7,208","12,236","8,603"
2021년01월_여_10~19세,"53,155","9,366","14,329","7,372","11,338","10,750"
2021년01월_여_20~29세,"63,204","11,824","20,206","7,721","11,997","11,456"
2021년01월_여_30~39세,"70,873","12,469","19,677","10,307","16,375","12,045"
2021년01월_여_40~49세,"91,983","16,718","26,328","11,870","18,873","18,194"
2021년01월_여_50~59세,"102,777","20,706","30,719","12,874","18,765","19,713"
2021년01월_여_60~69세,"72,773","16,451","20,986","11,340","9,581","14,415"
2021년01월_여_70~79세,"31,718","7,746","8,640","4,077","3,980","7,275"
2021년01월_여_80~89세,"15,268","3,375","3,688","1,661","2,137","4,407"
2021년01월_여_90~99세,"2,555",520,559,309,378,789
2021년01월_여_100세 이상,140,46,26,23,16,29
