카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년11월_계_총인구수,"13,557,973","1,184,683","274,107","364,164","182,390","364,022","931,063","236,076","211,658","483,329","463,706","546,753","238,809","307,944","807,090","293,763","561,770","93,528","653,687","351,387","302,300","1,079,722","482,459","299,297","297,966","71,234","192,461","731,497","230,165","512,155","269,086","163,555","318,126","1,078,604","260,487","442,323","375,794","481,629","223,831","189,559","486,123","884,225","386,573","236,302","148,738","112,199","42,739","62,253","121,154"
2021년11월_계_연령구간인구수,"13,557,973","1,184,683","274,107","364,164","182,390","364,022","931,063","236,076","211,658","483,329","463,706","546,753","238,809","307,944","807,090","293,763","561,770","93,528","653,687","351,387","302,300","1,079,722","482,459","299,297","297,966","71,234","192,461","731,497","230,165","512,155","269,086","163,555","318,126","1,078,604","260,487","442,323","375,794","481,629","223,831","189,559","486,123","884,225","386,573","236,302","148,738","112,199","42,739","62,253","121,154"
2021년11월_계_0~9세,"1,103,092","91,576","17,580","29,976","10,037","33,983","65,796","14,956","12,325","38,515","33,099","37,834","14,906","22,928","53,294","21,931","49,969","5,853","42,019","22,029","19,990","78,294","37,275","19,926","21,093","6,199","14,094","63,376","21,870","47,767","18,794","12,649","32,573","95,148","20,048","40,084","35,016","43,450","18,027","13,193","53,873","101,557","33,292","19,736","8,113","6,885","2,555","3,164","7,112"
2021년11월_계_10~19세,"1,322,710","115,660","27,923","32,548","13,731","41,458","85,646","16,870","15,706","53,070","41,710","50,915","18,192","32,723","68,083","29,668","54,113","8,410","61,520","33,271","28,249","102,560","41,194","28,788","32,578","6,829","17,346","78,218","24,897","50,289","25,570","14,132","28,117","120,837","25,060","50,528","45,249","50,154","22,736","17,836","49,842","100,678","34,078","24,283","11,810","9,449","3,044","4,486","9,794"
2021년11월_계_20~29세,"1,802,051","184,806","43,656","52,991","30,387","57,772","128,017","33,760","30,072","64,185","64,376","75,118","33,689","41,429","112,733","36,969","77,469","11,039","105,843","58,118","47,725","146,931","61,959","43,881","41,091","9,499","26,044","86,248","31,265","69,249","36,962","22,802","38,309","138,332","34,807","57,318","46,207","59,328","31,493","23,178","52,537","108,910","44,945","27,738","18,053","11,992","5,125","6,127","10,614"
2021년11월_계_30~39세,"1,899,719","177,353","33,031","56,492","27,018","60,812","135,165","35,024","30,783","69,358","60,092","77,053","33,231","43,822","112,615","40,142","85,834","9,993","85,300","43,966","41,334","142,630","68,801","38,286","35,543","10,261","25,203","89,997","37,425","77,950","37,186","22,898","53,286","140,885","33,423","57,349","50,113","68,389","30,945","22,770","75,375","151,040","55,678","28,193","14,610","11,137","4,096","5,520","10,698"
2021년11월_계_40~49세,"2,293,799","199,400","44,261","60,460","27,516","67,163","153,069","36,263","31,695","85,111","73,674","85,643","34,315","51,328","125,436","49,927","97,032","13,818","104,151","55,630","48,521","177,719","78,314","49,699","49,706","10,611","31,472","131,812","43,876","92,416","42,626","24,072","56,868","197,533","43,440","82,559","71,534","82,572","35,029","30,121","92,066","170,968","67,685","39,862","19,779","15,767","4,734","7,763","16,298"
2021년11월_계_50~59세,"2,270,910","197,347","49,264","61,523","31,126","55,434","155,206","40,054","36,884","78,268","81,094","95,986","42,794","53,192","144,952","49,097","90,869","16,439","128,076","69,291","58,785","196,940","83,968","56,523","56,449","12,349","34,848","121,950","34,020","89,972","47,529","29,325","45,350","171,226","44,085","69,756","57,385","76,693","35,635","31,942","69,137","122,098","65,143","39,489","29,242","20,050","6,951","11,106","20,849"
2021년11월_계_60~69세,"1,663,383","130,841","33,319","43,333","24,469","29,720","120,140","34,800","32,122","53,218","61,434","75,261","36,674","38,587","118,321","39,420","60,699","14,064","78,867","41,947","36,920","132,610","62,283","35,889","34,438","8,993","26,020","90,498","21,924","53,198","36,037","23,257","38,839","113,778","34,290","44,067","35,421","54,594","28,633","27,686","53,616","78,061","52,373","31,459","26,849","20,168","7,973","12,968","24,802"
2021년11월_계_70~79세,"772,918","56,835","15,760","17,631","11,986","11,458","57,585","16,851","15,179","25,555","31,254","31,945","16,612","15,333","47,405","17,642","28,802","8,557","30,212","16,942","13,270","61,460","30,346","15,439","15,675","3,997","11,548","46,032","9,951","20,126","15,124","9,174","17,249","65,904","16,203","26,479","23,222","28,850","13,180","13,832","26,549","33,044","22,847","16,549","12,315","10,165","4,849","6,727","13,209"
2021년11월_계_80~89세,"372,378","26,658","7,962","7,994","5,370","5,332","26,078","6,584","5,997","13,497","14,965","14,654","7,331","7,323","20,877","7,804","14,894","4,735","15,332","8,821","6,511","35,257","16,040","9,342","9,875","2,096","5,165","20,328","4,360","9,618","7,974","4,463","6,383","30,370","7,870","12,331","10,169","15,312","7,136","7,854","11,379","15,598","9,177","7,838","6,922","5,669","2,968","3,835","6,679"
2021년11월_계_90~99세,"54,952","4,029","1,298","1,167",706,858,"4,202",867,856,"2,479","1,953","2,258","1,024","1,234","3,222","1,127","2,018",598,"2,269","1,318",951,"5,159","2,201","1,486","1,472",390,671,"2,908",556,"1,509","1,237",762,"1,107","4,445","1,227","1,788","1,430","2,217",983,"1,114","1,695","2,204","1,306","1,119","1,008",889,419,521,"1,057"
2021년11월_계_100세 이상,"2,061",178,53,49,44,32,159,47,39,73,55,86,41,45,152,36,71,22,98,54,44,162,78,38,46,10,50,130,21,61,47,21,45,146,34,64,48,70,34,33,54,67,49,36,37,28,25,36,42
2021년11월_남_총인구수,"6,823,931","596,491","138,058","183,962","91,937","182,534","461,205","119,554","107,220","234,431","228,555","270,290","119,538","150,752","399,933","144,827","292,554","46,672","335,229","179,326","155,903","528,390","238,233","145,579","144,578","35,058","95,429","363,970","119,461","267,503","133,458","81,252","159,264","535,053","133,624","218,341","183,088","244,290","116,100","97,874","243,279","459,514","197,285","119,796","78,786","57,044","22,405","32,147","60,817"
2021년11월_남_연령구간인구수,"6,823,931","596,491","138,058","183,962","91,937","182,534","461,205","119,554","107,220","234,431","228,555","270,290","119,538","150,752","399,933","144,827","292,554","46,672","335,229","179,326","155,903","528,390","238,233","145,579","144,578","35,058","95,429","363,970","119,461","267,503","133,458","81,252","159,264","535,053","133,624","218,341","183,088","244,290","116,100","97,874","243,279","459,514","197,285","119,796","78,786","57,044","22,405","32,147","60,817"
2021년11월_남_0~9세,"564,452","47,140","9,000","15,436","5,084","17,620","33,611","7,569","6,285","19,757","17,130","19,247","7,552","11,695","27,433","11,166","25,405","3,012","21,494","11,258","10,236","39,945","19,030","10,236","10,679","3,243","7,262","32,566","11,166","24,254","9,598","6,536","16,721","48,630","10,262","20,544","17,824","22,157","9,301","6,808","27,461","51,813","17,043","10,064","4,165","3,557","1,298","1,586","3,640"
2021년11월_남_10~19세,"679,038","59,714","14,510","16,879","7,037","21,288","43,900","8,633","8,113","27,154","21,522","26,402","9,491","16,911","34,877","15,301","27,870","4,231","31,670","17,051","14,619","52,442","21,068","14,755","16,619","3,490","8,901","40,249","12,739","25,771","13,262","7,268","14,166","61,846","12,996","25,913","22,937","25,695","11,814","9,254","25,407","51,364","17,385","12,362","6,187","4,861","1,607","2,336","5,145"
2021년11월_남_20~29세,"950,070","97,086","23,914","27,679","15,583","29,910","65,673","17,757","15,587","32,329","32,620","38,865","17,575","21,290","58,154","19,250","42,955","5,975","56,282","30,934","25,348","75,222","31,994","22,090","21,138","5,010","13,393","44,902","16,961","37,654","19,231","11,972","19,226","72,123","18,940","29,953","23,230","31,863","17,947","12,845","27,060","59,216","23,908","14,901","10,450","6,554","3,279","3,565","5,928"
2021년11월_남_30~39세,"982,766","92,988","17,427","29,802","14,732","31,027","69,017","18,777","16,675","33,565","30,748","39,670","17,578","22,092","57,977","20,440","47,281","5,233","46,561","23,874","22,687","71,074","34,678","18,900","17,496","5,110","12,710","44,437","20,384","41,717","19,406","11,768","26,894","69,804","17,836","28,109","23,859","35,997","16,682","12,471","36,965","79,162","28,883","14,553","8,194","5,872","2,332","3,022","5,414"
2021년11월_남_40~49세,"1,167,100","100,404","21,915","31,263","14,266","32,960","75,352","19,116","16,634","39,602","37,066","42,133","17,677","24,456","63,257","24,589","52,021","7,115","53,499","28,443","25,056","86,088","39,229","23,546","23,313","5,187","15,752","66,019","23,370","49,936","21,085","11,990","29,604","97,317","22,851","40,320","34,146","42,327","18,168","16,118","47,781","90,798","35,756","20,525","10,638","8,164","2,583","4,191","8,267"
