카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년02월_계_총인구수,"42,648","6,784","18,408","8,821","8,635"
2020년02월_계_연령구간인구수,"42,648","6,784","18,408","8,821","8,635"
2020년02월_계_0~9세,"4,034",642,"1,290","1,315",787
2020년02월_계_10~19세,"6,516",890,"2,444","2,053","1,129"
2020년02월_계_20~29세,"4,871",711,"2,395",765,"1,000"
2020년02월_계_30~39세,"4,683",688,"1,690","1,355",950
2020년02월_계_40~49세,"8,474","1,115","3,279","2,510","1,570"
2020년02월_계_50~59세,"6,781","1,273","3,422",643,"1,443"
2020년02월_계_60~69세,"4,090",884,"2,017",86,"1,103"
2020년02월_계_70~79세,"1,951",366,"1,096",64,425
2020년02월_계_80~89세,"1,069",172,673,27,197
2020년02월_계_90~99세,168,39,97,3,29
2020년02월_계_100세 이상,11,4,5,0,2
2020년02월_남_총인구수,"21,211","3,300","9,028","4,552","4,331"
2020년02월_남_연령구간인구수,"21,211","3,300","9,028","4,552","4,331"
2020년02월_남_0~9세,"2,054",323,682,659,390
2020년02월_남_10~19세,"3,402",461,"1,286","1,053",602
2020년02월_남_20~29세,"2,714",373,"1,312",444,585
2020년02월_남_30~39세,"2,292",320,856,658,458
2020년02월_남_40~49세,"4,107",522,"1,547","1,294",744
2020년02월_남_50~59세,"3,413",628,"1,671",401,713
2020년02월_남_60~69세,"1,985",440,973,18,554
2020년02월_남_70~79세,875,180,473,16,206
2020년02월_남_80~89세,332,46,208,8,70
2020년02월_남_90~99세,37,7,20,1,9
2020년02월_남_100세 이상,0,0,0,0,0
2020년02월_여_총인구수,"21,437","3,484","9,380","4,269","4,304"
2020년02월_여_연령구간인구수,"21,437","3,484","9,380","4,269","4,304"
2020년02월_여_0~9세,"1,980",319,608,656,397
2020년02월_여_10~19세,"3,114",429,"1,158","1,000",527
2020년02월_여_20~29세,"2,157",338,"1,083",321,415
2020년02월_여_30~39세,"2,391",368,834,697,492
2020년02월_여_40~49세,"4,367",593,"1,732","1,216",826
2020년02월_여_50~59세,"3,368",645,"1,751",242,730
2020년02월_여_60~69세,"2,105",444,"1,044",68,549
2020년02월_여_70~79세,"1,076",186,623,48,219
2020년02월_여_80~89세,737,126,465,19,127
2020년02월_여_90~99세,131,32,77,2,20
2020년02월_여_100세 이상,11,4,5,0,2
