카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년05월_계_총인구수,"185,018","57,956","5,492","7,593","3,422","5,658","15,688","5,252","6,250","7,649","6,881","3,791","1,946","12,612","22,674","22,154"
2020년05월_계_연령구간인구수,"185,018","57,956","5,492","7,593","3,422","5,658","15,688","5,252","6,250","7,649","6,881","3,791","1,946","12,612","22,674","22,154"
2020년05월_계_0~9세,"14,532","6,163",182,476,92,241,"1,518",149,412,302,243,93,54,749,"2,122","1,736"
2020년05월_계_10~19세,"18,502","7,479",312,684,155,278,"1,198",276,419,505,397,454,80,"1,097","2,557","2,611"
2020년05월_계_20~29세,"21,989","6,603",530,733,304,511,"2,119",473,768,659,687,426,186,"1,629","3,102","3,259"
2020년05월_계_30~39세,"23,259","8,471",441,705,264,535,"2,764",397,871,647,578,285,148,"1,417","3,065","2,671"
2020년05월_계_40~49세,"30,035","11,818",573,"1,117",359,697,"2,545",565,886,853,816,349,192,"1,793","3,945","3,527"
2020년05월_계_50~59세,"31,069","8,339","1,087","1,346",705,"1,078","2,406","1,078","1,194","1,450","1,436",663,386,"2,274","3,681","3,946"
2020년05월_계_60~69세,"23,868","4,940","1,133","1,321",729,"1,132","1,751","1,133",915,"1,609","1,347",736,441,"1,906","2,372","2,403"
2020년05월_계_70~79세,"13,387","2,749",719,696,472,693,881,647,483,958,827,479,261,"1,084","1,174","1,264"
2020년05월_계_80~89세,"7,349","1,242",451,447,305,433,445,437,259,577,502,284,172,573,577,645
2020년05월_계_90~99세,972,146,59,65,35,55,57,94,40,83,43,21,25,83,77,89
2020년05월_계_100세 이상,56,6,5,3,2,5,4,3,3,6,5,1,1,7,2,3
2020년05월_남_총인구수,"95,278","29,173","2,905","3,809","1,802","3,059","8,720","2,761","3,489","4,009","3,654","2,005","1,007","6,329","11,428","11,128"
2020년05월_남_연령구간인구수,"95,278","29,173","2,905","3,809","1,802","3,059","8,720","2,761","3,489","4,009","3,654","2,005","1,007","6,329","11,428","11,128"
2020년05월_남_0~9세,"7,458","3,098",98,259,57,133,812,76,228,151,113,51,30,361,"1,093",898
2020년05월_남_10~19세,"9,675","3,891",180,349,88,145,597,132,245,299,203,231,42,554,"1,347","1,372"
2020년05월_남_20~29세,"12,092","3,478",312,395,188,321,"1,209",288,470,364,394,237,103,883,"1,659","1,791"
2020년05월_남_30~39세,"12,648","4,388",276,364,152,336,"1,619",237,523,394,344,188,86,768,"1,561","1,412"
2020년05월_남_40~49세,"16,047","6,040",342,598,215,437,"1,553",336,545,499,484,212,116,946,"2,040","1,684"
2020년05월_남_50~59세,"16,434","4,323",600,692,390,573,"1,392",616,647,782,817,362,205,"1,147","1,883","2,005"
2020년05월_남_60~69세,"12,008","2,299",603,682,372,613,926,603,492,823,716,386,223,935,"1,146","1,189"
2020년05월_남_70~79세,"6,102","1,207",322,300,216,334,430,309,235,467,387,228,132,496,506,533
2020년05월_남_80~89세,"2,602",414,163,159,115,155,171,149,90,211,184,108,65,219,173,226
2020년05월_남_90~99세,200,34,9,10,8,11,10,15,13,17,11,2,5,18,19,18
2020년05월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년05월_여_총인구수,"89,740","28,783","2,587","3,784","1,620","2,599","6,968","2,491","2,761","3,640","3,227","1,786",939,"6,283","11,246","11,026"
2020년05월_여_연령구간인구수,"89,740","28,783","2,587","3,784","1,620","2,599","6,968","2,491","2,761","3,640","3,227","1,786",939,"6,283","11,246","11,026"
2020년05월_여_0~9세,"7,074","3,065",84,217,35,108,706,73,184,151,130,42,24,388,"1,029",838
2020년05월_여_10~19세,"8,827","3,588",132,335,67,133,601,144,174,206,194,223,38,543,"1,210","1,239"
2020년05월_여_20~29세,"9,897","3,125",218,338,116,190,910,185,298,295,293,189,83,746,"1,443","1,468"
2020년05월_여_30~39세,"10,611","4,083",165,341,112,199,"1,145",160,348,253,234,97,62,649,"1,504","1,259"
2020년05월_여_40~49세,"13,988","5,778",231,519,144,260,992,229,341,354,332,137,76,847,"1,905","1,843"
2020년05월_여_50~59세,"14,635","4,016",487,654,315,505,"1,014",462,547,668,619,301,181,"1,127","1,798","1,941"
2020년05월_여_60~69세,"11,860","2,641",530,639,357,519,825,530,423,786,631,350,218,971,"1,226","1,214"
2020년05월_여_70~79세,"7,285","1,542",397,396,256,359,451,338,248,491,440,251,129,588,668,731
2020년05월_여_80~89세,"4,747",828,288,288,190,278,274,288,169,366,318,176,107,354,404,419
2020년05월_여_90~99세,772,112,50,55,27,44,47,79,27,66,32,19,20,65,58,71
2020년05월_여_100세 이상,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
