카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년04월_계_총인구수,"25,244","10,074",837,"1,093","1,378",857,"1,974","1,786","1,844","2,844","1,065","1,492"
2021년04월_계_연령구간인구수,"25,244","10,074",837,"1,093","1,378",857,"1,974","1,786","1,844","2,844","1,065","1,492"
2021년04월_계_0~9세,"1,229",661,16,42,49,34,83,67,58,131,54,34
2021년04월_계_10~19세,"1,647",833,27,82,83,38,90,83,80,208,61,62
2021년04월_계_20~29세,"1,910",938,32,65,68,46,142,130,144,199,61,85
2021년04월_계_30~39세,"1,581",816,23,47,53,57,99,97,83,186,78,42
2021년04월_계_40~49세,"2,665","1,307",68,90,117,67,187,178,142,295,91,123
2021년04월_계_50~59세,"4,455","1,683",176,198,247,156,365,290,336,546,189,269
2021년04월_계_60~69세,"5,034","1,656",238,231,311,208,427,396,369,622,239,337
2021년04월_계_70~79세,"3,796","1,242",153,186,241,138,310,315,361,395,147,308
2021년04월_계_80~89세,"2,533",818,88,127,180,108,228,200,236,221,126,201
2021년04월_계_90~99세,377,111,14,25,29,5,41,30,34,39,18,31
2021년04월_계_100세 이상,17,9,2,0,0,0,2,0,1,2,1,0
2021년04월_남_총인구수,"12,756","5,072",415,533,654,444,"1,024",900,922,"1,469",564,759
2021년04월_남_연령구간인구수,"12,756","5,072",415,533,654,444,"1,024",900,922,"1,469",564,759
2021년04월_남_0~9세,598,319,8,17,20,15,45,33,32,64,26,19
2021년04월_남_10~19세,875,430,16,43,44,15,50,46,42,114,40,35
2021년04월_남_20~29세,"1,093",528,17,41,36,31,82,72,73,123,42,48
2021년04월_남_30~39세,766,384,15,22,19,30,62,40,42,89,43,20
2021년04월_남_40~49세,"1,552",741,42,48,65,42,116,109,92,165,53,79
2021년04월_남_50~59세,"2,518",933,97,106,136,88,212,176,196,315,99,160
2021년04월_남_60~69세,"2,676",870,119,123,168,116,222,217,190,335,133,183
2021년04월_남_70~79세,"1,754",563,71,84,114,67,145,150,160,191,73,136
2021년04월_남_80~89세,831,273,26,43,44,38,84,52,85,65,50,71
2021년04월_남_90~99세,88,27,3,6,8,2,6,5,10,8,5,8
2021년04월_남_100세 이상,5,4,1,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"12,488","5,002",422,560,724,413,950,886,922,"1,375",501,733
2021년04월_여_연령구간인구수,"12,488","5,002",422,560,724,413,950,886,922,"1,375",501,733
2021년04월_여_0~9세,631,342,8,25,29,19,38,34,26,67,28,15
2021년04월_여_10~19세,772,403,11,39,39,23,40,37,38,94,21,27
2021년04월_여_20~29세,817,410,15,24,32,15,60,58,71,76,19,37
2021년04월_여_30~39세,815,432,8,25,34,27,37,57,41,97,35,22
2021년04월_여_40~49세,"1,113",566,26,42,52,25,71,69,50,130,38,44
2021년04월_여_50~59세,"1,937",750,79,92,111,68,153,114,140,231,90,109
2021년04월_여_60~69세,"2,358",786,119,108,143,92,205,179,179,287,106,154
2021년04월_여_70~79세,"2,042",679,82,102,127,71,165,165,201,204,74,172
2021년04월_여_80~89세,"1,702",545,62,84,136,70,144,148,151,156,76,130
2021년04월_여_90~99세,289,84,11,19,21,3,35,25,24,31,13,23
2021년04월_여_100세 이상,12,5,1,0,0,0,2,0,1,2,1,0
