카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년10월_계_총인구수,"405,481","36,299","21,392","24,681","23,871","20,499","29,477","9,295","23,280","27,493","34,248","31,943","20,929","22,584","39,280","23,958","16,252"
2020년10월_계_연령구간인구수,"405,481","36,299","21,392","24,681","23,871","20,499","29,477","9,295","23,280","27,493","34,248","31,943","20,929","22,584","39,280","23,958","16,252"
2020년10월_계_0~9세,"28,686","3,647","1,926",921,"1,392",853,"1,863",235,"1,361","1,856","2,196","2,248","1,224","1,259","3,452","1,486","2,767"
2020년10월_계_10~19세,"30,406","3,556","1,977","1,470","1,435","1,128","1,625",305,"1,994","2,256","2,488","2,367","1,486","1,242","3,914","2,024","1,139"
2020년10월_계_20~29세,"55,529","4,354","2,866","3,252","4,130","2,860","5,055","1,462","3,324","3,648","4,622","3,901","2,621","3,925","4,678","3,088","1,743"
2020년10월_계_30~39세,"63,588","6,320","3,936","2,946","4,998","2,994","5,511","1,253","2,923","3,339","5,043","4,638","2,832","4,347","5,217","3,341","3,950"
2020년10월_계_40~49세,"63,508","6,538","3,648","3,546","4,038","2,995","4,155","1,195","3,545","4,336","4,962","4,886","3,247","3,196","6,795","3,822","2,604"
2020년10월_계_50~59세,"63,571","5,121","3,067","4,740","3,064","3,539","4,578","1,901","3,967","4,819","5,877","4,970","3,507","3,047","5,687","3,936","1,751"
2020년10월_계_60~69세,"55,582","3,988","2,572","4,013","2,559","3,108","3,749","1,628","3,504","3,944","5,090","5,018","3,434","2,977","4,989","3,567","1,442"
2020년10월_계_70~79세,"31,640","1,981",973,"2,657","1,581","2,108","2,090",868,"1,930","2,321","2,831","2,883","1,806","1,826","3,223","1,964",598
2020년10월_계_80~89세,"11,297",693,358,978,587,801,764,366,638,868,993,900,682,669,"1,159",628,213
2020년10월_계_90~99세,"1,500",92,65,128,66,96,85,59,88,98,138,123,79,91,157,91,44
2020년10월_계_100세 이상,174,9,4,30,21,17,2,23,6,8,8,9,11,5,9,11,1
2020년10월_남_총인구수,"200,195","17,731","10,500","12,434","12,161","9,951","14,309","5,041","11,612","13,597","17,157","15,607","10,221","11,069","18,956","11,845","8,004"
2020년10월_남_연령구간인구수,"200,195","17,731","10,500","12,434","12,161","9,951","14,309","5,041","11,612","13,597","17,157","15,607","10,221","11,069","18,956","11,845","8,004"
2020년10월_남_0~9세,"14,668","1,808","1,010",474,727,438,959,128,715,921,"1,104","1,160",614,622,"1,764",766,"1,458"
2020년10월_남_10~19세,"15,699","1,835","1,040",786,738,565,831,164,"1,024","1,170","1,269","1,187",794,638,"1,983","1,115",560
2020년10월_남_20~29세,"27,240","2,118","1,359","1,682","2,012","1,373","2,196",771,"1,736","1,871","2,372","1,975","1,333","1,738","2,284","1,601",819
2020년10월_남_30~39세,"32,391","3,009","1,982","1,624","2,694","1,545","2,739",733,"1,528","1,685","2,639","2,315","1,458","2,259","2,564","1,714","1,903"
2020년10월_남_40~49세,"32,595","3,211","1,834","1,882","2,224","1,525","2,138",669,"1,790","2,190","2,570","2,513","1,649","1,675","3,423","1,909","1,393"
2020년10월_남_50~59세,"31,426","2,533","1,448","2,469","1,615","1,776","2,312","1,133","1,933","2,391","2,919","2,337","1,639","1,532","2,712","1,865",812
2020년10월_남_60~69세,"26,213","1,905","1,188","1,908","1,164","1,416","1,814",882,"1,695","1,902","2,455","2,309","1,578","1,433","2,233","1,682",649
2020년10월_남_70~79세,"15,024","1,017",483,"1,179",736,952,992,407,928,"1,081","1,378","1,394",857,886,"1,476",937,321
2020년10월_남_80~89세,"4,522",274,136,398,225,329,305,132,239,359,418,377,273,269,475,234,79
2020년10월_남_90~99세,378,20,19,26,24,27,23,17,23,25,31,37,22,16,39,19,10
2020년10월_남_100세 이상,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020년10월_여_총인구수,"205,286","18,568","10,892","12,247","11,710","10,548","15,168","4,254","11,668","13,896","17,091","16,336","10,708","11,515","20,324","12,113","8,248"
2020년10월_여_연령구간인구수,"205,286","18,568","10,892","12,247","11,710","10,548","15,168","4,254","11,668","13,896","17,091","16,336","10,708","11,515","20,324","12,113","8,248"
2020년10월_여_0~9세,"14,018","1,839",916,447,665,415,904,107,646,935,"1,092","1,088",610,637,"1,688",720,"1,309"
2020년10월_여_10~19세,"14,707","1,721",937,684,697,563,794,141,970,"1,086","1,219","1,180",692,604,"1,931",909,579
2020년10월_여_20~29세,"28,289","2,236","1,507","1,570","2,118","1,487","2,859",691,"1,588","1,777","2,250","1,926","1,288","2,187","2,394","1,487",924
2020년10월_여_30~39세,"31,197","3,311","1,954","1,322","2,304","1,449","2,772",520,"1,395","1,654","2,404","2,323","1,374","2,088","2,653","1,627","2,047"
2020년10월_여_40~49세,"30,913","3,327","1,814","1,664","1,814","1,470","2,017",526,"1,755","2,146","2,392","2,373","1,598","1,521","3,372","1,913","1,211"
2020년10월_여_50~59세,"32,145","2,588","1,619","2,271","1,449","1,763","2,266",768,"2,034","2,428","2,958","2,633","1,868","1,515","2,975","2,071",939
2020년10월_여_60~69세,"29,369","2,083","1,384","2,105","1,395","1,692","1,935",746,"1,809","2,042","2,635","2,709","1,856","1,544","2,756","1,885",793
2020년10월_여_70~79세,"16,616",964,490,"1,478",845,"1,156","1,098",461,"1,002","1,240","1,453","1,489",949,940,"1,747","1,027",277
2020년10월_여_80~89세,"6,775",419,222,580,362,472,459,234,399,509,575,523,409,400,684,394,134
2020년10월_여_90~99세,"1,122",72,46,102,42,69,62,42,65,73,107,86,57,75,118,72,34
2020년10월_여_100세 이상,135,8,3,24,19,12,2,18,5,6,6,6,7,4,6,8,1
