카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년03월_계_총인구수,"81,409","10,824","6,632","5,664","33,714","3,142","6,445","4,770","2,073","5,104","3,041"
2020년03월_계_연령구간인구수,"81,409","10,824","6,632","5,664","33,714","3,142","6,445","4,770","2,073","5,104","3,041"
2020년03월_계_0~9세,"7,160",763,282,209,"5,199",47,238,128,67,132,95
2020년03월_계_10~19세,"8,814","1,153",403,324,"5,521",158,454,220,99,294,188
2020년03월_계_20~29세,"8,234","1,326",567,527,"3,702",243,706,344,172,389,258
2020년03월_계_30~39세,"9,319","1,021",430,372,"6,032",155,464,269,138,257,181
2020년03월_계_40~49세,"12,707","1,581",770,625,"7,215",276,736,464,208,530,302
2020년03월_계_50~59세,"12,450","1,881","1,196","1,196","3,617",599,"1,161",917,373,906,604
2020년03월_계_60~69세,"10,308","1,518","1,243","1,112","1,514",591,"1,204",991,478,"1,033",624
2020년03월_계_70~79세,"7,758","1,048","1,058",808,626,589,886,905,359,973,506
2020년03월_계_80~89세,"4,063",478,601,417,254,431,506,464,142,518,252
2020년03월_계_90~99세,563,54,82,69,32,51,74,67,35,71,28
2020년03월_계_100세 이상,33,1,0,5,2,2,16,1,2,1,3
2020년03월_남_총인구수,"40,836","5,388","3,347","2,979","16,615","1,554","3,324","2,401","1,075","2,585","1,568"
2020년03월_남_연령구간인구수,"40,836","5,388","3,347","2,979","16,615","1,554","3,324","2,401","1,075","2,585","1,568"
2020년03월_남_0~9세,"3,652",391,157,103,"2,630",21,126,69,38,72,45
2020년03월_남_10~19세,"4,519",611,208,157,"2,832",89,226,97,52,151,96
2020년03월_남_20~29세,"4,433",746,318,301,"1,821",136,428,198,96,253,136
2020년03월_남_30~39세,"4,774",544,257,222,"2,842",108,262,175,90,152,122
2020년03월_남_40~49세,"6,786",802,482,372,"3,537",170,447,318,137,332,189
2020년03월_남_50~59세,"6,817",974,670,697,"1,921",348,641,517,195,497,357
2020년03월_남_60~69세,"5,119",731,600,603,701,295,626,486,244,515,318
2020년03월_남_70~79세,"3,404",437,463,384,259,254,401,383,164,438,221
2020년03월_남_80~89세,"1,230",144,176,127,67,121,158,145,52,166,74
2020년03월_남_90~99세,98,8,16,12,4,12,9,13,7,9,8
2020년03월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년03월_여_총인구수,"40,573","5,436","3,285","2,685","17,099","1,588","3,121","2,369",998,"2,519","1,473"
2020년03월_여_연령구간인구수,"40,573","5,436","3,285","2,685","17,099","1,588","3,121","2,369",998,"2,519","1,473"
2020년03월_여_0~9세,"3,508",372,125,106,"2,569",26,112,59,29,60,50
2020년03월_여_10~19세,"4,295",542,195,167,"2,689",69,228,123,47,143,92
2020년03월_여_20~29세,"3,801",580,249,226,"1,881",107,278,146,76,136,122
2020년03월_여_30~39세,"4,545",477,173,150,"3,190",47,202,94,48,105,59
2020년03월_여_40~49세,"5,921",779,288,253,"3,678",106,289,146,71,198,113
2020년03월_여_50~59세,"5,633",907,526,499,"1,696",251,520,400,178,409,247
2020년03월_여_60~69세,"5,189",787,643,509,813,296,578,505,234,518,306
2020년03월_여_70~79세,"4,354",611,595,424,367,335,485,522,195,535,285
2020년03월_여_80~89세,"2,833",334,425,290,187,310,348,319,90,352,178
2020년03월_여_90~99세,465,46,66,57,28,39,65,54,28,62,20
2020년03월_여_100세 이상,29,1,0,4,1,2,16,1,2,1,1
