,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년10월_계_총인구수,"527,080","32,086","36,060","28,715","15,206","22,800","22,391","28,388","29,314","17,499","24,819","18,041","21,540","15,761","25,064","20,584","39,905","21,433","32,348","32,890","42,236"
2020년10월_계_연령구간인구수,"527,080","32,086","36,060","28,715","15,206","22,800","22,391","28,388","29,314","17,499","24,819","18,041","21,540","15,761","25,064","20,584","39,905","21,433","32,348","32,890","42,236"
2020년10월_계_0~9세,"42,535","3,262","3,683","1,551",690,"1,280","1,660","1,649","1,846",890,"1,808","1,349","1,529",677,"1,521","1,717","6,054","1,338","2,904","2,550","4,577"
2020년10월_계_10~19세,"50,252","3,054","4,450","1,734","1,090","1,663","2,159","2,184","2,412","1,164","2,491","1,678","1,961","1,013","2,385","2,247","3,610","1,960","3,588","3,435","5,974"
2020년10월_계_20~29세,"71,155","4,236","4,321","6,298","2,143","3,202","2,956","4,104","4,264","2,266","3,283","2,492","2,924","2,190","3,538","2,412","3,994","2,917","4,191","4,527","4,897"
2020년10월_계_30~39세,"73,119","4,852","4,598","5,438","1,694","3,243","2,836","3,730","4,174","2,178","3,061","2,278","2,874","1,892","2,917","2,485","7,775","2,326","4,614","4,596","5,558"
2020년10월_계_40~49세,"89,204","5,588","6,771","4,531","2,307","3,478","3,875","4,401","4,561","2,500","4,166","2,914","3,331","2,179","3,840","3,502","7,374","3,410","5,833","5,717","8,926"
2020년10월_계_50~59세,"90,632","5,136","5,782","4,398","3,082","4,074","3,834","5,369","5,346","3,405","4,407","3,271","3,785","3,123","4,885","3,522","4,976","4,365","5,558","5,602","6,712"
2020년10월_계_60~69세,"64,956","3,649","3,957","2,861","2,291","3,195","2,905","4,002","3,999","2,718","3,407","2,444","3,029","2,660","3,445","2,890","3,947","2,998","3,411","3,624","3,524"
2020년10월_계_70~79세,"30,718","1,553","1,775","1,339","1,287","1,814","1,509","2,025","1,818","1,497","1,561","1,151","1,387","1,441","1,606","1,237","1,582","1,430","1,509","1,842","1,355"
2020년10월_계_80~89세,"12,373",622,605,498,539,734,544,787,756,779,537,387,614,507,773,492,508,592,619,855,625
2020년10월_계_90~99세,"2,002",128,106,66,73,107,110,120,126,99,82,68,103,78,149,79,82,93,118,130,85
2020년10월_계_100세 이상,134,6,12,1,10,10,3,17,12,3,16,9,3,1,5,1,3,4,3,12,3
2020년10월_남_총인구수,"261,785","15,638","17,737","14,300","7,713","11,225","11,244","14,167","14,619","8,517","12,166","9,081","10,532","7,917","12,221","10,252","19,786","10,977","16,263","16,586","20,844"
2020년10월_남_연령구간인구수,"261,785","15,638","17,737","14,300","7,713","11,225","11,244","14,167","14,619","8,517","12,166","9,081","10,532","7,917","12,221","10,252","19,786","10,977","16,263","16,586","20,844"
2020년10월_남_0~9세,"21,869","1,663","1,916",820,362,687,861,806,942,465,924,692,760,355,793,860,"3,117",689,"1,469","1,330","2,358"
