카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년01월_계_총인구수,"702,545","64,263","93,880","101,212","13,527","24,841","53,614","30,253","20,049","9,067","4,267","50,741","34,562","19,416","4,651","74,852","32,187","71,163"
2020년01월_계_연령구간인구수,"702,545","64,263","93,880","101,212","13,527","24,841","53,614","30,253","20,049","9,067","4,267","50,741","34,562","19,416","4,651","74,852","32,187","71,163"
2020년01월_계_0~9세,"67,209","4,683","9,154","9,208","1,481","1,188","4,475","1,934","1,363",367,195,"5,737","3,260",842,169,"10,325","4,210","8,618"
2020년01월_계_10~19세,"77,745","7,758","11,600","11,542","1,206","2,106","6,878","2,791","2,075",623,273,"6,835","5,055","1,333",215,"7,591","3,367","6,497"
2020년01월_계_20~29세,"82,959","7,969","10,507","11,835","1,449","3,458","6,407","4,248","2,488",840,438,"5,336","4,021","2,638",519,"8,477","3,523","8,806"
2020년01월_계_30~39세,"91,704","6,502","11,163","12,817","2,104","2,475","5,784","3,543","1,984",749,424,"6,627","3,936","2,239",504,"13,336","5,499","12,018"
2020년01월_계_40~49세,"129,102","11,833","17,767","19,414","2,302","3,570","10,594","4,476","3,435","1,112",550,"10,979","7,316","2,437",534,"14,020","6,200","12,563"
2020년01월_계_50~59세,"114,056","11,217","15,228","16,549","2,130","5,356","9,076","5,923","3,585","1,865",810,"7,049","5,323","4,117",971,"9,815","4,587","10,455"
2020년01월_계_60~69세,"76,916","7,363","10,118","10,646","1,696","3,696","5,387","4,210","2,624","1,826",838,"4,253","3,027","3,245","1,013","6,584","2,934","7,456"
2020년01월_계_70~79세,"43,040","4,796","5,743","6,483",765,"1,938","3,427","2,129","1,694","1,081",486,"2,764","1,765","1,612",483,"3,266","1,288","3,320"
2020년01월_계_80~89세,"17,178","1,841","2,305","2,379",342,916,"1,384",894,686,472,214,999,752,829,212,"1,250",491,"1,212"
2020년01월_계_90~99세,"2,426",271,279,307,51,124,194,100,95,124,37,154,103,110,22,177,72,206
2020년01월_계_100세 이상,210,30,16,32,1,14,8,5,20,8,2,8,4,14,9,11,16,12
2020년01월_남_총인구수,"350,058","31,689","47,447","50,774","6,924","12,937","26,843","15,073","10,018","4,767","2,225","24,733","17,017","9,878","2,620","36,685","15,663","34,765"
2020년01월_남_연령구간인구수,"350,058","31,689","47,447","50,774","6,924","12,937","26,843","15,073","10,018","4,767","2,225","24,733","17,017","9,878","2,620","36,685","15,663","34,765"
2020년01월_남_0~9세,"34,553","2,469","4,772","4,780",758,659,"2,296",969,691,208,100,"2,950","1,649",424,82,"5,239","2,122","4,385"
2020년01월_남_10~19세,"40,029","3,990","6,017","6,026",641,"1,094","3,506","1,440","1,106",349,143,"3,539","2,583",714,114,"3,843","1,709","3,215"
2020년01월_남_20~29세,"43,153","4,151","5,535","6,176",780,"1,907","3,382","2,246","1,248",470,240,"2,772","2,047","1,464",304,"4,218","1,800","4,413"
2020년01월_남_30~39세,"44,977","3,155","5,516","6,424","1,079","1,327","2,859","1,837","1,008",397,224,"3,037","1,849","1,255",308,"6,278","2,577","5,847"
2020년01월_남_40~49세,"65,167","5,698","9,062","9,911","1,194","1,913","5,347","2,263","1,735",631,306,"5,331","3,596","1,288",338,"7,200","3,078","6,276"
2020년01월_남_50~59세,"58,160","5,686","8,000","8,602","1,097","2,855","4,794","2,860","1,875","1,028",441,"3,596","2,777","2,065",545,"4,721","2,225","4,993"
2020년01월_남_60~69세,"37,398","3,494","4,982","5,051",855,"1,944","2,599","2,146","1,284",940,431,"1,904","1,443","1,610",595,"3,119","1,380","3,621"
2020년01월_남_70~79세,"19,640","2,230","2,616","2,855",372,872,"1,505",965,746,538,244,"1,188",784,757,244,"1,576",577,"1,571"
2020년01월_남_80~89세,"6,353",731,862,871,137,333,509,326,289,174,88,380,264,270,85,457,174,403
2020년01월_남_90~99세,570,76,81,68,10,32,45,21,31,27,6,32,25,26,5,33,15,37
2020년01월_남_100세 이상,58,9,4,10,1,1,1,0,5,5,2,4,0,5,0,1,6,4
2020년01월_여_총인구수,"352,487","32,574","46,433","50,438","6,603","11,904","26,771","15,180","10,031","4,300","2,042","26,008","17,545","9,538","2,031","38,167","16,524","36,398"
2020년01월_여_연령구간인구수,"352,487","32,574","46,433","50,438","6,603","11,904","26,771","15,180","10,031","4,300","2,042","26,008","17,545","9,538","2,031","38,167","16,524","36,398"
2020년01월_여_0~9세,"32,656","2,214","4,382","4,428",723,529,"2,179",965,672,159,95,"2,787","1,611",418,87,"5,086","2,088","4,233"
2020년01월_여_10~19세,"37,716","3,768","5,583","5,516",565,"1,012","3,372","1,351",969,274,130,"3,296","2,472",619,101,"3,748","1,658","3,282"
2020년01월_여_20~29세,"39,806","3,818","4,972","5,659",669,"1,551","3,025","2,002","1,240",370,198,"2,564","1,974","1,174",215,"4,259","1,723","4,393"
2020년01월_여_30~39세,"46,727","3,347","5,647","6,393","1,025","1,148","2,925","1,706",976,352,200,"3,590","2,087",984,196,"7,058","2,922","6,171"
2020년01월_여_40~49세,"63,935","6,135","8,705","9,503","1,108","1,657","5,247","2,213","1,700",481,244,"5,648","3,720","1,149",196,"6,820","3,122","6,287"
2020년01월_여_50~59세,"55,896","5,531","7,228","7,947","1,033","2,501","4,282","3,063","1,710",837,369,"3,453","2,546","2,052",426,"5,094","2,362","5,462"
2020년01월_여_60~69세,"39,518","3,869","5,136","5,595",841,"1,752","2,788","2,064","1,340",886,407,"2,349","1,584","1,635",418,"3,465","1,554","3,835"
2020년01월_여_70~79세,"23,400","2,566","3,127","3,628",393,"1,066","1,922","1,164",948,543,242,"1,576",981,855,239,"1,690",711,"1,749"
2020년01월_여_80~89세,"10,825","1,110","1,443","1,508",205,583,875,568,397,298,126,619,488,559,127,793,317,809
2020년01월_여_90~99세,"1,856",195,198,239,41,92,149,79,64,97,31,122,78,84,17,144,57,169
2020년01월_여_100세 이상,152,21,12,22,0,13,7,5,15,3,0,4,4,9,9,10,10,8
