,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년03월_계_총인구수,"83,570","2,726","2,559","2,577","3,734","3,907","1,366","2,610","1,794","1,873","2,714","5,005","2,236","1,931","4,705","1,373","11,326","12,886","11,639","6,609"
2020년03월_계_연령구간인구수,"83,570","2,726","2,559","2,577","3,734","3,907","1,366","2,610","1,794","1,873","2,714","5,005","2,236","1,931","4,705","1,373","11,326","12,886","11,639","6,609"
2020년03월_계_0~9세,"4,587",108,68,73,107,137,50,82,58,48,45,191,58,46,148,45,799,961,"1,095",468
2020년03월_계_10~19세,"6,418",128,114,130,166,230,65,137,80,82,110,315,93,79,226,66,"1,049","1,391","1,453",504
2020년03월_계_20~29세,"7,380",169,131,170,294,286,99,201,95,118,132,419,136,147,340,89,"1,312","1,378","1,274",590
2020년03월_계_30~39세,"6,976",189,151,169,237,275,92,171,111,113,162,343,139,100,297,81,"1,161","1,295","1,244",646
2020년03월_계_40~49세,"10,335",266,223,259,362,418,114,235,183,204,251,579,193,189,456,153,"1,612","1,911","1,945",782
2020년03월_계_50~59세,"14,170",454,393,452,639,718,208,462,267,295,418,957,360,369,908,216,"1,933","2,170","1,840","1,111"
2020년03월_계_60~69세,"14,218",638,587,537,787,744,283,559,381,386,590,963,452,384,937,264,"1,637","1,671","1,357","1,061"
2020년03월_계_70~79세,"11,119",412,479,461,635,626,248,399,336,354,559,751,431,349,791,279,"1,078","1,254",847,830
2020년03월_계_80~89세,"7,194",313,362,274,418,406,182,314,241,229,375,427,335,236,513,157,636,755,503,518
2020년03월_계_90~99세,"1,109",48,47,45,84,67,23,49,40,41,72,58,38,31,80,23,101,99,80,83
2020년03월_계_100세 이상,64,1,4,7,5,0,2,1,2,3,0,2,1,1,9,0,8,1,1,16
2020년03월_남_총인구수,"41,441","1,383","1,282","1,335","1,866","1,936",654,"1,311",896,953,"1,302","2,557","1,083",981,"2,365",717,"5,559","6,323","5,645","3,293"
2020년03월_남_연령구간인구수,"41,441","1,383","1,282","1,335","1,866","1,936",654,"1,311",896,953,"1,302","2,557","1,083",981,"2,365",717,"5,559","6,323","5,645","3,293"
2020년03월_남_0~9세,"2,377",68,38,41,49,72,27,41,35,24,24,100,33,24,79,24,400,516,541,241
2020년03월_남_10~19세,"3,299",70,69,69,86,110,38,63,42,47,54,172,45,46,133,31,506,726,730,262
2020년03월_남_20~29세,"4,084",101,83,97,165,149,56,117,59,67,72,230,75,78,192,56,703,754,694,336
2020년03월_남_30~39세,"3,730",125,83,105,134,157,55,97,65,69,103,193,86,62,172,51,601,653,603,316
2020년03월_남_40~49세,"5,855",162,148,174,245,256,79,145,118,137,162,349,140,131,281,112,841,976,953,446
2020년03월_남_50~59세,"7,670",243,228,276,341,398,111,260,142,169,242,535,201,208,510,128,988,"1,094",987,609
2020년03월_남_60~69세,"7,094",335,304,265,410,374,132,297,193,205,295,493,211,199,480,134,775,807,648,537
2020년03월_남_70~79세,"4,817",182,214,215,291,276,95,179,143,154,223,334,175,161,329,116,495,520,345,370
2020년03월_남_80~89세,"2,249",87,106,84,117,121,54,98,88,71,118,136,111,62,165,58,225,254,132,162
2020년03월_남_90~99세,255,10,8,8,26,23,7,14,10,10,9,15,6,10,24,7,21,23,12,12
2020년03월_남_100세 이상,11,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2
2020년03월_여_총인구수,"42,129","1,343","1,277","1,242","1,868","1,971",712,"1,299",898,920,"1,412","2,448","1,153",950,"2,340",656,"5,767","6,563","5,994","3,316"
2020년03월_여_연령구간인구수,"42,129","1,343","1,277","1,242","1,868","1,971",712,"1,299",898,920,"1,412","2,448","1,153",950,"2,340",656,"5,767","6,563","5,994","3,316"
2020년03월_여_0~9세,"2,210",40,30,32,58,65,23,41,23,24,21,91,25,22,69,21,399,445,554,227
2020년03월_여_10~19세,"3,119",58,45,61,80,120,27,74,38,35,56,143,48,33,93,35,543,665,723,242
2020년03월_여_20~29세,"3,296",68,48,73,129,137,43,84,36,51,60,189,61,69,148,33,609,624,580,254
2020년03월_여_30~39세,"3,246",64,68,64,103,118,37,74,46,44,59,150,53,38,125,30,560,642,641,330
2020년03월_여_40~49세,"4,480",104,75,85,117,162,35,90,65,67,89,230,53,58,175,41,771,935,992,336
2020년03월_여_50~59세,"6,500",211,165,176,298,320,97,202,125,126,176,422,159,161,398,88,945,"1,076",853,502
2020년03월_여_60~69세,"7,124",303,283,272,377,370,151,262,188,181,295,470,241,185,457,130,862,864,709,524
2020년03월_여_70~79세,"6,302",230,265,246,344,350,153,220,193,200,336,417,256,188,462,163,583,734,502,460
2020년03월_여_80~89세,"4,945",226,256,190,301,285,128,216,153,158,257,291,224,174,348,99,411,501,371,356
2020년03월_여_90~99세,854,38,39,37,58,44,16,35,30,31,63,43,32,21,56,16,80,76,68,71
2020년03월_여_100세 이상,53,1,3,6,3,0,2,1,1,3,0,2,1,1,9,0,4,1,1,14
