,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년02월_계_총인구수,"280,213","2,680","8,576","1,922","20,438","6,306","6,534","2,826","1,338",818,"2,058","4,788","3,206","4,406","4,057","6,149","3,809","5,461","11,528","6,975","18,864","21,548","11,822","10,292","10,507","32,592","37,436","21,518","8,165","2,428","1,166"
2021년02월_계_연령구간인구수,"280,213","2,680","8,576","1,922","20,438","6,306","6,534","2,826","1,338",818,"2,058","4,788","3,206","4,406","4,057","6,149","3,809","5,461","11,528","6,975","18,864","21,548","11,822","10,292","10,507","32,592","37,436","21,518","8,165","2,428","1,166"
2021년02월_계_0~9세,"20,653",51,570,29,"2,064",268,136,61,13,20,59,242,113,145,106,229,149,167,703,451,"1,183","1,851",648,760,"1,039","2,690","4,642","1,204",973,66,21
2021년02월_계_10~19세,"26,283",88,653,73,"2,059",312,287,126,36,39,83,290,202,293,235,296,243,265,904,635,"1,885","2,331","1,072","1,193",933,"3,880","4,515","2,041","1,122",129,63
2021년02월_계_20~29세,"33,665",185,737,144,"2,226",463,584,142,58,50,147,475,378,410,350,663,423,463,"1,242",728,"2,528","2,711","1,793","1,402","1,071","5,108","4,612","3,343",864,257,108
2021년02월_계_30~39세,"30,760",122,798,83,"2,561",438,371,120,59,28,134,471,316,343,294,562,302,435,"1,105",670,"1,954","2,557","1,230","1,137","1,377","3,983","5,675","2,266","1,130",176,63
2021년02월_계_40~49세,"41,926",235,"1,283",147,"3,210",735,616,247,90,82,217,581,348,552,478,748,434,623,"1,584",950,"2,770","3,575","1,792","1,696","1,578","5,485","6,520","3,290","1,667",272,121
2021년02월_계_50~59세,"48,540",455,"1,393",317,"3,511","1,041","1,218",450,184,139,462,710,467,722,665,"1,028",603,905,"2,060","1,141","3,416","3,513","2,223","1,879","1,561","5,958","6,157","4,568","1,076",484,234
2021년02월_계_60~69세,"41,157",620,"1,611",456,"2,569","1,248","1,408",652,312,165,477,980,604,963,845,"1,276",798,"1,235","2,117","1,366","3,049","2,826","1,705","1,391","1,543","3,352","3,370","2,831",704,464,220
2021년02월_계_70~79세,"24,662",570,994,383,"1,387","1,063","1,127",611,331,175,293,753,543,709,770,964,567,965,"1,320",766,"1,372","1,482",918,612,978,"1,472","1,277","1,283",448,343,186
2021년02월_계_80~89세,"10,798",308,467,244,751,624,650,359,208,101,152,243,211,239,279,334,247,349,439,234,618,595,390,187,366,562,561,596,159,198,127
2021년02월_계_90~99세,"1,662",45,68,44,95,110,132,56,45,18,30,36,23,23,30,43,41,47,46,30,87,107,50,34,54,96,105,95,20,29,23
2021년02월_계_100세 이상,107,1,2,2,5,4,5,2,2,1,4,7,1,7,5,6,2,7,8,4,2,0,1,1,7,6,2,1,2,10,0
2021년02월_남_총인구수,"142,979","1,346","4,467",948,"10,411","3,267","3,379","1,441",657,407,"1,156","2,417","1,594","2,202","2,091","3,193","1,883","2,786","5,820","3,492","9,300","10,846","6,340","5,206","5,287","16,779","18,783","11,365","4,197","1,315",604
2021년02월_남_연령구간인구수,"142,979","1,346","4,467",948,"10,411","3,267","3,379","1,441",657,407,"1,156","2,417","1,594","2,202","2,091","3,193","1,883","2,786","5,820","3,492","9,300","10,846","6,340","5,206","5,287","16,779","18,783","11,365","4,197","1,315",604
2021년02월_남_0~9세,"10,462",24,297,15,"1,079",142,73,30,7,11,27,113,47,69,62,135,62,77,355,230,575,963,332,383,522,"1,349","2,355",607,481,33,7
2021년02월_남_10~19세,"13,668",44,339,40,"1,049",170,160,69,17,18,47,154,105,158,118,171,117,129,469,316,980,"1,176",577,636,484,"2,021","2,383","1,019",604,70,28
2021년02월_남_20~29세,"19,118",106,434,86,"1,260",279,337,89,30,29,88,267,195,244,207,376,236,267,711,409,"1,420","1,498","1,069",756,589,"2,985","2,463","1,989",465,170,64
2021년02월_남_30~39세,"16,513",77,423,48,"1,286",249,227,80,39,12,84,266,190,193,182,337,174,237,621,344,"1,026","1,348",729,623,718,"2,103","2,781","1,379",579,114,44
2021년02월_남_40~49세,"22,151",159,759,94,"1,704",495,388,164,67,50,159,341,199,313,300,450,248,400,882,499,"1,372","1,773",985,817,851,"2,658","3,184","1,718",865,170,87
2021년02월_남_50~59세,"25,489",249,770,166,"1,824",598,713,280,99,93,275,376,256,385,371,544,306,518,998,558,"1,628","1,811","1,222",934,772,"3,114","3,152","2,422",622,289,144
2021년02월_남_60~69세,"20,376",317,799,236,"1,325",633,769,334,181,80,269,452,269,421,392,588,355,553,986,673,"1,467","1,413",910,697,741,"1,664","1,698","1,463",330,244,117
2021년02월_남_70~79세,"11,262",247,448,175,619,475,495,264,149,79,150,354,240,320,348,456,281,458,624,364,598,659,397,292,475,712,584,579,195,157,68
2021년02월_남_80~89세,"3,625",114,182,77,244,209,186,119,61,31,52,82,86,91,103,125,99,137,170,92,222,191,111,64,129,161,165,170,52,59,41
2021년02월_남_90~99세,298,9,16,11,20,15,31,11,7,4,4,8,7,8,7,10,5,10,4,6,12,14,8,4,6,12,17,19,2,7,4
2021년02월_남_100세 이상,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021년02월_여_총인구수,"137,234","1,334","4,109",974,"10,027","3,039","3,155","1,385",681,411,902,"2,371","1,612","2,204","1,966","2,956","1,926","2,675","5,708","3,483","9,564","10,702","5,482","5,086","5,220","15,813","18,653","10,153","3,968","1,113",562
2021년02월_여_연령구간인구수,"137,234","1,334","4,109",974,"10,027","3,039","3,155","1,385",681,411,902,"2,371","1,612","2,204","1,966","2,956","1,926","2,675","5,708","3,483","9,564","10,702","5,482","5,086","5,220","15,813","18,653","10,153","3,968","1,113",562
2021년02월_여_0~9세,"10,191",27,273,14,985,126,63,31,6,9,32,129,66,76,44,94,87,90,348,221,608,888,316,377,517,"1,341","2,287",597,492,33,14
2021년02월_여_10~19세,"12,615",44,314,33,"1,010",142,127,57,19,21,36,136,97,135,117,125,126,136,435,319,905,"1,155",495,557,449,"1,859","2,132","1,022",518,59,35
2021년02월_여_20~29세,"14,547",79,303,58,966,184,247,53,28,21,59,208,183,166,143,287,187,196,531,319,"1,108","1,213",724,646,482,"2,123","2,149","1,354",399,87,44
2021년02월_여_30~39세,"14,247",45,375,35,"1,275",189,144,40,20,16,50,205,126,150,112,225,128,198,484,326,928,"1,209",501,514,659,"1,880","2,894",887,551,62,19
2021년02월_여_40~49세,"19,775",76,524,53,"1,506",240,228,83,23,32,58,240,149,239,178,298,186,223,702,451,"1,398","1,802",807,879,727,"2,827","3,336","1,572",802,102,34
2021년02월_여_50~59세,"23,051",206,623,151,"1,687",443,505,170,85,46,187,334,211,337,294,484,297,387,"1,062",583,"1,788","1,702","1,001",945,789,"2,844","3,005","2,146",454,195,90
2021년02월_여_60~69세,"20,781",303,812,220,"1,244",615,639,318,131,85,208,528,335,542,453,688,443,682,"1,131",693,"1,582","1,413",795,694,802,"1,688","1,672","1,368",374,220,103
2021년02월_여_70~79세,"13,400",323,546,208,768,588,632,347,182,96,143,399,303,389,422,508,286,507,696,402,774,823,521,320,503,760,693,704,253,186,118
2021년02월_여_80~89세,"7,173",194,285,167,507,415,464,240,147,70,100,161,125,148,176,209,148,212,269,142,396,404,279,123,237,401,396,426,107,139,86
2021년02월_여_90~99세,"1,364",36,52,33,75,95,101,45,38,14,26,28,16,15,23,33,36,37,42,24,75,93,42,30,48,84,88,76,18,22,19
2021년02월_여_100세 이상,90,1,2,2,4,2,5,1,2,1,3,3,1,7,4,5,2,7,8,3,2,0,1,1,7,6,1,1,0,8,0
