카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년08월_계_총인구수,"27,120","10,073","1,508","1,984","1,677","1,700","1,406","1,956","2,148","1,262","1,079","2,327"
2021년08월_계_연령구간인구수,"27,120","10,073","1,508","1,984","1,677","1,700","1,406","1,956","2,148","1,262","1,079","2,327"
2021년08월_계_0~9세,"1,353",799,42,59,57,41,52,59,103,37,46,58
2021년08월_계_10~19세,"2,146","1,286",86,96,81,72,73,110,141,35,44,122
2021년08월_계_20~29세,"1,960","1,026",104,99,86,80,71,107,116,85,68,118
2021년08월_계_30~39세,"1,836",932,86,99,99,107,96,93,117,58,54,95
2021년08월_계_40~49세,"3,175","1,583",128,205,184,133,123,172,188,119,115,225
2021년08월_계_50~59세,"4,382","1,538",272,316,251,295,228,368,383,196,142,393
2021년08월_계_60~69세,"4,986","1,345",309,404,321,428,289,463,465,266,213,483
2021년08월_계_70~79세,"4,055",933,258,385,326,284,238,333,369,248,209,472
2021년08월_계_80~89세,"2,816",541,197,285,242,229,212,214,225,187,170,314
2021년08월_계_90~99세,389,87,21,33,28,30,23,37,41,25,17,47
2021년08월_계_100세 이상,22,3,5,3,2,1,1,0,0,6,1,0
2021년08월_남_총인구수,"13,266","4,907",735,974,838,848,711,965,"1,034",612,511,"1,131"
2021년08월_남_연령구간인구수,"13,266","4,907",735,974,838,848,711,965,"1,034",612,511,"1,131"
2021년08월_남_0~9세,704,427,19,32,27,23,30,25,52,11,27,31
2021년08월_남_10~19세,"1,110",655,47,47,41,38,46,62,72,19,23,60
2021년08월_남_20~29세,"1,105",563,62,52,56,50,38,63,72,51,31,67
2021년08월_남_30~39세,898,421,40,58,60,63,48,44,50,33,28,53
2021년08월_남_40~49세,"1,794",808,71,136,118,90,84,103,100,70,74,140
2021년08월_남_50~59세,"2,396",822,156,173,144,150,135,182,214,121,84,215
2021년08월_남_60~69세,"2,557",644,165,234,165,240,148,255,235,129,103,239
2021년08월_남_70~79세,"1,683",372,116,146,143,119,105,143,150,102,87,200
2021년08월_남_80~89세,913,174,55,91,77,68,73,72,75,65,51,112
2021년08월_남_90~99세,104,21,4,5,7,7,4,16,14,9,3,14
2021년08월_남_100세 이상,2,0,0,0,0,0,0,0,0,2,0,0
2021년08월_여_총인구수,"13,854","5,166",773,"1,010",839,852,695,991,"1,114",650,568,"1,196"
2021년08월_여_연령구간인구수,"13,854","5,166",773,"1,010",839,852,695,991,"1,114",650,568,"1,196"
2021년08월_여_0~9세,649,372,23,27,30,18,22,34,51,26,19,27
2021년08월_여_10~19세,"1,036",631,39,49,40,34,27,48,69,16,21,62
2021년08월_여_20~29세,855,463,42,47,30,30,33,44,44,34,37,51
2021년08월_여_30~39세,938,511,46,41,39,44,48,49,67,25,26,42
2021년08월_여_40~49세,"1,381",775,57,69,66,43,39,69,88,49,41,85
2021년08월_여_50~59세,"1,986",716,116,143,107,145,93,186,169,75,58,178
2021년08월_여_60~69세,"2,429",701,144,170,156,188,141,208,230,137,110,244
2021년08월_여_70~79세,"2,372",561,142,239,183,165,133,190,219,146,122,272
2021년08월_여_80~89세,"1,903",367,142,194,165,161,139,142,150,122,119,202
2021년08월_여_90~99세,285,66,17,28,21,23,19,21,27,16,14,33
2021년08월_여_100세 이상,20,3,5,3,2,1,1,0,0,4,1,0
