,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년09월_계_총인구수,"354,924","15,960","9,897","20,664","22,203","20,214","12,136","21,899","20,953","22,958","17,605","23,178","10,320","11,366","19,309","16,904","16,826","11,081","28,943","12,043","20,465"
2021년09월_계_연령구간인구수,"354,924","15,960","9,897","20,664","22,203","20,214","12,136","21,899","20,953","22,958","17,605","23,178","10,320","11,366","19,309","16,904","16,826","11,081","28,943","12,043","20,465"
2021년09월_계_0~9세,"20,409",641,624,"1,401","1,273","1,148",504,"1,404",903,"1,908","1,104","1,122",725,638,818,963,"1,172",589,"1,757",507,"1,208"
2021년09월_계_10~19세,"24,280",577,476,"1,790","1,575","1,474",536,"1,300","1,140","1,882","1,839","1,875",678,866,"1,192","1,364",998,824,"2,411",453,"1,030"
2021년09월_계_20~29세,"51,768","3,556","1,932","2,076","2,181","2,842","2,931","4,598","3,470","2,568","1,941","2,803","1,304","1,245","3,081","2,065","3,140","1,520","3,532","2,491","2,492"
2021년09월_계_30~39세,"47,325","2,579","1,708","2,246","2,398","2,479","2,176","4,305","2,952","3,030","1,627","2,319","1,639","1,242","2,199","1,819","2,680","1,127","3,319","2,348","3,133"
2021년09월_계_40~49세,"50,377","1,785","1,509","3,281","3,113","2,912","1,635","3,068","2,897","3,753","2,807","3,259","1,469","1,672","2,615","2,340","2,391","1,448","4,104","1,535","2,784"
2021년09월_계_50~59세,"56,913","2,469","1,498","3,251","3,627","3,522","1,514","2,705","3,028","3,762","3,267","4,283","1,463","2,170","3,200","2,827","2,498","1,921","5,132","1,660","3,116"
2021년09월_계_60~69세,"57,198","2,437","1,336","3,545","4,070","3,176","1,477","2,385","3,404","3,349","2,873","4,229","1,688","1,983","3,438","3,018","2,186","1,958","5,241","1,686","3,719"
2021년09월_계_70~79세,"31,563","1,299",552,"2,104","2,711","1,734",896,"1,400","2,129","1,913","1,496","2,144",934,"1,052","1,953","1,759","1,194","1,150","2,286",875,"1,982"
2021년09월_계_80~89세,"13,534",562,218,861,"1,123",830,420,654,946,717,585,"1,004",386,452,742,659,515,500,"1,043",429,888
2021년09월_계_90~99세,"1,496",55,43,107,126,94,45,77,83,72,63,138,34,46,71,84,52,44,116,57,89
2021년09월_계_100세 이상,61,0,1,2,6,3,2,3,1,4,3,2,0,0,0,6,0,0,2,2,24
2021년09월_남_총인구수,"171,079","7,981","4,921","9,756","10,702","9,514","5,538","10,483","9,838","11,244","8,651","11,069","4,917","5,566","9,647","8,201","8,070","5,413","13,962","5,688","9,918"
2021년09월_남_연령구간인구수,"171,079","7,981","4,921","9,756","10,702","9,514","5,538","10,483","9,838","11,244","8,651","11,069","4,917","5,566","9,647","8,201","8,070","5,413","13,962","5,688","9,918"
2021년09월_남_0~9세,"10,331",309,334,688,656,569,261,708,468,"1,009",564,544,359,330,399,481,603,276,906,241,626
2021년09월_남_10~19세,"12,288",312,231,908,869,734,252,646,575,950,934,954,349,429,599,691,464,419,"1,203",226,543
2021년09월_남_20~29세,"25,081","1,569",927,"1,074","1,148","1,391","1,154","2,010","1,601","1,316","1,071","1,516",622,672,"1,665","1,104","1,385",807,"1,850","1,056","1,143"
2021년09월_남_30~39세,"24,144","1,384",898,"1,145","1,219","1,197","1,024","2,206","1,471","1,491",833,"1,200",820,651,"1,187",938,"1,370",615,"1,651","1,200","1,644"
2021년09월_남_40~49세,"25,517",998,805,"1,567","1,564","1,425",833,"1,584","1,406","1,889","1,347","1,592",734,855,"1,430","1,156","1,250",743,"2,055",782,"1,502"
2021년09월_남_50~59세,"27,650","1,359",736,"1,519","1,763","1,666",771,"1,321","1,470","1,838","1,611","2,018",696,"1,053","1,594","1,337","1,241",936,"2,381",835,"1,505"
2021년09월_남_60~69세,"26,788","1,231",647,"1,570","1,822","1,497",688,"1,135","1,547","1,601","1,377","1,979",752,960,"1,606","1,376",998,918,"2,504",806,"1,774"
2021년09월_남_70~79세,"14,030",598,259,921,"1,211",723,380,613,924,882,692,916,419,451,882,823,553,510,"1,047",370,856
2021년09월_남_80~89세,"4,928",211,73,337,423,282,165,243,365,250,214,326,160,158,277,270,195,181,342,157,299
2021년09월_남_90~99세,310,10,11,26,26,29,9,17,11,17,8,24,6,7,8,25,11,8,23,14,20
2021년09월_남_100세 이상,12,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6
2021년09월_여_총인구수,"183,845","7,979","4,976","10,908","11,501","10,700","6,598","11,416","11,115","11,714","8,954","12,109","5,403","5,800","9,662","8,703","8,756","5,668","14,981","6,355","10,547"
2021년09월_여_연령구간인구수,"183,845","7,979","4,976","10,908","11,501","10,700","6,598","11,416","11,115","11,714","8,954","12,109","5,403","5,800","9,662","8,703","8,756","5,668","14,981","6,355","10,547"
2021년09월_여_0~9세,"10,078",332,290,713,617,579,243,696,435,899,540,578,366,308,419,482,569,313,851,266,582
2021년09월_여_10~19세,"11,992",265,245,882,706,740,284,654,565,932,905,921,329,437,593,673,534,405,"1,208",227,487
2021년09월_여_20~29세,"26,687","1,987","1,005","1,002","1,033","1,451","1,777","2,588","1,869","1,252",870,"1,287",682,573,"1,416",961,"1,755",713,"1,682","1,435","1,349"
2021년09월_여_30~39세,"23,181","1,195",810,"1,101","1,179","1,282","1,152","2,099","1,481","1,539",794,"1,119",819,591,"1,012",881,"1,310",512,"1,668","1,148","1,489"
2021년09월_여_40~49세,"24,860",787,704,"1,714","1,549","1,487",802,"1,484","1,491","1,864","1,460","1,667",735,817,"1,185","1,184","1,141",705,"2,049",753,"1,282"
2021년09월_여_50~59세,"29,263","1,110",762,"1,732","1,864","1,856",743,"1,384","1,558","1,924","1,656","2,265",767,"1,117","1,606","1,490","1,257",985,"2,751",825,"1,611"
2021년09월_여_60~69세,"30,410","1,206",689,"1,975","2,248","1,679",789,"1,250","1,857","1,748","1,496","2,250",936,"1,023","1,832","1,642","1,188","1,040","2,737",880,"1,945"
2021년09월_여_70~79세,"17,533",701,293,"1,183","1,500","1,011",516,787,"1,205","1,031",804,"1,228",515,601,"1,071",936,641,640,"1,239",505,"1,126"
2021년09월_여_80~89세,"8,606",351,145,524,700,548,255,411,581,467,371,678,226,294,465,389,320,319,701,272,589
2021년09월_여_90~99세,"1,186",45,32,81,100,65,36,60,72,55,55,114,28,39,63,59,41,36,93,43,69
2021년09월_여_100세 이상,49,0,1,1,5,2,1,3,1,3,3,2,0,0,0,6,0,0,2,1,18
